ID,Name,Spr,SE,Tar,Pair,Type,BTL,Text
FUKKATSU,부활,koun,koun,FUKKATSU,0,-----,0,격추당한 아군 유닛을 부활시킨다. 부활시의 SP는 최대치의 50%. \n고유 커맨드의 횟수는 0이 되고 피 격추수의 기록은 리셋된다.
TEPPEKI,철벽,teppeki,teppeki,SELF,0,1턴,1,1턴동안 받는 데미지가 절반이 된다.\n(그레이즈 데미지도 절반)
FUKUTSU,불굴,fukutsu,fukutsu,SELF,0,피탄될때까지,1,한번만 피탄시 데미지가 10이 된다.\n(그레이즈는 피탄으로 취급하지 않는다)
GEKITO,격전,gekito,gekito,SELF,0,1턴,1,1턴동안 주는 최종 데미지가 1.2배가 된다.\n크리티컬은 발생하지만 「열혈」등의 효과는 중첩되지 않는다.
KAISHIN,회심,kaishin,kaishin,SELF,1,공격할때까지,1,다음 전투에서 공격이 반드시 크리티컬이 된다.
NEKKETSU,열혈,nekketsu,nekketsu,SELF,0,공격할때까지,1,한번만 주는 최종 데미지가 1.5배가 된다.\n단 크리티컬은 발생하지 않는다.
TAMASHI,혼,tamashi,tamashi,SELF,0,공격할때까지,1,한번만 주는 최종 데미지가 1.8배가 된다.\n단 크리티컬은 발생하지 않는다.
SUTEMI,몸버리기,sutemi,sutemi,SELF,0,공격할때까지,1,한번만 주는 최종 데미지가 1.8배가 된다.\n이동시의 탄막효과도 무시하지만 공격후 반드시 피탄된다.
KISHU,기습,kishu,kishu,SELF,0,각효과에의존,1,「가속」 「필중」 「열혈」의 효과.
GEKIDO,격노,gekido,gekido,ALL_ENEMY,0,-----,0,모든 적유닛에게 500 데미지.\n(격추는 불가능)
DATSURYOKU,탈력,datsuryoku,datsuryoku,TILE_ENEMY,0,-----,0,지정한 적유닛의 파워를 10 내린다.
GEKIREI,격려,kiai,kiai,TILE_PLAYER,1,-----,0,지정한 아군 유닛의 파워를 10올린다.\n전위 후위 양쪽에게 유효.
COBU,고무,cobu,cobu,ALL_PLAYER,0,-----,0,모든 아군 유닛의 파워를 5올린다.\n전위 후위 양쪽에게 유효.
KIAI,기합,kiai,kiai,SELF,0,-----,1,자신의 파워를 10 올린다.
KIHAKU,기백,kiai,kiai,SELF,0,-----,1,자신의 파워를 30 올린다.
KAKUREMI,은신,kakuremi,kakuremi,SELF,1,1턴,1,1턴동안 적유닛의 공격대상이 되지 않는다. 자신이 공격할경우엔 반격을 받는다.
KAKURAN,교란,kakuran,kakuran,ALL_ENEMY,0,1턴,0,1턴동안 적유닛의 최종 명중률이 절반이 된다.\n효과는 「필중」이 우선.
IATSU,위압,iatsu,iatsu,TILE_ENEMY,0,-----,0,지정한 적유닛의 탄막을 소거한다.\n스펠카드나 특수능력 「특수내성」를 가진 적유닛에겐 무효.
CHOHATSU,도발,chohatsu,chohatsu,TILE_ENEMY,0,전투할때까지,0,지정한 적유닛이 사용자를 쫓아 이동한다. 누군가와 전투할때까지 효과는 지속되며\n특수능력「특수내성」을 가진 적유닛에겐 무효.
KAKUSEI,각성,kakusei,kakusei,SELF,0,행동할때까지,1,한번 행동횟수가 늘어난다. 효과를 얻기 위해서는 사용자가 전위일 필요가 있다.
SAIDO,재동,saido,saido,TILE_PLAYER,1,-----,0,행동을 종료한 아군 유닛을 다시 행동가능으로 만든다.
KISEKI,기적,kiseki,kiseki,SELF,0,각효과에의존,1, 「가속」 「필중」 「번뜩임」 「기백」 「열혈」 「철벽」\n「행운」 「노력」 「초근성」의 효과.
AI,사랑,ai,ai,TILE_PLAYER,0,각효과에의존,0,지정한 아군 유닛에게 「응원」 「축복」 「기도」\n「격려」 「헌신」 「신뢰」 「감응」의 효과.
YUKI,용기,yuki,yuki,SELF,0,각효과에의존,1, 「가속」 「필중」 「불굴」 「기합」 「돌격」 「직격」 「열혈」의 효과.
KIZUNA,인연,kizuna,kizuna,ALL_PLAYER,0,-----,0,모든 아군 유닛의 HP을 2000 회복한다.
YUME,꿈,kasoku,kasoku,YUME,0,커맨드에의존,1,출격한 아군 유닛이 습득하고있는 임의의 정신커맨드를 사용한다.\n단 더 많은 SP를 소비한다.
SUTEMI2,반동,kasoku,kasoku,TILE_PLAYER,0,-----,0,몸버리기내부처리용
EXTRA,없음,kasoku,kasoku,SELF,0,----,0,예비칸
EXTRA2,없음,kasoku,kasoku,TILE_PLAYER,0,-----,0,예비칸2
NA,----,kasoku,kasoku,NA,0,-----,0,이 칸엔 아무것도 습득하지 않습니다.
BLANK,,kasoku,kasoku,TILE_PLAYER,0,-----,0,번뜩임내부처리용
