Char1,Char2,Name1,Name2
Koakuma,Remilia,악마의 권속,데빌 윙
Koakuma,Flan,레이디 매너 레슨,
Koakuma,Minoriko,보급부대,
Koakuma,Hina,헌신의 가호,
Koakuma,Hatate,걸즈 타임,
Koakuma,Sanae,영력 스포일러,
Koakuma,Iku,오피스 레이디,
Koakuma,Kurumi,마력의 순환,
Koakuma,Mima,매혹하는 마력,
Patchouli,Sakuya,메탈 퍼티그,
Patchouli,Remilia,백년지기 친구,악마의 관
Patchouli,Flan,그늘의 마법소녀,
Patchouli,Alice,칠색과 일곱 요일의 마녀,마도서 탐구자
Patchouli,Lunasa,루나 크레센트,
Patchouli,Yukari,현자의 방벽,
Patchouli,Wriggle,책벌레,
Patchouli,Mystia,세븐스 문,
Marisa,Patchouli,금서목록,가져가지마-
Patchouli,Eirin,머큐리 오션,연단의 수은
Patchouli,Kaguya,로열 다이아몬드 링,
Patchouli,Reisen,프로젝트 스미요시,스미요시 월면침략계획
Patchouli,Shizuha,리프 슬래셔,
Patchouli,Minoriko,엘리멘탈 하베스터,
Patchouli,Nitori,마법과학 아카데미아,
Patchouli,Sanae,미라큘러스 거스트,
Patchouli,Kanako,무적포대,디스트로이드 콤비
Patchouli,Satori,기록되가는 마음,
Patchouli,Utsuho,디바인 플레어,
Patchouli,Komachi,나른한 도서관,부동의 포대
Patchouli,Yuka,새틀라이트 해바라기,선&문 어택
Patchouli,Tenshi,화담의 마녀,
Patchouli,Sunny,선샤인 리플렉터,
Patchouli,Kurumi,열심히 일하라,대도서관의 함정
Patchouli,Akyu,환상의 서고,
Patchouli,Mima,연속영창,
Patchouli,Yumeko,데몬즈 블레이드,
Sakuya,Remilia,몽환의 홍마조,완전히 소쇄해진 주종관계
Sakuya,Flan,곁에서 새기는 시계,
Sakuya,Letty,COOL LADIES,
Sakuya,Chen,시계태엽 첸,
Sakuya,Alice,조종 돌,
Sakuya,Lyrica,개고기~,
Sakuya,Youmu,백은의 종자,쾌도난마
Sakuya,Yukari,터널 이펙트,거미줄 한 권
Sakuya,Mystia,메이드 씨의 노래,
Sakuya,Reimu,청소의 방해자,
Sakuya,Marisa,매지컬 사쿠야 짱 스타,마법사와 마술사
Sakuya,Udonge,만월의 적안,
Sakuya,Eirin,은발의 종자,말할 수 없는 인연
Sakuya,Kaguya,시간의 주인,
Sakuya,Mokou,불꽃의 시계,영겁의 은발
Sakuya,Reisen,메이드복과 기관총,
Sakuya,Yorihime,금속의 싸움,
Sakuya,Sanae,완상의 인간,
Sakuya,Yamame,실거미 한 가닥,
Sakuya,Byakuren,매직 스타 소드,
Sakuya,Komachi,수명 얼마든지 있음,속도에의 회답
Sakuya,Yuka,달 밑에서 피는 꽃,마이 페이버릿 띵즈
Sakuya,Tenshi,흐림의 종자,
Sakuya,Kurumi,은색수저,
Sakuya,Akyu,홍차의 향기,
Sakuya,Yumeko,싸우는 메이드 씨,금과 은의 메이드
Remilia,Flan,Scarlets,영원히 붉은 어린 쌍달
Remilia,Lunasa,데모나 루나틱,언니는 괴로워
Remilia,Wriggle,흡혈 강의,
Remilia,Reimu,진홍의 결계,
Remilia,Udonge,루나틱 레드,
Remilia,Eirin,진월의 마력,
Remilia,Kaguya,배트 배드 레이디,
Remilia,Mokou,불꽃의 악마,
Remilia,Shizuha,홍색의 언니,
Remilia,Hina,휠 오브 포츈,
Remilia,Aya,빠른 날개,환상향최속결정전
Remilia,Sanae,오망성 육망성,
Remilia,Satori,미저러블 하트,운명의 마음의 사슬
Remilia,Utsuho,신인가 악마인가,진 다이나믹 황제
Remilia,Kogasa,타타라 양산,
Remilia,Yuka,선혈의 붉은 꽃,세계를 물들이는 힘
Remilia,Suika,홍무의 두 악마,
Remilia,Iku,스크램블 러시,
Remilia,Tenshi,주홍색 농무,
Remilia,Kurumi,흡혈은 기본소양,흡혈소녀
Remilia,Akyu,안개 속의 싸움,
Remilia,Shinki,데몬 로드,
Flan,Alice,인디언 돌,프랑틱 돌
Flan,Yuyuko,벚꽃의 광소,미쳐 피는 벚꽃
Flan,Marisa,마법소녀 키리사메 플랑,반짝반짝 별
Flan,Udonge,증폭되는 광기,루나틱 디스트로이어
Flan,Kaguya,유구한 유폐,
Flan,Mokou,파괴와 재생,
Flan,Yorihime,불꽃의 검,
Flan,Minoriko,홍색의 동생,시스터 오브 스칼렛
Flan,Kisume,비밀의 흉악함,
Flan,Parsee,파괴적인 그녀,
Flan,Koishi,그리고 아무도 외롭지 않았다.,
Flan,Nazrin,서치 & 디스트로이,
Flan,Kogasa,타타라 양산 (동생),
Flan,Nue,현대에 사는 공포,언노운 엑스트라
Flan,Sunny,서니 밀크의 홍무이변,
Flan,Kurumi,탄막유희,
Letty,LilyW,봄의 발소리,꽃샘추위
Letty,LilyB,봄의 발소리,꽃샘추위
Letty,Yuyuko,엄동과 영춘,흑막~
Letty,Yukari,잠자는 요괴,
Letty,Wriggle,겨울잠으로의 초대,칩거
Letty,Mystia,환상 해협 겨울 풍경,냉기 바사라
Letty,Shizuha,혹한의 도래,시들해짐의 잠
Letty,Minoriko,결실의 잠,
Letty,Aya,기록적 대한파,
Letty,Utsuho,설국의 온천,
Letty,Yuka,결정의 꽃다발,
Letty,Suika,대설산 토가쿠시 던지기,
Letty,Tenshi,눈보라의 지맥,
Chen,Youmu,요요습격,요요선봉
Chen,Yuyuko,이웃집 언니,
Chen,Ran,요요발호,요괴의 식과 식의 식
Chen,Yukari,야쿠모 첸…?,
Chen,Momiji,캣츠 & 아이,
Chen,Hatate,트윈테일즈,
Chen,Orin,우린 고양이로소이다,냥냥구락부
Chen,OrinC,우린 고양이로소이다,냥냥구락부
Chen,Nazrin,궁지에 몰린 쥐와 함께,
Chen,Kogasa,사람을 놀래키는 정도의 능력,
Chen,Sho,타이거&캣,비상비사문천
Chen,Byakuren,네코마인Z,
Chen,Iku,날아다니는 겹비늘,
Chen,Elliy,문지기의 오렌지,
Alice,Lunasa,기교의 손끝,
Alice,Yukari,기량의 높은 경지,
Alice,Keine,환상소녀의 브레인,박치기는 브레인
Alice,Reimu,구면의 신뢰,앨리스 마에스트라
Alice,Marisa,금주의 영창조,
Alice,Hina,새크리파이스 돌,
Alice,Nitori,마법의 손끝,인형공방NITORI
Alice,Aya,발견! 마을의 순회 공연인,
Alice,Hatate,인도어 스타일,
Alice,Yamame,실 사용자,
Alice,Parsee,저주의 짚인형,
Alice,Satori,스트로 돌,
Alice,Ichirin,사람 행세 요괴,
Alice,Byakuren,마계의 마법사,
Alice,Medicine,자라나는 마음,유독성 자동인형사
Alice,Yuka,칠색의 요화조,다채롭게 피는 요화
Alice,Iku,한다면 하는 여자들,
Alice,Tenshi,우박의 연격,
Alice,Sunny,숲의 주민,
Alice,Star,숲의 주민,
Alice,Luna,숲의 주민,
Alice,Elliy,블론드 헤어,야 금발!
Alice,Mima,비주의 영창,
Alice,Yumeko,마음의 혈연,마계신의 딸들
Alice,Shinki,이어져 가는 것,Dear my...
LilyW,Lyrica,봄이여 오라,버닝 나이트
LilyW,Lunasa,스프링 소나타,
LilyW,Yuyuko,춘설,있으나마나 한 봄
LilyW,Wriggle,경칩,겨울잠에서 깨어나다
LilyW,Mystia,봅의 시,
LilyW,Tewi,럭키 심볼,행운의 징조
LilyW,Reisen,하늘에 걸쳐친 인연,봄빛 지상
LilyW,Shizuha,초겨울의 따뜻한 날씨,
LilyW,Minoriko,파종 시즌,
LilyW,Medicine,은방울꽃의 계절,릴리 오브 더 밸리
LilyW,Yuka,환상춘화,생명의 순환
LilyW,Kurumi,싹트는 악마,
LilyB,Lyrica,봄이여 오라,버닝 나이트
LilyB,Lunasa,스프링 소나타,
LilyB,Yuyuko,춘설,있으나마나 한 봄
LilyB,Wriggle,경칩,겨울잠에서 깨어나다
LilyB,Mystia,봅의 시,
LilyB,Tewi,럭키 심볼,행운의 징조
LilyB,Reisen,하늘에 걸쳐친 인연,봄빛 지상
LilyB,Shizuha,초겨울의 따뜻한 날씨,
LilyB,Minoriko,파종 시즌,
LilyB,Medicine,은방울꽃의 계절,릴리 오브 더 밸리
LilyB,Yuka,환상춘화,생명의 순환
LilyB,Kurumi,싹트는 악마,
Lyrica,Merlin,태양과 별의 음색,키보드 세션
Lyrica,Lunasa,별과 달의 중주,광채육리
Lyrica,Mystia,피아노 레슨,
Lyrica,Marisa,반짝반짝 별의 소리,
Lyrica,Tewi,해치워버려 우사,
Lyrica,Yorihime,멀쩡한 여동생,
Lyrica,Koishi,여동생 요괴,
Lyrica,Kogasa,파라솔 스타 심포니,파라솔 스타 피아노
Lyrica,Byakuren,목어 연탄,
Lyrica,Star,멜로디어스 스타,트릭스타 걸즈
Lyrica,Elliy,엘리를 위하여,
Lyrica,Kurumi,기대의 신성,
Merlin,Lunasa,달과 해의 선율,관현악 앙상블
Merlin,Yuyuko,빙글빙글 블로섬,하이텐션 유령
Merlin,Mystia,관악독창,
Merlin,Tewi,행복 전도사,
Merlin,Kaguya,달의 음율,
Merlin,Hina,빙글빙글~,
Merlin,Yamame,야마메를랑,
Merlin,Parsee,마음을 움직이는 파동,
Merlin,Utsuho,해피 선,태양이 잔뜩
Merlin,Nue,울려라! 유에프오,
Merlin,Komachi,리버사이드 송,
Merlin,Yuka,플라워 락,
Merlin,Tenshi,유정천의 음,
Merlin,Sunny,해피 서니,
Lunasa,Mystia,현악독창,
Lunasa,Marisa,마법사의 우울,
Lunasa,Udonge,루나 사운드 웨이브,
Lunasa,Toyohime,고요의 바다,
Lunasa,Shizuha,평온한 낙엽,
Lunasa,Nazrin,하멜른의 바이올린 연주,
Lunasa,Medicine,노이즈 멜랑콜리,
Lunasa,Luna,사일런트 문,무디 루나
Lunasa,Elliy,엘리의 우울,
Youmu,Yuyuko,유명의 주인조,벚꽃의 검술사범조
Youmu,Ran,요접들의 경호원,요괴들의 경호원
Youmu,Keine,혼혈의 인간,
Youmu,Udonge,GUN×SWORD,
Youmu,Yorihime,검광일섬,참함태도
Youmu,Nitori,디바이딩 엣지,
Youmu,Momiji,백번 단련된 검극,천리안 x 검
Youmu,Yugi,지옥 유명의 고륜,
Youmu,Utsuho,지옥극락 멜트베기,
Youmu,Kogasa,요괴가 담금질한 이 누관검!,아밤 스트랏슈
Youmu,Murasa,망설의 영혼,
Youmu,Sho,불굴의 일선,
Youmu,Byakuren,열반의 적정과도 같이,
Youmu,Yuka,물파초,
Youmu,Tenshi,창천의 검사,
Youmu,Yumeko,블레이드 마스터,
Youmu,Shinki,신을 베는 검,
Yuyuko,Yukari,이중의 요접,게으른 사접
Yuyuko,Mystia,먹느냐 듣게하느냐,배후령 주의
Yuyuko,Reimu,무채색의 벚꽃,
Yuyuko,Eirin,맹월의 술잔,
Yuyuko,Kaguya,영원한 시간의 주민,윤회에서 벗어난 자
Yuyuko,Toyohime,더러움 없는 신체,어렴풋한 더러움
Yuyuko,Aya,마을사람 A 발견,
Yuyuko,Sanae,신령의 해후,
Yuyuko,Kanako,짊어진 것의 거대함,
Yuyuko,Suwako,와접우월,
Yuyuko,Satori,유령들의 관리자,고스트 랜드
Yuyuko,Murasa,미련의 영혼,지금을 살아가는 유령
Yuyuko,Komachi,유명의 인도자,명계안내인
Yuyuko,Eiki,저승을 지켜보는자,
Yuyuko,Yuka,앵화지연총,사령의 밤 벚꽃놀이
Yuyuko,Suika,맑은 술,취객의 삶
Yuyuko,Tenshi,무념무상,천계에서 눈구경과 술을
Yuyuko,Luna,눈과 달과 벚꽃의 나라,
Yuyuko,Mima,머무는 영혼,
Yuyuko,Shinki,너그러운 마음,SP요괴
Ran,Yukari,최강의 주종,비길 자 없는 수학자
Ran,Marisa,스타&폭스,
Ran,Tewi,환상 주토피아,
Ran,Udonge,- Illusion -,환시의 요수
Ran,Kaguya,프린세스 텐코,
Ran,Momiji,쇼기 견왕전,
Ran,Aya,이즈나권현 강림,
Ran,Orin,고양이 목숨은 아홉개,
Ran,OrinC,고양이 목숨은 아홉개,
Ran,Kogasa,엄브렐라 샘플링,
Ran,Sho,금발의 요수조,호가호위
Ran,Byakuren,초인 스펠카드,
Ran,Nue,전설의 요수,
Ran,Komachi,타마모노의 낫,
Ran,Yuka,여우 창문,불퇴불적
Ran,Star,스타 폭스,
Ran,Shinki,탄막수업참관,
Yukari,Wriggle,비행충 네스트,
Yukari,Keine,이어지는 역사,
Yukari,Reimu,환상의 결계조,붙잡을수 없는 하늘의 경계
Yukari,Marisa,인요의 혼천의,
Yukari,Eirin,현자의 추억,지상과 달의 지혜
Yukari,Toyohime,건너편의 달,제 2차 월면전쟁
Yukari,Sanae,상식의 뒷면,
Yukari,Kisume,낯선 백골,
Yukari,Yamame,빛과 어둠의 그물,
Yukari,Satori,이어진 손,요의 기억
Yukari,Koishi,신출귀몰,환상과 실체의 경계
Yukari,Nazrin,현자와 현장,
Yukari,Kogasa,잃어버린 우산의 훌쩍 여행,트윈 엄브렐라
Yukari,Byakuren,보랏빛 구름길,
Yukari,Nue,키마라의 날개,옛 시절을 아는 요괴
Yukari,Komachi,늦잠족,게으르며 우아한 행방불명
Yukari,Eiki,환상의 감시자,
Yukari,Yuka,궁극의 대요괴,끝없는 미소
Yukari,Suika,고참 요괴친구,숨어 사는 친구
Yukari,Tenshi,여우비의 마음씨,잔혹하게 사라져라
Yukari,Akyu,연기의 편집자,요괴박사
Yukari,Mima,요괴의 성좌,
Yukari,Yumeko,언리미티드 탄막 워크스,
Yukari,Shinki,창조자,아인 소프 오르
Wriggle,Mystia,야밤을 비추는 날갯소리,한여름밤의 권유
Wriggle,Marisa,지상의 유성,
Wriggle,Tewi,벌레 포획 재작전,
Wriggle,Kaguya,벌레와 공주님 둘,
Wriggle,Mokou,불타는 여름의 반딧불,
Wriggle,Shizuha,궁극의 발차기,
Wriggle,Minoriko,궁극의 발차기,
Wriggle,Nitori,물가의 요괴,시냇물의 반딧불
Wriggle,Sanae,기적의 매미,
Wriggle,Suwako,벌레는 입 때문에 개구리가 꿀꺽한다,
Wriggle,Yamame,싸움을 잇는 가는 실,
Wriggle,Parsee,질투의 벌레,
Wriggle,Byakuren,매직 버터플라이,
Wriggle,Medicine,다가오는 벌레의 독,
Wriggle,Yuka,화조풍월,꽃과 벌레
Wriggle,Kurumi,개미 관찰대,
Mystia,Reimu,미코미코 레이무,
Mystia,Marisa,내셔널 라이트,
Mystia,Tewi,토끼의 댄스,
Mystia,Mokou,파이어 봄버,불타올라라 새여
Mystia,Aya,새 구이 박멸 동맹,
Mystia,Suwako,돌 일곱 개와 달 일곱 개,
Mystia,Parsee,질투의 노랫소리,
Mystia,Yugi,궤멸의 펑크 샤우트,음격의 오니
Mystia,Utsuho,요괴새의 날개치기,가자 새대가리
Mystia,Byakuren,요괴독경 라이브,
Mystia,Komachi,삼도의 뱃노래,사~암 도~오천 나룻터~
Mystia,Medicine,은~방울꽃~,
Mystia,Suika,밤의 술집 포장마차,
Mystia,Luna,사일런스 보이스,
Keine,Reimu,시작의 역사,
Keine,Tewi,역사의 방관자,태고부터의 역사
Keine,Eirin,영원의 근변,
Keine,Mokou,새기는 인간의 역사,죽림의 인간
Keine,Yorihime,불꽃의 열혈탄막교사,
Keine,Momiji,강철의 고독한 늑대,
Keine,Hatate,저속 돌진,
Keine,Sanae,마을을 지키는 인간,
Keine,Parsee,되돌아오는 이치죠 다리,
Keine,Yugi,지옥의 교사,
Keine,Kogasa,옛날의 소나기,
Keine,Sho,어그레시브 비스트,
Keine,Nue,짐승이 합쳐진 요괴,
Keine,Eiki,걸어다니는 설교,
Keine,Suika,단단한 두 뿔,
Keine,Akyu,마을의 지식인,
Keine,Yumeko,사랑과 열혈의 교육자,
Keine,Shinki,만들어지는 역사,탄막 학부모회
Reimu,Marisa,삼색연화접,영웅과 조정자
Reimu,Tewi,행운의 메커니즘,
Reimu,Eirin,두 망향,
Reimu,Mokou,요괴퇴치의 전문가,요괴 버스터즈
Reimu,Reisen,신사의 달토끼,
Reimu,Yorihime,지상과 달의 무녀,천성의 무녀
Reimu,Shizuha,모셔지지 못하는 들판신님,
Reimu,Minoriko,모셔지지 못하는 들판신님,
Reimu,Momiji,레이무검랑전설,
Reimu,Aya,무녀밀착취재,
Reimu,Hatate,파파라치 격퇴 결계,
Reimu,Sanae,환상의 무녀조,기슭과 산의 무녀
Reimu,Suwako,전신전령의 신놀이,무녀의 신놀이
Reimu,Parsee,하시히메 신사,
Reimu,Orin,스컬 리더,
Reimu,OrinC,스컬 리더,
Reimu,Koishi,지각의 이면,
Reimu,Eiki,낙원의 재녀,
Reimu,Yuka,아름다운 탄막의 꽃,
Reimu,Suika,대등한 인간과 오니,신사에서 빈둥빈둥
Reimu,Tenshi,쾌청의 무녀,
Reimu,Sunny,동방삼월정,오리엔탈 S 플레이스
Reimu,Mima,음양저주옥,
Marisa,Tewi,버섯채취 대작전,
Marisa,Udonge,이스케이프 벨로시티,
Marisa,Yorihime,별가루의 인간,
Marisa,Hina,질풍노도,
Marisa,Nitori,맹우의 연,호기심의 인요
Marisa,Aya,스피드스터,
Marisa,Sanae,별모양의 탄막,모리야스타
Marisa,Kisume,츠루베오토시 자리,
Marisa,Yamame,환상 여단,트레져 헌터
Marisa,Yugi,힘이야말로 파워,
Marisa,Orin,인요 콜렉터즈,참을수 없는 수집벽
Marisa,OrinC,인요 콜렉터즈,참을수 없는 수집벽
Marisa,Utsuho,항성의 마포,
Marisa,Koishi,클로즈드 런어웨이,
Marisa,Nazrin,트레져 헌터,
Marisa,Kogasa,파라솔 스타 매직,
Marisa,Byakuren,블랙 로터스,
Marisa,Yuka,빛과 열의 마포,꽃에 별
Marisa,Suika,이부키도지 자리,
Marisa,Tenshi,이슬비의 포격,
Marisa,Star,슈팅 스타,
Marisa,Luna,좀도둑 수집가,
Marisa,Akyu,요정 버스터즈,요정섬멸조
Marisa,Mima,마법의 사제조,
Marisa,Yumeko,4차원 스커트,
Tewi,Udonge,영야의 흰토끼조,달의 이나바와 지상의 이나바
Tewi,Eirin,신데렐라 케이지,
Tewi,Kaguya,달의 공주와 펫 (지상),달의 공주와 지상의 이나바
Tewi,Reisen,지상의 토끼와 달의 토끼,
Tewi,Toyohime,천성의 행운,
Tewi,Minoriko,맨발 건강법,
Tewi,Nitori,믹스 베지터블,
Tewi,Murasa,후카히레스프의 바다,바닷물의 아픔
Tewi,Sho,남아도는 행운과 재보,
Tewi,Medicine,은방울 꽃밭 빌리기,
Tewi,Yuka,네잎 클로버,
Tewi,Suika,오니의 술 품평가,
Udonge,Eirin,죽림의 약사,약학의 사제
Udonge,Kaguya,달의 공주와 펫 (달),달의 공주와 달의 이나바
Udonge,Reisen,문 솔져스,1호 2호
Udonge,Yorihime,뒤돌아보는 일이 없도록,전 주인과 전 펫
Udonge,Toyohime,달의 상관,
Udonge,Hatate,한창의 걸즈,
Udonge,Sanae,제복 걸즈,오캐닉 오버!
Udonge,Suwako,스와코 중사,
Udonge,Satori,정신감응파,
Udonge,Utsuho,붉은색의 눈,
Udonge,Sho,타이거&버니,
Udonge,Komachi,롱 레인지 슛,
Udonge,Tenshi,내려앉은 청람,
Udonge,Luna,루나틱 루나 차일드,
Eirin,Kaguya,달에서 온 죄인,에테르 영야 되돌리기
Eirin,Mokou,업이 깊은 신체,
Eirin,Reisen,현자의 봉서,달토끼의 편지
Eirin,Yorihime,아득한 달을 생각하다,
Eirin,Toyohime,천인의 계보,질손의 아내
Eirin,Kanako,묶인 대지의 신,
Eirin,Suwako,토착의 신과 하늘의 신,
Eirin,Yamame,병과 약 겨루기,병주고 약주기
Eirin,Satori,현자의 추억,
Eirin,Medicine,독은 곧 약이니,
Eirin,Suika,술은 백약의 으뜸,
Eirin,Star,스타 보야주,
Eirin,Mima,마법 스승과 약학 스승,되살아나는 태고의 문
Kaguya,Mokou,봉래의 인연,영원한 호적수
Kaguya,Reisen,되살아나는 달의 기억,
Kaguya,Yorihime,프린세스 프린세스,
Kaguya,Toyohime,프린세스 피치,고금월도만상전
Kaguya,Shizuha,환상추월,
Kaguya,Minoriko,환상추월,
Kaguya,Hatate,안에서 보는 세계,방구석 파파라치
Kaguya,Suwako,신 난제 「스와코의 모자」,
Kaguya,Kisume,신 난제 「키스메의 두레박」,
Kaguya,Parsee,작자 미상,
Kaguya,Yugi,지상으로의 가교,주고 받은 술잔
Kaguya,Satori,어슴푸레 떠오르는 금각사,
Kaguya,Kogasa,신 난제 「코가사의 우산」,
Kaguya,Byakuren,천년의 감옥,
Kaguya,Nue,정체불명의 광석,
Kaguya,Yuka,달에는 떼구름,
Kaguya,Suika,쇄월,
Kaguya,Tenshi,프린세스 텐코,
Kaguya,Star,삼천년의 구슬,분재 취미
Kaguya,Mima,여유와 교만,
Kaguya,Shinki,생명의 샘,
Mokou,Minoriko,감자튀김,홍련에 구워진 고구마
Mokou,Aya,요익천상,
Mokou,Kanako,재생의 신사,
Mokou,Yugi,불주먹의 격추왕,
Mokou,Orin,지옥의 도깨비불,
Mokou,OrinC,지옥의 도깨비불,
Mokou,Utsuho,업화현란,화염조
Mokou,Nazrin,불쥐,
Mokou,Eiki,단죄의 화염,
Mokou,Tenshi,염천의 맹화,
Mokou,Akyu,다시 보는 날까지,
Reisen,Yorihime,계승되는 이름,교관과 나
Reisen,Toyohime,기대의 명명,
Reisen,Nitori,환상기관총,탄막 무장
Reisen,Orin,땅과 달의 메신저,
Reisen,OrinC,땅과 달의 메신저,
Reisen,Iku,하늘의 날개옷,
Reisen,Tenshi,내려앉은 청람,
Reisen,Yumeko,메이드복과 기관총,
Yorihime,Toyohime,월면의 수호자조,와타츠키의 스펠카드
Yorihime,Nitori,달과 캇파,
Yorihime,Sanae,신령초래,서몬 쿠니유즈리
Yorihime,Kanako,환상 쿠니유즈리,위원중국평정
Yorihime,Satori,와타츠키의 추억,
Yorihime,Utsuho,신들의 그릇,맹렬한 신의 불꽃
Yorihime,Sho,불퇴의 의지,
Yorihime,Byakuren,수적 대일여래,환샹향의 황색 섬광
Yorihime,Eiki,단죄의 일극,격노 뿡뿡
Yorihime,Iku,뇌광일섬,천뢰일섬
Yorihime,Tenshi,천의무봉,
Yorihime,Sunny,설마의 천적,
Yorihime,Mima,비할 데 없는 강한 힘,
Yorihime,Yumeko,선렬한 참격,악 속 참 !
Toyohime,Hina,히나마츠리,
Toyohime,Utsuho,전설거인의 총,분해의 바람
Toyohime,Kogasa,놀란 복숭아나무,
Toyohime,Murasa,풍요의 바다,와다츠미의 마음
Toyohime,Eiki,헬 & 헤븐,
Toyohime,Medicine,봐주는 것 없다,
Toyohime,Iku,용궁에서의 사자,
Toyohime,Tenshi,천계도낭,
Toyohime,Mima,절대적 단단함의 벽,
Shizuha,Minoriko,아키 자매,영고의 신들
Shizuha,Momiji,폴 앤드 폴,
Shizuha,Aya,단풍선풍,
Shizuha,Kanako,같은 머리장식,
Shizuha,Kisume,수줍음 많은 단풍,
Shizuha,Sho,황금의 가을,
Shizuha,Eiki,분노의 단풍,
Shizuha,Elliy,가을의 전사 엘리,
Shizuha,Kurumi,가을의 전사? 쿠루미 짱,
Minoriko,Nitori,야채 슈터,폭발의 채소
Minoriko,Momiji,달리고 떨어지는 고구마,
Minoriko,Aya,고구마 선풍,
Minoriko,Sanae,오곡풍양 라이스 샤워,
Minoriko,Kanako,신의 죽,
Minoriko,Kisume,가을의 낙일,
Minoriko,Sho,여무는 황금,
Minoriko,Iku,하고로모 푸드,
Minoriko,Elliy,가을의 전사 엘리,
Minoriko,Kurumi,가을의 전사? 쿠루미 짱,가지가 휠 정도로 열려라
Hina,Nitori,산의 상담소,캇파와 수난
Hina,Momiji,물가의 감시자,
