ID,Name,PRY,DEF,MOV,HP,MP,TYPE
LAND115,시작의 문,0,0,0,0,0,0
LAND116,봉인의 핵심,0,0,0,0,0,0
LAND117,조그만한 꽃,0,0,0,0,0,0
LAND118,강변,0,0,0,0,0,0
LAND119,희망의 장미,0,0,0,0,0,0
LAND120,공물 배전,0,0,0,0,0,0
LAND121,평지,0,0,0,0,0,0
LAND122,정원,0,0,0,0,0,0
LAND123,기둥,0,0,0,0,0,0
LAND124,추억의 벤치,0,0,0,0,0,0
LAND125,미사용,0,0,0,0,0,0
LAND126,다리,0,0,0,0,0,0
LAND127,잔해,0,0,0,0,0,0
LAND128,논,0,0,0,0,0,0
LAND129,얼음,0,0,0,0,0,0
LAND130,연못(얼음),0,0,0,0,0,0
LAND131,열수 탱크,0,0,0,0,0,0
LAND132,백옥루 계단,0,0,0,0,0,0
LAND133,돌다리,0,0,0,0,0,0
LAND134,모래톱,0,0,0,0,0,0
LAND135,약속의 돌,0,0,0,0,0,0
LAND136,에마 걸이,0,0,0,0,0,0
LAND137,두고간 술잔,0,0,0,0,0,0
LAND138,덤불,0,0,0,0,0,0
LAND139,구멍함정,0,0,0,0,0,0
LAND140,육지(미사용),0,0,0,0,0,0
LAND141,눈사람,0,0,0,0,0,0
LAND142,비상천칙,0,0,0,0,0,0
LAND143,탈출포인트,0,0,0,0,0,0
