ID,再生するファイル,Name,Name_Orig,From,By,Arrange,Sel,採用
bgm_battle_Flan3,bgm_battle_Flan3,엽기적이며 귀여운 게스트~U.N.오웬은 그녀인가?,U.N.오웬은 그녀인가?,동방홍마향 ~ the Embodiment of Scarlet Devil.,ZUN,Ibiza,1,1
bgm_battle_Letty,bgm_battle_Letty,LETTY THE COOL LADY~크리스탈라이즈 실버,크리스탈라이즈 실버,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Letty2,bgm_battle_Letty2,THAWY DAYS~이상향,이상향 ~ Deep Mountain,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Chen,bgm_battle_Chen,오렌지 팬시~댜오예쭝,댜오예쭝(Withered Leaf)/토오노 환상 이야기,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Hourai,bgm_battle_Hourai,애정 가득 수제 인형~부쿠레슈티의 인형사,부쿠레슈티의 인형사,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,1,1
bgm_battle_Alice,bgm_battle_Alice,DANCING DOLL~인형재판,인형재판 ~ 사람의 형상을 가지고 노는 소녀,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Alice2,bgm_battle_Alice2,손 끝을 이어서~Romantic Children,Romantic Children,동방괴기담 ~ Mystic Square,ZUN,cobu,1,1
bgm_battle_LilyW_NS,bgm_battle_LilyW_NS,저 멀리 싹트지 않는 봄의 시~천공에 있는 꽃의 도시,천공에 있는 꽃의 도시,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,1,1
bgm_battle_LilyW,bgm_battle_LilyW,순백의 봄천사(백합)~천공에 있는 꽃의 도시,천공에 있는 꽃의 도시,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,1,1
bgm_battle_LilyB,bgm_battle_LilyB,Black Lily III~천공에 있는 꽃의 도시,천공에 있는 꽃의 도시,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,1,1
bgm_battle_Lunasa,bgm_battle_Lunasa,Luna crescente(Lunasa)~유령악단,유령악단 ~ Phantom Ensemble,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,1,1
bgm_battle_Merlin,bgm_battle_Merlin,샤이니 트랜스 블루(Merlin)~유령악단,유령악단 ~ Phantom Ensemble,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,1,1
bgm_battle_Lyrica,bgm_battle_Lyrica,반짝반짝한 너의 소리(Lyrica)~유령악단,유령악단 ~ Phantom Ensemble,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Prism,bgm_battle_Prism,명계의 프리즘 팬텀~유령악단,유령악단 ~ Phantom Ensemble,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza & cobu,1,1
bgm_pp_prism02,bgm_pp_prism02,무지개에 바람을~유령악단,유령악단 ~ Phantom Ensemble,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,0,1
bgm_battle_Youmu,bgm_battle_Youmu,검 광 일 섬~동방요요몽,동방요요몽 ~ Ancient Temple,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Youmu2,bgm_battle_Youmu2,베어라 수라와 같이~히로아리 괴조를 쏘다,히로아리 괴조를 쏘다 ~ Till When？,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Yuyuko,bgm_battle_Yuyuko,산화의 나비~유아하게 피어라 묵염의 벚꽃,유아하게 피어라 묵염의 벚꽃 ~ Border of Life,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Unknown,bgm_battle_Unknown,BORDER OF LIFE~보더 오브 라이프,보더 오브 라이프,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,0,1
bgm_battle_Yuyuko2,bgm_battle_Yuyuko2,춤추며 웃어라 마을사람A!!~고스트 리드/사령의 밤 벚꽃놀이,고스트 리드/사령의 밤 벚꽃놀이,동방신령묘 ~ Ten Desires.,ZUN,Ibiza,1,1
bgm_battle_Ran,bgm_battle_Ran,CYANO FANTASIA~소녀환장,소녀환장 ~ Necro-Fantasy,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Ran2,bgm_battle_Ran2,ACCEL FOX~요요발호,요요발호 ~ Who done it！,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,cobu,1,1
bgm_battle_Yukari,bgm_battle_Yukari,몽현에 빠져라 - 경계의 추억~네크로 판타지아,네크로 판타지아,동방요요몽 ~ Perfect Cherry Blossom.,ZUN,Ibiza,1,1
bgm_battle_Yukari2,bgm_battle_Yukari2,경계와 추억의 종연~네크로 판타지아,네크로 판타지아,대공마술 ~ Magical Astronomy,ZUN,Ibiza,1,1
bgm_battle_Yukari3,bgm_battle_Yukari3,현자여 인도하소서~밤이 내려온다-전신,밤이 내려온다 ~ Evening Star/전신,동방췌몽상 ~ Immaterial and Missing Power.,ZUN/U2,Ibiza,1,1
bgm_battle_Suika,bgm_battle_Suika,백만귀무뢰 - 개개의 군세~동화나라의 오니들의 섬,동화나라의 오니들의 섬 ~ Missing Power,동방췌몽상 ~ Immaterial and Missing Power.,ZUN,Ibiza,1,1
bgm_weapon_Suika_Yakou,bgm_weapon_Suika_Yakou,만귀융성 - 태고의 힘~쇄월,쇄월,동방췌몽상 ~ Immaterial and Missing Power.,U2,Ibiza,0,1
bgm_battle_Wriggle,bgm_battle_Wriggle,-덧없는 불- Firefly Soul~준준추월 환시의 밤,준준추월 ~ Mooned Insect/환시의 밤 ~ Ghostly Eyes,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,1,1
bgm_weapon_Wriggle_Kick,bgm_weapon_Wriggle_Kick,-항성- Twinkling Rigel~준준추월 환시의 밤,준준추월 ~ Mooned Insect/환시의 밤 ~ Ghostly Eyes,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,0,1
bgm_battle_Mystia,bgm_battle_Mystia,월하의 칠팔성 장어~이젠 노래밖에 들리지 않아/밤참새의 노랫소리,이젠 노래밖에 들리지 않아/밤참새의 노랫소리,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,1,1
bgm_weapon_Mystia_Sparrow,bgm_weapon_Mystia_Sparrow,활짝 열어둔 휴먼 케이지~이젠 노래밖에 들리지 않아,이젠 노래밖에 들리지 않아,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,0,1
bgm_weapon_Mystia_Owl,bgm_weapon_Mystia_Owl,분노의 안티 그릴드~밤참새의 노랫소리,밤참새의 노랫소리,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,0,1
bgm_weapon_Mystia_Mysterious,bgm_weapon_Mystia_Mysterious,바이바이 치킨 하트~이젠 노래밖에 들리지 않아,이젠 노래밖에 들리지 않아,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,0,1
bgm_weapon_Mystia_Master,bgm_weapon_Mystia_Master,문명개화와 사랑의 맛 ~이젠 노래밖에 들리지 않아/밤참새의 노랫소리,이젠 노래밖에 들리지 않아/밤참새의 노랫소리,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,0,1
bgm_battle_Keine,bgm_battle_Keine,강철의 브레인~플레인 에이지아,플레인 에이지아,동방영야초 ~ Imperishable Night.,ZUN,cobu,1,1
bgm_weapon_Keine_Zutsuki,bgm_weapon_Keine_Zutsuki,벌주기 - 사랑의 테마- ~그리운 동방의 피,그리운 동방의 피 ~ Old World,동방영야초 ~ Imperishable Night.,ZUN,cobu,0,1
bgm_battle_KeineH,bgm_battle_KeineH,지금이야말로 달이 차오르는 때~익스텐드 애쉬,익스텐드 애쉬 ~ 봉래인,동방영야초 ~ Imperishable Night.,ZUN,cobu,1,1
bgm_battle_Reimu,bgm_battle_Reimu,SPECTER BUSTER~동방요연담,동방요연담,동방몽시공 ~ Phantasmagoria of Dim.Dream,ZUN,cobu,1,1
bgm_battle_ReimuR,bgm_battle_ReimuR,Dream Balancer~소녀기상곡,소녀기상곡 ~ Dream Battle,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,1,1
bgm_battle_ReimuEX,bgm_battle_ReimuEX,"THANK YOU FOR PLAYING SIDE """"R""""~봄빛 오솔길",봄빛 오솔길 ~ Colorful Path,동방화영총 ~ Phantasmagoria of Flower View.,ZUN,Ibiza,1,1
bgm_weapon_Reimu_Musou,bgm_weapon_Reimu_Musou,봉인의 부적 - 진귀한 빛~Witching Dream,Witching Dream/기타,동방환상향 ~ Lotus Land Story,ZUN,Ibiza,0,1
bgm_weapon_ReimuR_MT,bgm_weapon_ReimuR_MT,그 목소리는 닿지 않으리~영원의 무녀,영원의 무녀,봉래인형 ~ Dolls in Pseudo Paradise,ZUN,Ibiza,0,1
bgm_battle_Marisa,bgm_battle_Marisa,BE A SHOOTING STAR~별의 그릇,별의 그릇 ~ Casket of Star,동방환상향 ~ Lotus Land Story,ZUN,cobu,1,1
bgm_battle_MarisaR,bgm_battle_MarisaR,STARDUST HERO~사랑색 마스터 스파크,사랑색 마스터 스파크,동방영야초 ~ Imperishable Night.,ZUN,cobu,1,1
bgm_battle_MarisaEX,bgm_battle_MarisaEX,"THANK YOU FOR PLAYING SIDE """"M""""~오리엔탈 다크플라이트",오리엔탈 다크플라이트,동방화영총 ~ Phantasmagoria of Flower View.,ZUN,Ibiza,1,1
bgm_weapon_Marisa_Maspa,bgm_weapon_Marisa_Maspa,꿈이 별에 닿는 순간~Dim. Dream,Dim. Dream/기타,동방몽시공 ~ Phantasmagoria of Dim.Dream,ZUN,Ibiza,0,1
bgm_weapon_Reimu_Miiru,bgm_weapon_Reimu_Miiru,삼색탄막 트로이메라이~이색연화접,이색연화접 ~ Red and White,봉래인형 ~ Dolls in Pseudo Paradise,ZUN,Ibiza,0,1
bgm_weapon_ReiMari_SMiiru,bgm_weapon_ReiMari_SMiiru,환상을 건 일격~앨리스 마에스트라,앨리스 마에스트라,동방환상향 ~ Lotus Land Story,ZUN,Ibiza,0,1
bgm_battle_Tewi,bgm_battle_Tewi,달밤에 찧은 거짓말과 떡~우사님의 새하얀 깃발,우사님의 새하얀 깃발/신데렐라 케이지 ~ Kagome-Kagome,동방화영총 ~ Phantasmagoria of Flower View. 기타,ZUN,Ibiza,1,1
bgm_battle_Udonge,bgm_battle_Udonge,Feel eyes on you~광기의 눈동자,광기의 눈동자 ~ Invisible Full Moon,동방영야초 ~ Imperishable Night.,ZUN,cobu,1,1
bgm_weapon_Udonge_Lunatic,bgm_weapon_Udonge_Lunatic,UDON-ZAM~광기의 눈동자,광기의 눈동자 ~ Invisible Full Moon,동방영야초 ~ Imperishable Night.,ZUN,cobu,0,1
bgm_battle_Eirin,bgm_battle_Eirin,MIND OF SPACE~천년환상향,천년환상향 ~ History of the Moon,동방영야초 ~ Imperishable Night.,ZUN,cobu,1,1
bgm_pp_1969,bgm_pp_1969,밤을 가둔 화살과 탄환~보이지1969,보이지1969,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,0,1
bgm_battle_Kaguya,bgm_battle_Kaguya,지극히 정직한 교만과 유희~죽취비상,죽취비상 ~ Lunatic Princess,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,1,1
bgm_pp_1970,bgm_pp_1970,비추는 월향-되돌려지는 밤~보이지1970,보이지1970,동방영야초 ~ Imperishable Night.,ZUN,Ibiza,1,1
bgm_battle_Mokou,bgm_battle_Mokou,영구히 불타는 마음~달까지 닿아라 불사의 연기,달까지 닿아라 불사의 연기,동방영야초 ~ Imperishable Night.,ZUN,cobu,1,1
bgm_battle_MokouEX,bgm_battle_MokouEX,Undying Flames~죽림 인 플레임,죽림 인 플레임,동방심비록 ~ Urban Legend in Limbo.,아키야마 우니,Ibiza,1,1
bgm_battle_Medicine,bgm_battle_Medicine,Innocent Poison~포이즌 바디,포이즌 바디 ~ Forsaken Doll,동방화영총 ~ Phantasmagoria of Flower View.,ZUN,cobu,1,1
bgm_battle_Komachi,bgm_battle_Komachi,PRICE OF LIFE~피안귀향,피안귀향 ~ Riverside View,동방화영총 ~ Phantasmagoria of Flower View.,ZUN,cobu,1,1
bgm_battle_Eiki,bgm_battle_Eiki,칠십년 후의 환상심판~60년만의 동방재판,60년만의 동방재판 ~ Fate of Sixty Years,동방화영총 ~ Phantasmagoria of Flower View.,ZUN,Ibiza,1,1
bgm_battle_Shizuha,bgm_battle_Shizuha,정적의 가을 바람~인간을 사랑한 신,인간을 사랑한 신 ~ Romantic Fall,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Minoriko,bgm_battle_Minoriko,들끓는 수확제~이나다히메님께 야단맞으니까,이나다히메님께 야단맞으니까,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Hina,bgm_battle_Hina,MISERY GO ROUND~운명의 다크사이드,운명의 다크사이드,동방풍신록 ~ Mountain of Faith.,ZUN,cobu,1,1
bgm_weapon_Hina_Pain,bgm_weapon_Hina_Pain,어떤 액신의 노래~재앙신께서 다니시는 길,재앙신께서 다니시는 길 ~ Dark Road,동방풍신록 ~ Mountain of Faith.,ZUN,cobu,0,1
bgm_battle_Nitori,bgm_battle_Nitori,수대공 초요괴 탄두NITORI~아쿠타가와 류노스케의 캇파,아쿠타가와 류노스케의 캇파 ~ Candid Friend,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Nitori2,bgm_battle_Nitori2,계곡과 강의 밑바닥에서~아쿠타가와 류노스케의 캇파,아쿠타가와 류노스케의 캇파 ~ Candid Friend,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,0,1
bgm_battle_Nitori_FA,bgm_battle_Nitori_FA,맹우의 연~신들이 사랑한 환상향,신들이 사랑한 환상향,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Momiji,bgm_battle_Momiji,백랑 괄목하라~폴 오브 폴,폴 오브 폴 ~ 가을다워지는 폭포,동방풍신록 ~ Mountain of Faith.,ZUN,cobu,1,1
bgm_weapon_Momiji_Bite,bgm_weapon_Momiji_Bite,달리고 떨어지는 가을~폴 오브 폴,폴 오브 폴 ~ 가을다워지는 폭포,동방풍신록 ~ Mountain of Faith.,ZUN,cobu,0,1
bgm_battle_Aya,bgm_battle_Aya,질풍! 선풍! 샤메이마루!~풍신소녀,풍신소녀,동방문화첩 ~ Shoot the Bullet.,ZUN,cobu,1,1
bgm_battle_Aya2,bgm_battle_Aya2,검은 날개의 풍신~요괴의 산,요괴의 산,동방풍신록 ~ Mountain of Faith.,ZUN,cobu,1,1
bgm_weapon_AyaHata_DS,bgm_weapon_AyaHata_DS,지금을 베어갈라 문화를 꽃피워라~레트로스펙티브 교토,레트로스펙티브 교토,동방문화첩 ~ Shoot the Bullet.,ZUN,Ibiza,0,1
bgm_battle_Sanae3,bgm_battle_Sanae3,어머니이신 바다여-바람과 함께~신앙은 덧없는 인간을 위해,신앙은 덧없는 인간을 위해,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Sanae2,bgm_battle_Sanae2,함께 살아가는 바람의 증거~신앙은 덧없는 인간을 위해,신앙은 덧없는 인간을 위해,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Sanae,bgm_battle_Sanae,BRAND NEW WIND~소녀가 본 일본의 원풍경,소녀가 본 일본의 원풍경,동방풍신록 ~ Mountain of Faith.,ZUN,cobu,1,1
bgm_battle_Kanako,bgm_battle_Kanako,사나운 신령과 신덕의 바람~신성하고 장엄한 옛 전장,신성하고 장엄한 옛 전장 ~ Suwa Foughten Field,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Suwako,bgm_battle_Suwako,전신 전례 신놀이~네이티브 페이스,네이티브 페이스,동방풍신록 ~ Mountain of Faith.,ZUN,Ibiza,1,1
bgm_battle_Iku,bgm_battle_Iku,LIGHTNING FISH~검은 바다에 붉음을,검은 바다에 붉음을 ~ Legendary Fish,동방비상천 ~ Scarlet Weather Rhapsody.,ZUN,cobu,1,1
bgm_weapon_Iku_Gigadrill,bgm_weapon_Iku_Gigadrill,저 구름을 뚫고~동방비상천,동방비상천/기타,동방비상천 ~ Scarlet Weather Rhapsody.,아키야마 우니,cobu,0,1
bgm_battle_Tenshi,bgm_battle_Tenshi,Colorless Blade~유정천변,유정천변 ~ Wonderful Heaven,동방비상천 ~ Scarlet Weather Rhapsody.,ZUN,Ibiza,1,1
bgm_weapon_Tenshi_Hisouten,bgm_weapon_Tenshi_Hisouten,노발천을 뚫어라!!(short)~천의무봉 유심지의 유정천,천의무봉/유심지의 유정천,동방비상천 ~ Scarlet Weather Rhapsody.,ZUN/아키야마 우니,Ibiza,0,1
bgm_battle_Kisume,bgm_battle_Kisume,산다면 수도의 나무통에서~암흑의 풍혈,암흑의 풍혈,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_Yamame,bgm_battle_Yamame,업비트 스파이더~봉인당한 요괴,봉인당한 요괴 ~ Lost Place,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_Parsee,bgm_battle_Parsee,숨겨진 마음에 울리는 통곡~녹안의 젤러시 건너는 발길이 끊어진 다리,녹안의 젤러시/건너는 발길이 끊어진 다리,동방지령전 ~ Subterranean Animism.,ZUN,Ibiza,1,1
bgm_battle_Yugi,bgm_battle_Yugi,일귀당천-조력무용~꽃의 술잔 오오에야마 옛 지옥 길거리를 가다,꽃의 술잔 오오에야마/옛 지옥 길거리를 가다,동방지령전 ~ Subterranean Animism.,ZUN,Ibiza,1,1
bgm_battle_Satori,bgm_battle_Satori,The eyeline~소녀 사토리,소녀 사토리 ~ 3rd eye,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_weapon_SatoKoi_KHB,bgm_weapon_SatoKoi_KHB,An 3rd LOVE!!~소녀 사토리,소녀 사토리 ~ 3rd eye/기타,동방지령전 ~ Subterranean Animism.,ZUN,cobu,0,1
bgm_battle_Orin,bgm_battle_Orin,JAJAAAN ROCK!!~시체여행,시체여행 ~ Be of good cheer！,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_UtsuhoB,bgm_battle_UtsuhoB,SKYGAZER~업화 맨틀,업화 맨틀,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_Utsuho,bgm_battle_Utsuho,태양을 삼킨 까마귀~영지의 태양신앙,영지의 태양신앙 ~ Nuclear Fusion,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_UtsuhoH,bgm_battle_UtsuhoH,지상에 떨어진 태양~영지의 태양신앙,영지의 태양신앙 ~ Nuclear Fusion,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_UtsuhoH2,bgm_battle_UtsuhoH2,우리들은 지금부터~폐옥 럴러바이,폐옥 럴러바이/기타,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_Koishi,bgm_battle_Koishi,PARANOIA STEP~하르트만의 요괴소녀,하르트만의 요괴소녀,동방지령전 ~ Subterranean Animism.,ZUN,cobu,1,1
bgm_battle_Seirensen,bgm_battle_Seirensen,봄하늘의 배~봄의 항구에서,봄의 항구에서,동방성련선 ~ Undefined Fantastic Object.,ZUN,cobu,1,1
bgm_battle_Nazrin,bgm_battle_Nazrin,녹슮을 모르는 비근한 가족~작디작은 현장,작디작은 현장,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Nazrin_H,bgm_battle_Nazrin_H,My Greatest Treasure~작디작은 현장,마계지방도시 에소테리아/봄의 항구에/작디작은 현장,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Kogasa,bgm_battle_Kogasa,프리즘 파라슈터~만년 방치된 우산에 주의를,만년 방치된 우산에 주의를,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Ichirin,bgm_battle_Ichirin,운거의 철권~쉰세대 아저씨와 신세대 소녀,쉰세대 아저씨와 신세대 소녀,동방성련선 ~ Undefined Fantastic Object.,ZUN,cobu,1,1
bgm_battle_Murasa,bgm_battle_Murasa,크로스 앵커-무라사~캡틴 무라사,캡틴 무라사,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Sho,bgm_battle_Sho,초열의 헝그리 타이거~범무늬의 비사문천,범무늬의 비사문천,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Sho_H,bgm_battle_Sho_H,부활의 골든 브레이버ー~마계지방도시 에소테리아,마계지방도시 에소테리아/기타,동방성련선 ~ Undefined Fantastic Object.,ZUN,cobu,1,1
bgm_battle_Byakuren,bgm_battle_Byakuren,Holy Resistance~감정의 마천루,감정의 마천루 ~ Cosmic Mind,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Nue,bgm_battle_Nue,헤이안 키메라 신드롬~헤이안의 에일리언,헤이안의 에일리언,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Nue2,bgm_battle_Nue2,다시 한번 - 나답게 사는 것~밤하늘의 UFO 로맨스,밤하늘의 UFO 로맨스/기타,동방성련선 ~ Undefined Fantastic Object.,ZUN,Ibiza,1,1
bgm_battle_Tensoku,bgm_battle_Tensoku,우리들의 비상천칙 ver.GSW~우리들의 비상천칙,우리들의 비상천칙,동방비상천칙 ~ 초대형 기뇰의 수수께끼를 쫓아서,아키야마 우니,cobu,1,1
bgm_battle_Tensoku2,bgm_battle_Tensoku2,우리들의 비상천칙 ver.원곡풍~우리들의 비상천칙,우리들의 비상천칙,동방비상천칙 ~ 초대형 기뇰의 수수께끼를 쫓아서,아키야마 우니,cobu,1,1
bgm_battle_Hatate,bgm_battle_Hatate,검색완료의 순풍소녀~당신네 마을의 괴사건,당신네 마을의 괴사건,더블 스포일러 ~ 동방문화첩,ZUN,Ibiza,1,1
bgm_battle_Sunny,bgm_battle_Sunny,굴절할 수 없는 호기심~서니 루틸 플렉션,서니 루틸 플렉션,동방삼월정 ~ Eastern and Little Nature Deity.,ZUN,Ibiza,1,1
bgm_battle_Luna,bgm_battle_Luna,봄이지만 신경 안 써~밤이니까 잠들 수 없어,밤이니까 잠들 수 없어,동방삼월정 ~ Eastern and Little Nature Deity.,ZUN,Ibiza,1,1
bgm_battle_Star,bgm_battle_Star,트릭스터 걸~요정 반짝반짝하게,요정 반짝반짝하게,동방삼월정 ~ Eastern and Little Nature Deity.,ZUN,Ibiza,1,1
bgm_weapon_SFormation,bgm_weapon_SFormation,크게 빛나라 자그마한 미래여~귀여운 대전쟁의 리프레인,귀여운 대전쟁의 리프레인,동방삼월정 ~ Strange and Bright Nature Deity. 제 2권,ZUN,Ibiza,0,1
bgm_battle_Faries,bgm_battle_Faries,우리의 마음처럼 언제나 빛을 휘날리리~언제나 정신없는 호기심,언제나 정신없는 호기심,요정대전쟁 ~ 동방삼월정,ZUN,Ibiza,1,1
bgm_weapon_Faries_FOD,bgm_weapon_Faries_FOD,세 마음이여 불타오르는 샛별이 되어라~요정대전쟁,요정대전쟁 ~ Fairy Wars,요정대전쟁 ~ 동방삼월정,ZUN,Ibiza,0,1
bgm_battle_Mima,bgm_battle_Mima,뫼비우스의 띠 위에서~리인카네이션,리인카네이션,봉래인형 ~ Dolls in Pseudo Paradise,ZUN,cobu,1,1
bgm_battle_Mima2,bgm_battle_Mima2,Enter the Aluren~Reincarnation,Reincarnation,동방몽시공 ~ Phantasmagoria of Dim.Dream,ZUN,Ibiza,1,1
bgm_battle_Elliy,bgm_battle_Elliy,살며시 다가오는 몽환~영전,영전 ~ Perdition crisis,동방환상향 ~ Lotus Land Story,ZUN,Ibiza,1,1
bgm_battle_Elliy2,bgm_battle_Elliy2,꿈의 문에 서있는 소녀~영전,영전 ~ Perdition crisis,동방환상향 ~ Lotus Land Story,ZUN,Ibiza,1,1
bgm_weapon_Elliy_Reflector,bgm_weapon_Elliy_Reflector,꽃에 곁들이는 두 사람~Bad Apple!!,Bad Apple!!,동방환상향 ~ Lotus Land Story,ZUN,Ibiza,0,1
