種別,ID,EF,NAME,Icon,最大LV,VAL1,VAL2,VAL3,COUNT,TARGET,Text,PP,PP_INCR
0,P_HIT,P_HIT,P회수(명중),Power,0,,,,,,공격을 명중시켰을 때 파워가 1 상승한다.,60,0
0,P_EVADE,P_EVADE,P회수(회피),Power,0,,,,,,공격을 회피하거나 그레이즈 했을 때 파워가 1 상승한다.,90,0
0,P_BEAT,P_BEAT,P회수(격파),Power,0,,,,,,아군 유닛이 적을 격추시켰을 때 파워가 1 상승한다.,80,0
0,GUARD,GUARD,가드,Guard,2,,,,,,파워가 130 이상일 때 받는 데미지가 - 10%.\n(L2라면 20%),180,180
0,MIKIRI,MIKIRI,간파,Dodge,2,,,,,,파워가 130 이상일 때 명중 회피 스테이터스가 + 20.\n(L2라면 + 35),140,180
0,SHINNEN,SHINNEN,신념,Damage,2,,,,,,파워가 130 이상일 때 격투 사격 스테이터스가 + 10.\n또한 무기의 크리티컬 확률 + 10%.\n(L2라면 + 20과 + 15%),140,180
0,PROB+,PROB+,극기,Light,2,,,,,,파워가 130 이상일 때 「베어내기」 「실드방어」\n 「카운터」 「분신」등의 발동확률 + 10%.(L2라면 + 15%),250,50
0,EXTEND,EXTEND,익스텐드,Cure,2,,,,,,파워가 150이 되면 SP가 20%(최저 20)회복. L2라면 33%(최저 30) 회복한다.\n한 스테이지당 한번만 발동.,250,150
0,NODIST,NODIST,거리보정무시,Ignore,0,,,,,,공격시 거리 6칸이상일때 발생하는 주는 데미지와 명중률 감소를 무효화.,140,0
0,NOSIZE,NOSIZE,사이즈보정무시,Ignore,0,,,,,,사이즈 차에 의한 주는 데미지 감소를 무효화.,270,0
0,MAXPOW+,MAXPOW+,파워한계돌파,Power,0,,,,,,파워의 최대치가 170이 된다.,240,0
0,SAVE_MP,SAVE_MP,영력절약,Bullet,0,,,,,,소비 MP가 20% 감소.,190,0
0,SAVE_BUL,SAVE_BUL,탄수절약,Bullet,0,,,,,,최대 탄수가 1.5배가 된다.(소수는 올림),190,0
0,UP_SP,UP_SP,정신상승,Buf,9,,,,,,최대 SP가 레벨당 5 상승한다.,30,50
1,MIKO,MIKO,무녀,Star,9,,,,,,레벨에 따라 명중률과 회피율에 보정.,0,0
1,MAHOU,MAHOU,마법사,Star,9,,,,,,레벨에 따라 무기의 공격력과 명중률\n더해서 특수능력 「마법장벽」의 효과에 보정.,0,0
1,ACCURATE,ACCURATE,정밀탄막,Star,0,,,,,,크리티컬시 주는 데미지 + 15%.,0,0
1,SHOSYA,SHOSYA,소쇄,Star,0,,,,,,파워 130 이상일 때 적 유닛을 격추하면 SP를 10 회복한다.,0,0
1,EICHI,EICHI,예지,Star,0,,,,,,파워 130 이상일 때\n명중률과 회피율 + 30% 크리티컬 확률 + 10%.,0,0
1,KIWAMI,KIWAMI,극,Star,0,,,,,,파워 130 이상일 때\n명중률과 회피율 + 20% 받는 데미지 - 20%.,0,0
1,GENIUS,GENIUS,천재,Star,0,,,,,,명중률과 크리티컬 확률 + 20%.,0,0
1,LUCKY,LUCKY,강운,Star,0,,,,,,획득 점수 + 20%.,0,0
1,DOUBLE,DOUBLE,2회행동,Star,0,,,,,,1턴에 2회 행동할 수 있다.,0,0
1,TRIPLE,TRIPLE,3회행동,Star,0,,,,,,1턴에 3회 행동할 수 있다.,0,0
1,CURE_SP,CURE_SP,SP회복,Star,0,,,,,,턴 개시시 SP가 10 회복한다.,0,0
1,HORIKI,HORIKI,법력,Star,5,,,,,,파워 상승에 따라 방어력과 주는 데미지에 보정.\n또한 레벨에 따라 명중률에 보정.,0,0
1,MUSICIAN,MUSICIAN,연주자,Star,0,,,,,,소비 MP를 - 20%.\n효과는 스킬 「영력절약」과 중첩된다.,0,0
1,ORGE,ORGE,귀력,Star,0,,,,,,사이즈차에 의한 주는 데미지 감소와 받는 데미지 상승을 무효화.\n또한 파워 130 이상일 때 받는 데미지 - 10%.,0,0
1,THIRDEYE,THIRDEYE,독심,Star,9,,,,,,턴 개시시에 정신커맨드 「번뜩임」이 걸린다.\n또한 레벨에 따라 명중률과 회피율에 보정.,0,0
1,MAXPOW++,MAXPOW++,파워한계돌파+,Star,0,,,,,,파워의 최대치가 200이 된다.,0,0
1,P_ALL,P_ALL,P회수(올),Star,0,,,,,,P회수 (명중) P회수 (회피) P회수 (피탄) \nP회수 (격파)의 효과.,0,0
1,SOKO+,SOKO+,저력+,Star,9,,,,,,스킬 「저력」과 「기합회피」의 효과.,0,0
1,CURE_SP+,CURE_SP+,SP회복+,Star,0,,,,,,턴 개시시에 SP가 30 회복된다.,0,0
1,P_TURN+,P_TURN+,기분고양+,Star,0,,,,,,턴 개시시에 파워가 7 상승한다.,0,0
1,UNKNOWN,UNKNOWN,???,Star,0,,,,,,???,0,0
1,MUGEN_MAKURA,MUGEN_MAKURA,꿈의 결,Star,9,,,,,,파워 130 이상일 때 행동횟수 + 1 받는 데미지 - 20%.\n또한 레벨에 따라 정신커맨드 「꿈」의소비SP 경감.,0,0
1,MUGEN_MAKURA2,MUGEN_MAKURA2,꿈의 결,Star,9,,,,,,레벨에 따라 정신커맨드 「꿈」의소비SP를 경감.,0,0
1,AQN,AQN,미아레의 아이,Star,0,,,,,,라이브러리 달성률에 따라 모든 스테이터스에 보정.\n또한 주는 데미지가 상승한다.,0,0
2,Y_BUSTER,Y_BUSTER,요괴 버스터,Damage,3,|10|15|20|,,,,,요괴에게 가하는 데미지 + <VAL1>% ,0,0
2,N_KEKKAI,ADD_SPECIAL,이중결계,Guard,0,|N_KEKKAI|,|0|,,|0|,,특수능력 「이중결계」를 추가.\n모든 공격의 데미지를 500 경감한다.(소비MP 10),0,0
2,INTUITION,INTUITION,감,Damage,0,|20|,|10|,,,,크리티컬 확률 + <VAL1>% 명중률 - <VAL2>%.,0,0
2,N_KEKKAI+,SPECIAL_VAL1+,이중결계 강화,Guard,0,|BARRIER_ALL_DIS|,|500|,,,,특수능력 「이중결계」의 효과량 + <VAL2>.,0,0
2,COMPAT+_REIMU,COMPAT+,하늘을나는이상한무녀,Light,0,|0|,|S|,,,,지형적응 「공중」이 S가 된다.,0,0
2,SPELLCARD,SPELLCARD,명명결투법,Buf,0,,,,,, 「몽상천생」발동시에 정신커맨드 「각성」이 걸린다.,0,0
2,D_POWER,D_POWER,탄막은 파워,Damage,3,|30|65|100|,|15|25|40|,,|3|2|1|,SELF_PLAYER,다음 공격의 소비MP를 <VAL1>%늘리고 \n주는 최종 데미지 + <VAL2>%.(<COUNT>회 사용가능),0,0
2,H_WORKER,EXP+,노력가,Light,0,|20|,|0|,,|0|,,획득경험치가 + <VAL1>%.\n효과는 정신커맨드 「노력」등과 중첩된다.,0,0
2,M_THRUSTER,M_THRUSTER,매직쓰러스터,Move,2,|10|20|,|20|30|,,|3|3|,SELF_PLAYER,MP를 <VAL1>소비하여 1턴 동안 명중률과 회피율 + <VAL2>%.\n(<COUNT>회 사용가능),0,0
2,S_STAR,S_STAR,스피드스타,Move,0,|15|,|,,|0|,,이동력 + 1 고속모드의 회피율 + <VAL1>%.,0,0
2,D_POWER_MAX,D_POWER_MAX,탄막은 파워 맥시멈,Damage,0,|0|,|0|,,|1|,SELF_PLAYER,남은 MP를 전부 소비하여 주는 최종데미지를 상승시킨다.\n효과량은 소비MP 에 의존.(<COUNT>회 사용가능),0,0
2,TEACHER,TEACHER,선생,ZOC,2,|8|8|,|15|20|,,|0|0|,GRID8_PLAYER,주위 <VAL1>칸에 있는 아군유닛이 전투로 획득하는 경험치 + <VAL2>%.\n효과는 정신커맨드 「노력」등과 중첩되고 페어 상대에도 유효.,0,0
2,TOSSHIN,MOV+,돌진력,Move,2,|0|0|,|1|2|,,,,저속모드의 이동력 + <VAL2>.,0,0
2,PAIRTO_MOKOU,PAIR+,보호자,Light,3,|Mokou/|Mokou/|Mokou/|,|1|2|3|,,,,모코우와 인접 또는 페어일때 \n서로의 명중률 회피율 등에 보정.효과는 레벨에 의존.,0,0
2,HAKUTAKU+,SPECIAL_VAL1+,월력증폭,Light,0,|ADD_COMMAND2|,|-20|,,,,고유커맨드 「백택화」의 필요파워를 110으로 한다.,0,0
2,SP_COST-_KEINE,SP_COST-,열혈교사,Damage,0,|열혈|,|30|,,,,정신커맨드 「<VAL1>」의소비SP가 <VAL2>이 된다.,0,0
2,WEP+_KEINE,WEP+_RANGE,강철의 브레인,Damage,0,|400|,|2|,,,,무기 「박치기」 「초 박치기」의 공격력 + <VAL1> 사정 + <VAL2>.,0,0
2,D_BRAIN,CRT_DAM+,탄막은 브레인,Damage,3,|10|15|20|,,,,,크리티컬시 주는 데미지 + <VAL1>%.,0,0
2,MARIONETTE,MARIONETTE,인형술사,Light,3,|1|2|3|,|8|8|8|,,|,RANGE_PLAYER,거리 <VAL1>칸이내에 인형이 있을 경우 \n명중률과 회피율 + <VAL2>%.인형에게도 같은효과.,0,0
2,DOLL_NUM+,NUMUC+,인형사,Light,0,|DOLL_CREATE_HOURAI|,|3|,,,,고유커맨드 「인형생성」의 사용가능횟수를 2배로 한다.,0,0
2,DOLL_SHANGHAI,ADD_SPECIAL,상하이 인형,Light,0,|DOLL_CREATE_SHANGHAI|,|0|,,|,|,특수능력 「인형생성(상하이)」을 추가.\nMP를 40소비하여 유닛 「상하이 인형」을 생성한다.,0,0
2,FREEZE,WEPSP_REPLACE,프리즈,Debuf,0,|ADD_STATE/PRY-/25|,|회피율25%다운|,|1|,,,무기 「냉동광선」의 추가효과를 「<VAL2>」로 바꾼다.,0,0
2,PAIR_DAICHIRU,PAIR+,한쌍의 요정,Light,3,|Daiyosei/|Daiyosei/|Daiyosei/|,|1|2|3|,,,,대요정과 인접 또는 페어일때 \n서로의 명중률 회피율 등에 보정.효과는 레벨에 의존.,0,0
2,I_BARRIER+,BARRIER_ADD_DIS,얼음파워,Guard,3,|BARRIER_NOL|BARRIER_NOL|BARRIER_NOL|,|1500|1700|2000|,,,,특수능력 「아이스배리어」의 성능이 변화.\n효과는 레벨에 의존.,0,0
2,NOSIZE_CIRNO,POW_FDAM+,뜨거운 얼음요정,Damage,0,|130|,|10|,,,,파워가 <VAL1> 이상일 때 주는 최종데미지가 1.1배가 된다.,0,0
2,ATAI,SPIRIT_MARK,최강의 탄막,Damage,0,|YUKI|,|180|,,,,정신커맨드 「용기」를 사용했을때의 데미지배율이 1.8배가 된다.,0,0
2,KENAGE,KENAGE,기특함,Cure,6,|||||더해서 대상을 페어전체로 확대한다.|더해서 대상을 페어전체로 확대한다.|더해서 대상을 페어전체로 확대하고 사정+1.|,|10|15|20|30|35|40|50|,,,, 「치유」의소비MP를 5로 하고 회복량 + <VAL2>%.\n <VAL1>,0,0
2,IYASHI,SPIRIT+,치유계,Cure,0,|신뢰|,|0|,,,,정신커맨드 「<VAL1>」의효과대상이 페어전체가 된다.,0,0
2,PAIRTO_CIRNO,PAIR+,명조수,Light,3,|Cirno/|Cirno/|Cirno/|,|1|2|3|,,,,치르노와 인접 또는 페어일때 \n서로의 명중률 회피율 등에 보정.효과는 레벨에 의존.,0,0
2,GANBARIYA,UP_ALL,노력가,Light,4,|5|15|25|40|,,,,,모든 스테이터스 + <VAL1>.,0,0
2,CURE_SP_BEAT,CURE_SP_BEAT,전장의 눈물,Cure,0,|5|,|10|,,,,아군이 적유닛을 <VAL1>체 격추할때마다 SP가 <VAL2>회복된다.,0,0
2,YAMI+,SPECIAL_VAL1+,어둠강화,Guard,3,|BARRIER_L_DIS|BARRIER_L_DIS|BARRIER_L_DIS|,|500|1000|1500|,,,,특수능력 「어둠」의 효과량 + <VAL2>.,0,0
2,DARKNESS,WEPSP_REPLACE,암흑,Debuf,0,|ADD_STATE/HIT-/30|,|명중률30%다운|,|2|,,,무기 「나이트버드」의추가효과가 「<VAL2>」로 변화.,0,0
2,ZOC_NIGHT,ZOC_NIGHT,밤의 어둠,ZOC,3,|1|2|3|,|1|1|1|,,|0|0|0|,RANGE_ALL,거리 <VAL1>칸 이내의 아군유닛의 지형이 「밤」이 된다.\n페어상대에게도 유효.,0,0
2,WEP+_GEN_BAKA,WEP+_GEN,바콰르텟강화,Light,0,|200|,|baka/fbaka|,,,,무기 「바콰르텟 스페셜」의공격력 + <VAL1>.\n파워가 140 이상이 되면 같은 스킬을 세트한\n유닛 전원의 효과를 받아 보정이 중첩된다.,0,0
2,YAMI++,REPLACE_SPECIAL,밤보다어두운어둠,Guard,0,|BARRIER_L_DIS|,|YAMI+|,,,,특수능력 「어둠」이 「어둠 + 」로 변화.\n모든 공격의 데미지를 1500 경감한다.(소비MP 10),0,0
2,EXRUMIA,SPIRIT_CHANGE,EX파워,Light,0,|「탈력」이「각성」|,|75|,,,,정신커맨드 <VAL1>이 된다.\n(소비SP는 <VAL2>이 된다.),0,0
2,P_SQUARE+,PROB+_PSQUARE,루나다이얼,Dodge,4,|10|15|20|25|,,,,,특수능력 「프라이빗 스퀘어」의 발동확률 + <VAL1>%.,0,0
2,KNIFE_COLLECT,KNIFE_COLLECT,나이프회수,Light,0,,,,,,소비MP를 늘리는 대신에 탄수를 소비하지 않는다.,0,0
2,MEIDOCHO,PROB+_COUNTER_POW,메이드장,Light,3,|130|130|130|,|30|40|50|,,,,파워가 <VAL1>이상일때 카운터발동확률 + <VAL2>%.\n스킬 「패턴화」가 없을 경우에도 유효.,0,0
2,REATTACK_SAKUYA,REATTACK_POW,타임 패러독스,Light,0,|130|,,,,,파워가 <VAL1> 이상일 때 자신에게 원호공격을 한다.,0,0
2,SAKUYA,SAKUYA,완벽하고소쇄한메이드,Light,0,,,,,,정신커맨드 「연격」이 1턴에 몇번이든 사용가능하게 된다.,0,0
2,HAISUI,HAISUI,배수의 진,Guard,0,|166|133|,|170|170|,,,,남은 HP에따라 방어 스테이터스에 보정.,0,0
2,KOUKIKOU,ADD_SHIELD,경기공,Guard,2,|1|2|,,,,,피탄당할때 일정확률로 방어한다.\n발동확률은 스킬 「블로킹L <VAL1>」과 같다.,0,0
2,SHUKIHOU,ADD_SPECIAL,집기법,Cure,0,|CURE_HP_S|,|0|,,,,특수능력 「HP회복(소)」추가.,0,0
2,SHINKYAKU,COMPAT+,진각,Light,0,|1|,|S|,,,,지형적응 「땅」이 S가 된다.,0,0
2,SUBGUARD_MEILING,SUBGUARD,홍마의 용,Guard,2,,,,|3|4|,PASSIVE,아군페이즈에 원호방어를 할수있다.(<COUNT>회 사용가능),0,0
2,MUGEN,RANGE+_WEP,무간의 길,Light,0,|100|,,,|2|,SELF_PLAYER,한번만 최대사정이 3이상인 공격의 사정을 무한으로 한다.\n단 이동후의 공격엔 사용할수 없다.(<COUNT>회 사용가능),0,0
2,TAKURAKU,TAKURAKU,척락실로,Cure,0,|CURE_HP_M|,|20|,,,,특수능력 「HP회복(중)」이 추가되지만 출격시 파워 - <VAL2>.,0,0
2,POINT+_KOMACHI,POINT+,뱃삯 징수,Get,0,|10|,,,,,획득 점수 + <VAL1>%.,0,0
2,WEP_P+_KOMACHI,WEP_P+,이혼의 낫,Light,0,|2|,|0|,,|0|,,무기 「저승행 체험판」가 이동후 사용가능이 된다.,0,0
2,KYAN,KYAN,깡!,Power,0,|30|,|2|,,,,에이키가 맵상에 있을 경 출격시의파워 + <VAL1> \n각 턴 개시시에 파워가 <VAL2>상승한다.,0,0
2,KISHIKAISEI,KISHIKAISEI,기사회생,Cure,0,|20|,|100|,,,,HP MP SP가 전부 <VAL1>%이하가 됐을때 \nHP MP SP가 최대치까지 회복된다.\n고유커맨드 「리저렉션」의 발동횟수는 0이 된다.,0,0
2,KAMARI,KAMARI,스테가마리,Damage,0,|10|,,,,,특수능력 「HP회복(중)」이 사라지는 대신에 주는 데미지 + <VAL1>%.,0,0
2,R_PLUS,R_PLUS,R플러스,Light,3,|2|3|4|,,,,,고유커맨드 「리저렉션」의 발동횟수가 <VAL1>이 된다.,0,0
2,R_PHOENIX,R_PHOENIX,R피닉스,Light,0,|2|,|20|,,,,고유커맨드 「리저렉션」이 발동할때의 HP회복량 + <VAL2>%.\n또한 「리저렉션」의 발동횟수가 <VAL1>이 된다.,0,0
2,R_VOLCANO,R_VOLCANO,R볼케이노,Light,0,|1|,,,,,고유커맨드 「리저렉션」이 발동했을때 \n 「열혈」 「불굴」 「필중」 「기백」이 걸린다.,0,0
2,R_IMPERISH,R_IMPERISH,R임페리셔블,Light,0,|2|,|25|,,,,고유커맨드 「리저렉션」이 발동했을때 MP SP가 <VAL2>%회복된다.\n또한 「리저렉션」의 발동횟수가 <VAL1>이 된다.,0,0
2,PERDITION,CRT+_DIST,퍼디션,Damage,0,|100|,,,,,적유닛에 인접하고 있을 때 반드시 크리티컬이 발생.,0,0
2,TILE,BATTLE_NOMOVE,마루탄막,Debuf,0,|0|,|NOMOVE|,,|3|,SELF_ENEMY,1턴 동안 자신의공격에 「1턴이동불능」의 추가효과를 부여.\n(<COUNT>회 사용가능),0,0
2,SP_COST-_ELLIY,SP_COST-,꺾이지않는 마음,Cure,0,|근성|,|15|,,,,정신커맨드 「<VAL1>」의 소비SP가 <VAL2>이 된다.,0,0
2,SPIRIT_POW_TURN_ELLIY,SPIRIT_POW_TURN,불굴의 엘리 짱,Light,0,|130|,|「불굴」|,,,,파워가 <VAL1> 이상일 때 턴 개시시에 정신커맨드 <VAL2>이 걸린다.,0,0
2,SABBATH,BATTLE_NOSELECT,브레이크 더 사바스,Debuf,0,|0|,|NO_SELECT|,,|3|,SELF_ENEMY,다음 공격에 「1턴방어와 회피불능」의 추가효과를 부여.(<COUNT>회 사용가능),0,0
2,NIGHT_DEMON,NIGHT_DEMON,밤의 권속,Light,0,|20|,,,,,지형 「밤」에 있을 때 명중률과 회피율 + <VAL1>%.,0,0
2,HIT+_NOCATK_KURUMI,HIT+_NOCATK,안지안정,Hit,0,|100|,,,,,적의 반격을 받지 않을때 명중률이 100%가 된다.\n원호공격 과 지원공격엔 항상 효과가 발생.,0,0
2,CONTRACT_KURUMI,CONTRACT_KURUMI,악마와 계약,Buf,0,|50|,,,|2|,UNIT_PLAYER,지정한 아군유닛의MP를 <VAL1>소비하여 \n정신커맨드 「번뜩임」 「필중」의효과를 부여.(<COUNT>회 사용가능),0,0
2,SP_COST-_KURUMI,SP_COST-,타력본원,Light,0,|기대|,|65|,,,,정신커맨드 「<VAL1>」의 소비SP가 <VAL2>이 된다.,0,0
2,SUN_FAIRY,SPECIAL_VAL1+_NOON,햇빛의 요정,Cure,0,|CURE_HP|,|30|,,,,낮 맵에서 HP회복량 + <VAL2>%.,0,0
2,THREE_FAIRIES_SUNNY,PAIR+,빛의 삼요정,Light,4,|Luna/Star/|Luna/Star/|Luna/Star/|Luna/Star/|,|1|2|3|4|,,,,루나나 스타와 인접 또는 페어일때 \n서로의 명중률 회피율 등에 보정.효과는 레벨에 의존.,0,0
2,REFLECTION,REFLECTION,리플렉션,ZOC,0,|4|,|1|,,|3|,SELF_PLAYER,1턴 동안 거리 <VAL2>칸의 아군유닛과 자신의 페어가 적유닛의 공격대상이 되지 않는다.\n자신이 공격할때엔 반격을 받는다.(<COUNT>회 사용가능),0,0
2,S_BARRIER+,SPECIAL_VAL1+,서니배리어 강화,Guard,3,|BARRIER_L|BARRIER_L|BARRIER_L|,|500|1000|1500|,,|0|0|0|,,특수능력 「서니배리어」의효과량 + <VAL2>.,0,0
2,SPIRIT_CHANGE_SUNNY,SPIRIT_CHANGE,반짝이는햇빛,Light,0,|「열혈」이「용기」|,|70|,,,,정신커맨드 <VAL1>가 된다.\n(소비SP는 <VAL2>이 된다.),0,0
2,LUNA_FAIRY,SPECIAL_VAL1+_NIGHT,달의 요정,Cure,0,|CURE_HP|,|30|,,,,밤 맵에서 HP회복량 + <VAL2>%.,0,0
2,THREE_FAIRIES_LUNA,PAIR+,빛의 삼요정,Light,4,|Star/Sunny/|Star/Sunny/|Star/Sunny/|Star/Sunny/|,|1|2|3|4|,,,,스타나 서니와 인접 또는 페어일때 \n서로의 명중률 회피율 등에 보정.효과는 레벨에 의존.,0,0
2,SILENCE,SILENCE,사일런스,Hit,3,|8|8|8|,|15|20|25|,,|0|0|0|,GRID8_PLAYER,주위 <VAL1>칸에있는 아군유닛의명중률 + <VAL2>%.\n페어상대에도 유효.,0,0
2,SPIRIT_CHANGE_LUNA,SPIRIT_CHANGE,조용한달빛,Light,0,|「기합」이「기백」|,|45|,,,,정신커맨드 <VAL1>이 된다.\n(소비SP는 <VAL2>이 된다.),0,0
2,STAR_FAIRY,SPECIAL_VAL1+,별의 요정,Cure,0,|CURE_HP|,|20|,,,,낮 밤에 상관없이 HP회복량 + <VAL2>%.,0,0
2,THREE_FAIRIES_STAR,PAIR+,빛의 삼요정,Light,4,|Sunny/Luna/|Sunny/Luna/|Sunny/Luna/|Sunny/Luna/|,|1|2|3|4|,,,,서니나 루나와 인접 또는 페어일때 \n서로의 명중률 회피율 등에 보정.효과는 레벨에 의존.,0,0
2,RADER,RADER,레이더,Dodge,3,|8|8|8|,|8|12|16|,,|0|0|0|,GRID8_PLAYER,주위 <VAL1>칸에 있는 아군유닛의회피율 + <VAL2>%.\n페어상대에도 유효.,0,0
2,SPIRIT_CHANGE_STAR,SPIRIT_CHANGE,쏟아지는별빛,Light,0,|「정찰」이「기습」|,|50|,,,,정신커맨드 <VAL1>이 된다.\n(소비SP는 <VAL2>이 된다.),0,0
2,ENCHANT_AGNI,WEP_P+,인첸트(화부),Light,0,|1|,,,,,무기 「이그니션」이 이동후 사용가능이 된다.,0,0
2,LIBRARY,LIBRARY,움직이지않는대도서관,Light,0,|1|,|300|,,,,이동하지 않고 턴을 종료하면 소비MP 가 경감하고 \n다음 턴의 사격공격의 사정 + <VAL1> 특수능력 「마법장벽(파체)」의효과량 + <VAL2>.,0,0
2,M_SHIELD+_PATCHE,M_SHIELD+_PATCHE,장벽강화(파체),Guard,4,|450|600|750|900|,|10|10|10|10|,,,,특수능력 「마법장벽(파체)」의\n소비MP를 <VAL2>늘리고 효과량 + <VAL1>.,0,0
2,CURE_MP_PATCHE,CURE_MP_PATCHE,마력순환기구,Cure,0,|20|,,,,,특수능력 「마법장벽(파체)」이\n공격을 무효화하면 MP가 <VAL1>회복된다.,0,0
2,KENJA,KENJA,현자의 돌,Damage,0,|1000/1000/800/600/500/400/400/400/|,,,|1|,SELF_PLAYER,모든 무기의 공격력이 한번만 400~1000상승한다.\n효과량은 무기에 의존.(<COUNT>회 사용가능),0,0
2,K_BOOSTER,K_BOOSTER,소악부스터,Cure,0,|0|,|0|,,|0|,,이동후에도 「보급」을 사용할 수 있게된다.,0,0
2,CONTRACT_KOA,CONTRACT_KOA,악마와의 계약,Buf,0,|10|,|10|,,|2|,UNIT_PLAYER,지정한 유닛의파워를 <VAL1>소비하여 \n 「매턴MP <VAL2>%회복」의효과를 부여.(<COUNT>회 사용가능),0,0
2,POW+_CURE_MP_KOA,POW+_CURE_MP,에너지 보급,Cure,0,|10|,,,,, 「보급」을 사용하면 자신의 파워가 <VAL1>상승한다.,0,0
2,K_FIGHTER,K_FIGHTER,소악파이터,Damage,0,|200|,,,,,무기 「링탄」이 이동후에도 사용가능해지고 \n모든 무기의 공격력 + <VAL1>.,0,0
2,SP_COST-_KOA,SP_COST-,모시겠습니다~,Light,0,|보급|,|50|,,,,정신커맨드 「<VAL1>」의 소비SP가 <VAL2>이 된다.,0,0
2,N_ARM+,SPECIAL_VAL1+,늘~어나는 팔+,Light,0,|RANGE+_ITEM|,|1|,,|0|,,특수능력 「늘~어나는 팔」의 사정 + <VAL2>.,0,0
2,SP_COST-_NITORI,SP_COST-,맹우의 연,Light,0,|우정|,|30|,,,,정신커맨드 「<VAL1>」의 소비SP가 <VAL2>이 된다.,0,0
2,SATTACK_HIT+,SATTACK_HIT+,서포트 어택,Hit,2,|30|50|,,,,,원호공격 과 지원공격의명중률 + <VAL1>%.,0,0
2,OPTICAL,SPECIAL_VAL1+,O 카모플라쥬,Dodge,0,|O_CAMO|,|25|,,,,특수능력 「O 카모플라쥬」의 발동확률 + <VAL2>%.\n니토리(FA)일때도 유효.,0,0
2,CARPET,CARPET,워터카펫,ZOC,0,|1|,|1|,,|2|,SELF_PLAYER,1턴 동안 거리 <VAL1>칸의유닛과 자신페어의지형이 「물」로 판정된다.\n명중률과 데미지에만 영향을 주며 실제로 있는 지형엔 영향이 없다.\n(<COUNT>회 사용가능),0,0
2,NITORI,NITORI,환상향의 메카닉,Light,0,,|50|,,,,소비아이템의효과량 과 장비로인한 스테이터스상승치가 1.5배가 된다.\n(후자는 HP MP 운동성 장갑 이동력이 적용됨),0,0
2,CROP,BONUS_ITEM,수확,Get,0,|CURE_SP_IMO|,|99|,,,,스테이지 클리어시에 아이템을 입수할 수 있다.\n(입수 아이템은 계절에 따라 달라진다.),0,0
2,BONUS_LVUP_AKI,BONUS_LVUP,결실,Get,0,|3000|,|10|,,,,레벨업시에 보너스 점수 <VAL1>와 보너스 PP <VAL2>를 획득한다.\n(보급으로인한 레벨업도 포함),0,0
