BulID,BulEF,Text,Name,Type,Val1,Val2,Val3
ALLHIT_REIMUR,ALLHIT,[아군] 회피불능(단「번뜩임」은 유효),회피불능,0,|,|,
FPRY-_MARISA,FPRY-,[아군] 최종회피율 -<VAL1>%,최종회피율 -<VAL1>%,0,|15|25|30|35|,|,
PROB+_SHIELD2,PROB+_SHIELD,[적군] 실드방어의 발동확률 +<VAL1>%,발동상승(실드방어),1,|15|25|35|50|,|,
HP+_DAICHAN,HP+,[적군] 턴 개시시 HP<VAL1>%회복,HP<VAL1>%회복,1,|10|20|30|40|,|,
HP+_LILYW,HP+,[적군] 턴 개시시 HP<VAL1>%회복,HP<VAL1>%회복,1,|10|20|30|40|,|,
NO_DIST,NO_DIST,[아군] 거리보정의 플러스 수치를 무효화,거리보정무효,0,|5|8|10|15|,|,
MP-_KOA2,MP-,[아군] 매 턴 MP -<VAL1>,MP감소,0,|10|15|20|30|,|,
MP_COST-_PATCHE,MP_COST-,[적군] MP소비량 -<VAL1>%,MP절약,1,|20|40|60|80|,|,
DEF+_MEILING,DEF+,[적군] 받는 데미지 -<VAL1>%,받는 데미지 -<VAL1>%,1,|10|20|25|35|,|,
NO_POW_SHIZUHA,NO_POW,[아군] 전투해도 파워가 상승하지 않는다,파워상승없음,0,|,|,
SP-_SUWAKO,SP-,[아군] 턴 개시시 SP -<VAL1>,SP감소,0,|5|10|15|20|,|,
DEF+_MGR_MIMA,DEF+_MGR,[적군] 사격공격으로 받는 데미지 -<VAL1>%,받는 데미지 -<VAL1>%(사격),1,|35|50|65|80|,|,
PRY+_HATATE,PRY+,[적군] 회피율 +<VAL1>%,회피율 +<VAL1>%,1,|15|20|30|40|,|,
ATP+_KEINE,DAM+_ATP,[적군] 격투공격으로 주는 데미지 +<VAL1>%,주는 데미지 +<VAL1>%(격투),1,|10|15|20|25|,|,
LVDOWN_KEINEH,LVDOWN,[아군] 레벨이 <VAL1>만큼 낮을때의 스테이터스가 된다,능력다운(레벨),0,|15|25|35|99|,|,
CURE_HP+_MOKOU,CURE_HP+,[모코우] 특수능력 「HP회복」의 효과 업,HP회복 +,2,|,|Mokou_en|Mokou_en|Mokou_en|Mokou_en|,
SOKO+_MOKOU,SOKO+,[모코우] 「저력」과 「기합회피」의 보정치 +<VAL1>%,저력/기합회피 강화,2,|50|100|150|200|,|Mokou_en|Mokou_en|Mokou_en|Mokou_en|,
HIT-_PRY-_RATE_UDONGE,HIT-_PRY-_RATE,[아군] 명중률과 회피율 반감,명중/회피 반감,0,|50|50|50|50|,|100|100|100|100|,
PARAM-_EIRIN,PARAM-,[아군] 「방어」 스테이터스가 제로가 된다,스테이터스무효(방어),0,|3|3|3|3|,|400|400|400|400|,
CRT+_ATK_EIRIN,CRT+_ATK,[에이린] 반드시 크리티컬이 발생,확정크리티컬,2,|100|100|100|100|,|Eirin_en|Eirin_en|Eirin_en|Eirin_en|,
NO_COMMAND_EIRIN,NO_COMMAND,[아군] 일부 커맨드 이외 사용불능,행동불능,0,|,|,
HP+_EIRIN,HP+,[적군] 턴 개시시 HP<VAL1>%회복,HP<VAL1>%회복,1,|20|30|40|50|,,
PRY-_KAGUYA,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|15|30|40|50|,,
DEF+_KAGUYA,DEF+,[카구야] 받는 데미지 -<VAL1>%,받는 데미지 -<VAL1>%,2,|20|30|40|50|,|Kaguya_en|Kaguya_en|Kaguya_en|Kaguya_en|,
CONSUME+_MP_KAGUYA,CONSUME+_MP,[아군] 소비MP +<VAL1>%,소비MP +<VAL1>%,0,|20|25|33|40|,|,
HP+_KAGUYA,HP+,[카구야] 턴 개시시 HP전부회복,HP전부회복,2,|100|100|100|100|,|Kaguya_en|Kaguya_en|Kaguya_en|Kaguya_en|,
CONSUME+_SP_KAGUYA,CONSUME+_SP,[아군] 소비SP +<VAL1>%,소비SP +<VAL1>%,0,|20|30|40|50|,|,
NOSPIRIT_KAGUYA_A,NOSPIRIT,[아군] 「번뜩임」무효,정신무효(번뜩임),0,|HIRAMEKI|HIRAMEKI|HIRAMEKI|HIRAMEKI|,|,
NOSPIRIT_KAGUYA_B,NOSPIRIT,[아군] 「불굴」무효,정신무효(불굴),0,|FUKUTSU|FUKUTSU|FUKUTSU|FUKUTSU|,|,
FDAM+_FLAN2,FDAM+,[적군] 최종 주는 데미지 +<VAL1>,최종 주는 데미지 +<VAL1>,1,|500|1000|1500|2000|,|,
HIT+_FLAN,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|10|20|30|40|,|,
NOENTER_UNIT_FLAN,NOENTER_UNIT,[레밀리아] 통행불가,통행불가,2,|,|Remilia|Remilia|Remilia|Remilia|,
FDAM+_UTSUHOB,FDAM+,[적군] 최종 주는 데미지 +<VAL1>,최종 주는 데미지 +<VAL1>,1,|50|50|50|50|,|,
HP+_ORIN,HP+,[원령] 원령계 유닛의 HP<VAL1>%회복,HP<VAL1>%회복(원령),2,|10|15|20|25|,|Onryo_en/OnryoR_en/OnryoL_en|,
HIT+_GYOKUTO,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|10|15|20|25|,|,
MOV-_YORIHIME,MOV-,[아군] 이동력 -<VAL1>,이동력 -<VAL1>,0,|2|2|3|3|,|,
FDAM+_YORIHIME,FDAM+,[요리히메] 최종 주는 데미지 +<VAL1>,최종 주는 데미지 +<VAL1>,2,|800|1200|1600|2000|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
NOHIT_MGR_YORIHIME,NOHIT_MGR,[요리히메] 사격공격을 완전회피(필중보다 우선),사격완전회피,2,|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
NOHIT_MGR_YORIHIME,NOHIT_MGR,[요리히메] 사격공격을 완전회피(필중보다 우선),사격완전회피,2,|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
ADD_SPIRIT_YORIHIME1,ADD_SPIRIT,[요리히메] 턴 개시시 「가속」이 걸린다,정신발동(가속),2,|KASOKU|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
OVERHIT_YORIHIME,OVERHIT,[요리히메] 명중률이 100%를 돌파 (초과한 만큼 공격력에 보정이 된다),명중한계돌파,2,|50|100|100|100|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
TRESPASS_YORIHIME,TRESPASS,[요리히메] 적 유닛이 있는 칸도 통과할 수 있다,유닛통과,2,|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
ADD_SPIRIT_YORIHIME2,ADD_SPIRIT,[요리히메] 턴 개시시 「각성」이 걸린다,정신발동(각성),2,|KAKUSEI|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
PARAM+_ALL_YORIHIME,PARAM+_ALL,[요리히메] 모든 스테이터스 +<VAL1>,모든 스테이터스 +<VAL1>,2,|30|40|50|60|,|Yorihime_en|Yorihime_en|Yorihime_en|Yorihime_en|,
DEF+_KISUME2,DEF+,[적군] 받는 데미지 -<VAL1>%,받는 데미지 -<VAL1>%,1,|50|60|70|80|,|,
PARAM-_ALL_YAMAME2,PARAM-_ALL,[아군] 모든 스테이터스 -<VAL1>,모든 스테이터스 -<VAL1>,0,|10|15|20|25|,|,
WEPDAM-_YAMAME,WEPDAM-,[아군] 무기의 공격력 -<VAL1>,무기의 공격력 -<VAL1>,0,|350|500|650|800|,|,
UNIT2-_YAMAME,UNIT2-,[아군] 운동성 장갑 -<VAL1>%,운동성/장갑 -<VAL1>%,0,|40|50|60|75|,|,
PRY-_PARSEE,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|10|15|20|25|,|,
DAM+_ATP_YUGI,DAM+_ATP,[적군] 격투공격으로 주는 데미지 +<VAL1>%,주는 데미지 +<VAL1>%(격투),1,|15|20|30|40|,|,
JEALOUSY,JEALOUSY,[파르시] 상대의 강화도와 Ex-Lv에 따라 공격력/방어력/명중률이 상승,성능강화(질투),2,|10|15|20|25|,|Parsee_en|,
WEPDAM+_YUGI,WEPDAM+,[적군] 무기의 공격력 +<VAL1>,무기의 공격력 +<VAL1>,1,|300|500|750|1000|,|,
DEF+_MGR_YUGI,DEF+_MGR,[아군] 사격공격으로 주는 데미지 -<VAL1>%,주는 데미지 -<VAL1>%(사격),0,|35|60|70|80|,|,
ADD_SPIRIT_YUGI,ADD_SPIRIT,[유기] 턴 개시시 「필중」「직격」이 걸린다,정신발동(필중 직격),2,|HICCHU/CHOKUGEKI|,|Yugi_en|,
FPRY-_SATORI,FPRY-,[아군] 최종회피율 -<VAL1>%,최종회피율 -<VAL1>%,0,|20|30|40|50|,|,
FUBI_SATORI,FUBI,[적군] 운동성 +<VAL1> 이동력 +<VAL2>,운동성 +<VAL1> 이동력 +<VAL2>,1,|30|40|50|60|,|1|2|2|3|,
KANMU_SATORI,KANMU,[사토리] 인접한 유닛 이외로부터의 공격을 무효화,간접공격무효,2,|,|Satori_en|,
UNTARGET_SATORI,UNTARGET,[아군] 사토리에게 공격불가,타겟 불능(사토리),0,|Satori_en|,|,
PARAM+_ALL2_ORIN,PARAM+_ALL2,[원령] 원령계 유닛의 모든 스테이터스 +<VAL1>,모든 스테이터스 +<VAL1>(원령),2,|30|40|60|80|,|Onryo_en/OnryoR_en/OnryoL_en|,
HP-_ZOMBIE,HP-,[아군] 턴 개시시 HP -<VAL1>,HP데미지,0,|300|500|750|1000|,|,
HP+_ORIN2,HP+,[Z요정] 턴 개시시 HP전부회복,HP전부회복(Z요정),2,|100|,|Zombie_en|,
DAM-_HP_ORIN,DAM-_HP,[아군] HP가 줄어들수록 주는 데미지 감소,주는 데미지감소(남은HP),0,|75|100|120|150|,|,
FDAM+_UTSUHO,FDAM+,[적군] 최종 주는 데미지 +<VAL1>,최종 주는 데미지 +<VAL1>,1,|450|700|900|1200|,|,
NOSPIRIT_UTSUHO,NOSPIRIT,[아군] 「번뜩임」무효,정신무효(번뜩임),0,|HIRAMEKI|,|,
MP+_UTSUHO,MP+,[우츠호] 턴 개시시 MP전부회복,MP전부회복,2,|100|,|Utsuho_en|,
DAM+_HIT_UTSUHO,DAM+_HIT,[우츠호] 공격을 맞출수록 주는 데미지상승(효과는 아군턴에 리셋),주는 데미지상승(명중),2,|10|15|20|30|,|Utsuho_en|,
TRESPASS_UTSUHO,TRESPASS,[우츠호] 적 유닛이 있는 칸도 통과할 수 있다,유닛통과,2,|,|Utsuho_en/UtsuhoH_en|,
HP+_UTSUHO,HP+,[우츠호] 턴 개시시 HP<VAL1>%회복,HP<VAL1>%회복,2,|10|20|30|40|,|Utsuho_en|,
MOV-_UTSUHO,MOV-,[아군] 이동력 -<VAL1>,이동력 -<VAL1>,0,|1|1|2|2|,|,
FPRY-_UTSUHO,FPRY-,[아군] 최종회피율 -<VAL1>%,최종회피율 -<VAL1>%,0,|15|30|40|50|,|,
POW+_UTSUHO,POW+,[적군] 턴 개시시 파워 +<VAL1>,파워 +<VAL1>(턴),1,|5|10|15|20|,|,
FDAM+_UTSUHOH,FDAM+,[적군] 최종 주는 데미지 +<VAL1>,최종 주는 데미지 +<VAL1>,1,|500|800|1000|1500|,|,
NOSPIRIT_UTSUHOH,NOSPIRIT,[아군] 「불굴」무효,정신무효(불굴),0,|FUKUTSU|,|,
FPRY-_UTSUHOH,FPRY-,[아군] 최종회피율 -<VAL1>%,최종회피율 -<VAL1>%,0,|25|50|75|100|,|,
ADD_SPIRIT_UTSUHOH,ADD_SPIRIT,[우츠호] 턴 개시시 「직격」이 걸린다,정신발동(직격),2,|CHOKUGEKI|,|UtsuhoH_en|,
ACT+_HIT_UTSUHOH,ACT+_HIT,[우츠호] 공격을 맞추면 행동횟수 +1(최대 +<VAL1>),행동횟수 +(명중),2,|1|2|3|4|,|UtsuhoH_en|,
MOV_RANGE-_UTSUHOH,MOV_RANGE-,[아군] 이동력 -<VAL1> 사정 -<VAL2>,이동력 -<VAL1> 사정 -<VAL2>,0,|2|2|2|2|,|2|2|2|2|,
MAXPOW_BREAK_UTSUHOH,MAXPOW_BREAK,[우츠호] 턴 개시시 파워와 파워의 최대치 +<VAL1>(최대 500까지 상승),파워극한돌파,2,|25|50|75|100|,|UtsuhoH_en|,
ADD_USKILL_UTSUHOH,ADD_USKILL,[우츠호] 고유스킬 「침식」이 「생명의 화로」로 바뀐다(영격을 써도 되돌릴수 없다),생명의 화로,2,|UTSUHOH|,|UtsuhoH_en|,
SOKO_UTSUHOH,SOKO,[우츠호] HP가 줄어들수록 방어력/명중률이 상승,내구상승,2,|5|7|7|8|,|UtsuhoH_en|,
HIT+_IKU,HIT+,[적군] 명중률 +<VAL1>%,명중률 +<VAL1>%,1,|30|40|50|60|,,
PRY-_CIRNO,PRY-,[아군] 회피율 -<VAL1>%,회피율 -<VAL1>%,0,|20|35|50|80|,,
HIT-_MYSTIA2,HIT-,[아군] 명중률 -<VAL1>%,명중률 -<VAL1>%,0,|20|35|50|80|,,
LAND_NIGHT_RUMIA,LAND_NIGHT,[양측] 유닛이 있는 지형을「<VAL1>」으로 한다,지형효과(밤),3,|밤|,,
TARGET_TENSHI,TARGET,[아군] 집중공격의 대상이 된다,연속타겟,0,|10|10|10|10|,|,
NUMACT+_TENSHI,NUMACT+,[텐시] 행동횟수 +<VAL1>,행동횟수 +<VAL1>,2,|1|1|1|1|,|Tenshi_en|,
PARAM+_GOTHIT_TENSHI,PARAM+_GOTHIT,[텐시] 피탄 당할 때마다 모든 스테이터스 +<VAL1>,모든 스테이터스 +<VAL1>(피탄),2,|3|5|8|12|,|Tenshi_en|,
MOV_RANGE-_TENSHI,MOV_RANGE-,[아군] 이동력 -<VAL1> 사정 -<VAL2>,이동력 -<VAL1> 사정 -<VAL2>,0,|1|1|2|2|,|1|1|1|2|,
POW-_SHEEP,POW-,[아군] 턴 개시시 파워 -<VAL1>,파워 -<VAL1>(턴),0,|1|2|3|4|,|,
SLEEP,NO_COMMAND_POW,[아군] 파워가 <VAL1>보다 낮으면 행동불능,행동불능(파워),0,|120|130|140|150|,|,
HIT+_NUE,HIT+,[적군] ???,???,1,|10|25|35|50|,|,
FDAM+_NUE,FDAM+,[적군] 최종 주는 데미지 +<VAL1>,최종 주는 데미지 +<VAL1>,1,|500|800|1100|1500|,|,
POW-_HIT_NUE,POW-_GOTHIT,[아군] 피탄시 파워 -<VAL1>,파워 -<VAL1>(피탄),0,|2|5|8|10|,|,
