ID,Name,Type
MEKO02,수양「카운트리스 쉽」,0
MEKO03,몽현「무한양」,0
MEKO04,「요괴양은 환상향의 꿈을 꾸는가?」,0
MEKO05,「제물의 어린 양」,0
STRAY,몽도「스트레이 드림」,0
KENGEN,몽현「형성되는 공포」,0
NIGHTMARE,악몽「혼돈의 구렁」,0
CATCHER,몽부「인디언 애뮬릿」,0
BAKU,모부「도래의 성수」,0
SWEETDREAM,몽식「스위트 드림」,0
ALLDREAM,「낙원에 드리운 모든 꿈이여」,0
STRAYDREAMER,「꿈의 끝」,0
TOYOHIMEN,예지「바다와 산을 잇는 힘」,0
NIGHTMARE_B01,악몽「홍색의 환상향」,0
NIGHTMARE_B02,악몽「포 오브 어카인드」,0
NIGHTMARE_B03,악몽「미싱파워」,0
NIGHTMARE_B04,악몽「삼보필살」,0
NIGHTMARE_B05,악몽「채광풍령」,0
NIGHTMARE_B06,악몽「웰 디스트럭터」,0
NIGHTMARE_B07,악몽「뱌쿠렌」,0
NIGHTMARE_B08,악몽「마신창송」,0
NIGHTMARE_B09,악몽「듀얼 스파크」,0
NIGHTMARE_B10,악몽「바다와 산을 잇는 힘」,0
NIGHTMARE_B11,악몽「살인 인형」,0
NIGHTMARE_B12,악몽「신의 바람」,0
NIGHTMARE_B13,악몽「인투 딜리리엄」,0
NIGHTMARE_B14,악몽「생자필멸의 이치」,0
NIGHTMARE_B15,악몽「몽상천생」,0
NIGHTMARE_B16,악몽「마스터 스파크」,0
NIGHTMARE_B17,악몽「타케미카즈치」,0
NIGHTMARE_B18,악몽「세이버 댄스」,0
NIGHTMARE_B19,악몽「그린 아이드 몬스터」,0
NIGHTMARE_B20,악몽「얼티메이트 부디스트」,0
SHITONE01,악몽「거짓됨을 알 수 없는 꿈」,0
SHITONE02,악몽「과학의 세기」,0
SHITONE03,악몽「방황의 상흔」,0
SHITONE04,모부「도래의 성수 영식」,0
SHITONE05,「세계를 형성하는 모든 꿈을」,0
SHITONE06,「꿈의 끝」,0
GROKAI,대합장「영차 콘체르토 그로소 개」,1
DREAMER,「끝 너머의 미래로」,1
GSW,「환상소녀대전」,1
SATORI01,표층「자의식의 질문」,1
SATORI02,심실「거짓없는 세계」,1
SATORI03,뇌부「브레인 핑거프린트」,1
SATORI04,「누구에게도 사랑받지 못하는 제 삼의 눈」,1
SATORI05,「마음의 꽃」,1
