StageID,StageTitle,Num,Cost,夜,NumEv,Ev使用,ジングル,エース会話,チャート,MapSpr,Type,Width,Height,OrigX,OrigY,反転,地上,IM背景,ジングル,強制出撃,出撃不可,出撃不可/周回時/Reimu,出撃不可/周回時/Marisa,PP曲,EP曲,BGM固定設定,bg_ground,bg_sky,bg_water,bg_sky_demo,fg_ground,fg_sky,Cond_Win,Cond_Lose,EX_Cond,WP_VAL0,WP_VAL1
14Common,봉인되었던 어둠의 바닥으로,9,25,0,110,1,1,0,1,14Common,0,560,544,384,560,0,1,talk_Koumakan_Basement,kou,|,|,|,|,ep_53min,ep_53min,|,kouma_base,kouma_base_sky,,kouma_base,,,|파츄리 격추.|,|아군의 전멸.|,|파츄리를 마지막으로 격추하여 클리어한다.|,|0|0|0|0|,|0|0|0|0|
15Common,Scarlets,9,25,0,110,1,0,1,1,15Common,0,560,544,384,592,0,1,Title01ost,kou,|,|,|Sakuya|Meiling|Elliy|Kurumi|,|Sakuya|Meiling|Elliy|Kurumi|,pp_kurenai_loop,pp_kurenai,|pp_kurenai|1|pp_kurenai_loop|1|battle_Flan|2|,kouma_base,kouma_base_sky,,kouma_base,,,|플랑드르 격추.|,|아군의 전멸.|,|플랑드르의 스펠카드를 전부 획득한다.|,|0|0|0|0|,|0|0|0|0|
16Common,재방문,6,25,0,110,1,1,1,1,16Common,0,400,672,304,352,3,1,talk_Shrine_Fall,kaze,|,|,|,|,pp_dendera,ep_cafe,|,forest_fall,forest_fall_sky,water_river,fall,,,|치르노 격추.|,|아군의 전멸.|,|치르노를 마지막으로 격추하여 클리어한다.|,|0|0|0|0|,|0|0|0|0|
17Common,신이 사는 산,6,25,0,110,1,1,1,1,17Common,0,384,496,288,592,3,1,Title02_01,kaze,|,|,|,|,pp_toroya,ep_cafe,|,forest_fall,forest_fall_sky,,fall,,,|미노리코 격추.|,|아군의 전멸.|,|미노리코의 스펠카드가 발동된 후 시즈하를 격추한다.|,|0|0|0|0|,|0|0|0|0|
18Reimu,그 인간을 건들지 마라,7,25,0,110,1,1,1,1,18Reimu,0,400,480,432,224,0,1,talk_Bamboo,kaze,|Keine|0|,|,|Mokou|,|,pp_dendera,ep_eiya,|,bamboo,bamboo_sky,,fall,,,|카라스텐구A 격추.|,|케이네가 격추됨.|,|카라스텐구A를 마지막으로 격추하여 클리어한다.|,|0|0|0|0|,|0|0|0|0|
18Marisa,붉은 관을 건드는 것은,6,25,0,110,1,1,1,1,18Marisa,0,464,656,336,208,3,1,Title02_01,kaze,|,|,|,|Sakuya|Komachi|Meiling|Elliy|Kurumi|,pp_dendera,ep_eiya,|,forest_fall,forest_fall_sky,,fall,,,|적의 전멸.|모든 백랑텐구 격추.|,|아군의 전멸.|,|?????|요괴까마귀를 전부 격추한다.|,|8|10|10|10|,|0|0|0|0|
19Common,돌입! 가을의 신성한 산,13,26,0,110,1,1,1,1,19Common,0,384,496,288,592,3,1,talk_Mountain_River,kaze,|,|,|Komachi|,|Komachi|,pp_toroya,ep_cafe,|,forest_fall,forest_fall_sky,,fall,,,|미노리코 또는 시즈하 격추.|모든 카라스텐구 및 백랑텐구 격추.|,|아군의 전멸.|,|아키 자매의 합체공격을 회피한다.\n(그레이즈는 카운트하지 않는다)|,|0|0|0|0|,|0|0|0|0|
20Reimu,액신님의 재난,8,25,0,110,1,1,1,1,20Reimu,0,480,384,160,128,1,0,talk_Pond,kaze,|,|,|Cirno|Sunny|Luna|Star|,|,pp_toroya,ep_cafe,|,pond,pond_sky,water_river,pond,,,|히나 격추.|,|아군의 전멸.|,|히나를 마지막으로 격추하여 클리어한다.|,|0|0|0|0|,|0|0|0|0|
20Marisa,우정 너머의 강가,8,25,0,110,1,1,1,1,20Marisa,0,528,432,560,464,0,0,talk_Mountain_River,kaze,|,|,|,|,pp_toroya,ep_eiya,|,mountain,mountain_sky,water_river,mountain_fall,,,|니토리 격추.|,|아군의 전멸.|,|니토리 이외의 캇파를 <VAL1>체 격추한다.(앞으로 <VAL0>체)|,|2|3|3|3|,|2|3|3|3|
21Common,보이는 길을 향해,11,25,0,110,1,1,1,1,21Common,0,432,624,320,464,1,0,talk_Mountain_Waterfall,kaze,|,|,|Marisa|Alice|Sakuya|Meiling|Elliy|Kurumi|,|Reimu|Keine|Rumia|Cirno|Daiyosei|Mokou|Komachi|Sunny|Luna|Star|,pp_greenwich,ep_eiya,|battle_Aya2|0|,mountain,mountain_sky,water_river,mountain_fall,,,|모미지 격추.|아야 및 모미지 격추.|,|아군의 전멸.|,|?????|아야보다 먼저 모미지를 격추한다.|,|1|1|1|1|,|0|0|0|0|
22Common,신앙은 덧없는 인간을 바탕에,14,26,0,110,1,1,0,1,22Common,0,400,704,304,720,0,1,talk_Moriya,kaze,|Reimu|0|,|,|Patchouli|Koakuma|Nitori|,|Patchouli|Koakuma|Nitori|,pp_renmery,ep_eiya,|battle_Sanae2|0|,mountain,mountain_sky,,mountain_fall,,,|사나에 격추.|,|레이무가 격추됨.|,|사나에 이외의 적을 전부 격추한다.|,|0|0|0|0|,|0|0|0|0|
23Common,아- 천지여 인간이여 신성한 호수의 땅에,14,26,0,110,1,0,1,1,23Common,0,464,576,336,656,0,0,talk_Moriya_Night,kaze,|,|,|,|,pp_pscore,ep_Kanako,|pp_Kanako|1|ep_Kanako|1|battle_Kanako|2|battle_Suwako|2|,mountain,suwako_sky,water_river,suwako,fg_battle_dim15,fg_battle_dim15,|카나코 격추.|스와코 격추.|카나코 또는 스와코 격추.|,|아군의 전멸.|,|스펠카드를 3장 획득한다.(현재<VAL0>장)|,|0|0|0|0|,|0|0|0|0|
24Common,탄막전 번개모임,16,26,0,110,1,1,1,1,24Common,0,400,672,304,352,3,1,Title02_01,kaze,|,|,|Minoriko|Shizuha|Hina|,|Minoriko|Shizuha|Hina|,pp_dendera,ep_eiya,|,forest_fall,forest_fall_sky,water_river,fall,,,|적의 전멸.|스이카 격추.|,|아군의 전멸.|,|?????|스펠 발동중 아군 페이즈에 스이카에게 합계 <VAL1>데미지를 준다.\n영격에 의한 데미지도 카운트한다.(현재<VAL0>데미지)|,|0|0|0|0|,|18000|18000|17000|16000|
25Reimu,소녀들의 겨울,0,0,0,110,1,1,1,1,25Reimu,0,512,416,288,352,1,1,Title02_02,kaze,|Reimu|0|Sakuya|0|,|,|Suika|Sanae|,|,pp_dendera,ep_eiya,|,forest_winter,forest_winter_sky,water_river,winter,,,|나즈린 격퇴.\n(나즈린은 HP가 40%이하가 되면 후퇴한다)|,|나즈린이 지정 포인트에 도달 또는 아군의 전멸.|,|사나에의 신앙 게이지를 <VAL1>%이상 모은다.|,|0|0|0|0|,|20|20|20|20|
25Marisa,눈길의 방문자,0,1,0,110,1,1,1,1,25Marisa,1,448,384,192,192,1,1,Title02_02,kaze,|Marisa|0|Alice|0|Nitori|0|,|,|,|Koishi|,pp_dendera,ep_cafe,|,forest_winter,forest_winter_sky,,winter,,,|젠키 또는 고키 격퇴.\n(젠키와 고키는 HP가 40%이하가 되면 후퇴한다)|,|아무 아군 유닛이 격추됨.|,|<VAL0>턴 이내에 클리어한다.|,|5|5|5|5|,|0|0|0|0|
26Common,춘설,15,26,0,110,1,1,1,1,26Common,1,512,384,608,192,0,1,Title02_02,you,|,|,|,|,pp_kasho,pp_kasho,|,forest_you,forest_you_sky,,forest_you,fg_battle_dim15,fg_battle_dim15,|적의 전멸.|레티 격추.|,|아군의 전멸.|,|적을 전멸시키고 <VAL0>턴 이내에 클리어한다.|,|7|7|7|8|,|0|0|0|0|
27Common,어제의 적과 오늘의 적,16,26,0,110,1,1,1,1,27Common,0,448,384,528,464,0,1,talk_Road_Winter2,you,|,|,|Sanae|Aya|Momiji|,|Sanae|Aya|Momiji|,pp_kasho,ep_eiya,|,forest_you,forest_you_sky,,forest_you,fg_battle_dim10,fg_battle_dim10,|요우무 격퇴.\n(요우무는 HP가 40%이하가 되면 후퇴한다)|,|아군의 전멸.|,|요우무를 격추하여 클리어한다.|,|18|18|18|18|,|0|0|0|0|
28Reimu,사계교차,15,26,0,110,1,1,1,1,28Reimu,0,512,416,544,496,0,1,talk_Road_Winter2,you,|,|,|LilyW|,|,pp_kasho,ep_cafe,|,forest_you,forest_you_sky,,forest_you,,,|루나사 격추.|,|릴리가 격추됨.|,|적을 전멸시키고 <VAL0>턴 이내에 클리어한다.|,|5|5|5|6|,|0|0|0|0|
28Marisa,환상의 풍혈,12,26,0,110,1,1,1,1,28Marisa,0,496,528,544,240,0,0,talk_Chitei,you,|Marisa|0|,|,|,|,pp_michi,ep_cafe,|,chitei,chitei_sky,,chitei,,,|야마메 격추.|,|마리사가 격추됨.|,|<VAL0>턴 이내에 클리어한다.|,|5|5|5|6|,|0|0|0|0|
29Reimu,엔카운터,12,26,0,110,1,1,1,1,29Reimu,0,512,416,352,464,0,1,talk_Road_Winter2,you,|,|,|Sho|Nazrin|,|,pp_kasho,ep_cafe,|,forest_you,forest_you_sky,,forest_you,,,|첸 격추.|,|나즈린 또는 쇼가 격추됨.|아군의 전멸.|,|?????|레이무 일행의 증원 후 <VAL0>턴 이내에 클리어한다.\n(현재<VAL1>번째 턴 )|,|4|4|4|4|,|1|1|1|1|
29Marisa,클로즈드 런어웨이,8,18,0,110,1,1,1,1,29Marisa,1,464,448,400,400,1,1,talk_Chitei,you,|Marisa|0|,|Marisa|,|,|Koishi|,pp_pcomes,ep_eiya,|,chitei,chitei_sky,,chitei,,,|7턴 이내에 마리사를 탈출시킨다.|,|8턴 경과 또는 마리사가 격추됨.|,|마리사를 마지막으로 탈출시켜 클리어한다.|,|8|8|8|8|,|0|0|0|0|
30Common,구름 위의 벚꽃결계 (전편),18,26,0,110,1,1,1,1,30Common,0,528,480,560,496,0,0,talk_Unkai,you,|Sunny|0|Luna|0|Star|0|LilyW|0|,|,|,|,pp_circus,ep_eiya,|,unkai,unkai_sky,,unkai,,,|프리즘리버 세자매 격추.|,|서니나 루나 또는 스타가 격추됨.|아군의 전멸.|,|루나사와 메를랑과 리리카의 HP를 <VAL0>%이하로 만든다.\n(현재<VAL1>체 달성)|,|60|50|40|30|,|0|0|0|0|
31Common,구름 위의 벚꽃결계 (후편),20,30,0,110,1,1,1,1,31Common,0,528,480,304,336,1,0,talk_Unkai,you,|,|,|,|,ep_53min,ep_53min,|,unkai,unkai_sky,,unkai,,,|란 격추.|,|아군의 전멸.|,|<VAL0>턴 이내에 란의 스펠카드를 발동시킨다.|,|6|6|6|5|,|0|0|0|0|
32Common,백옥루 계단의 사선,16,26,0,110,1,1,1,1,32Common,1,272,784,240,816,0,1,talk_Meikai,you,|Marisa|0|Reimu|0|,|,|,|,pp_renmery,ep_53min,|,meikai,meikai_sky,,meikai,,,|요우무 격추.|,|레이무 또는 마리사가 격추됨.|,|<VAL0>턴 이내에 레이무와 마리사를\n흰 선보다 위쪽에 이동시킨다.(앞으로 <VAL1>체)|,|4|4|4|4|,|2|2|2|2|
33Common,완전한 묵염의 벚꽃,17,30,0,110,1,0,0,1,33Common,9,432,608,320,640,0,1,talk_Meikai,you,|Youmu|0|,|,|,|,pp_truth,pp_truth,|pp_truth|1|battle_Yuyuko|2|battle_Unknown|2|,saigyoA,saigyoA_sky,,saigyo,,,|봄을 되찾는다.|,|아군의 전멸.|,|모든 스펠카드를 획득한다.|,|0|0|0|0|,|0|0|0|0|
34Common,흩어지는 꽃잎에 바치다,20,36,0,110,1,0,1,1,34Common,10,432,608,320,624,0,1,Title02_04,you,|,|,|,|,pp_ayakashiP,pp_ayakashi,|pp_ayakashi|2|battle_Yukari|2|battle_Yukari2|2|,saigyoB,saigyoB_sky,,saigyo,,,|유카리 격추.|,|아군의 전멸.|,|유카리의 스펠카드를 전부 획득한다.|,|0|0|0|0|,|0|0|0|0|
35Common,부상,0,0,0,110,1,1,1,1,35Common,0,400,704,304,320,0,1,talk_Seirensen_Bridge,ei,|Reimu|0|Marisa|0|Sanae|0|Alice|0|,|,|Murasa|Ichirin|Akyu|,|Murasa|Ichirin|Akyu|,pp_dendera,ep_cafe,|,forest,forest_sky,,,,,|스이카의 HP를 20%이하로 만든다.|,|아무 아군 유닛이 격추됨.|성련선이 격추됨.|,|?????|레이무와 사쿠야와 치르노를 선두로 하여 싸운다.(<VAL0>체 남음)|,|3|3|3|3|,|0|0|0|0|
36Common,도망자,12,36,1,110,1,1,1,1,36Common,0,448,384,352,304,1,1,Title03_all,ei,|,|,|Hatate|,|Hatate|,pp_dendera,ep_eiya,|,forest_night,forest_night_sky,,night,,,|서니 루나 스타 루미아 첸 격추.|,|성련선이 격추됨.|,|서니와 루나와 스타를 같은 턴에 격추한다.|,|3|3|3|3|,|0|0|0|0|
37Reimu,한밤중의 유혹의 목소리,12,42,1,110,1,1,1,1,37Reimu,0,352,512,416,576,0,1,Title03_all,ei,|,|,|Yuyuko|Youmu|,|,pp_dendera,ep_eiya,|,forest_night,forest_night_sky,,night,,,|미스티아 격추.|,|성련선이 격추됨.|,|영격을 사용하지 않고 클리어한다.|,|0|0|0|0|,|0|0|0|0|
37Marisa,밤하늘에 춤추는 지상의 별,12,42,1,110,1,1,1,1,37Marisa,0,352,512,160,144,1,1,Title03_all,ei,|,|,|,|Seirensen|Yuka|Mima|Elliy|Kurumi|,pp_circus,ep_eiya,|,forest_night,forest_night_sky,water_river,night,,,|리글 격추.|,|아군의 전멸.|,|4턴 이내에 캇파를<VAL0>체 격추한다.(앞으로 <VAL1>체)|,|3|3|3|3|,|3|3|3|3|
38Reimu,UNDEFINED,14,42,1,110,1,1,1,1,38Reimu,0,528,400,576,192,0,0,Title03_all,ei,|Mystia|1|Sho|1|,|,|,|,pp_circus,ep_eiya,|,forest_night,forest_night_sky,water_river,night,,,|적의 전멸.|누에 격추.|,|미스티아나 쇼 또는 성련선이 격추됨.|쇼 또는 성련선이 격추됨.|,|?????|한 턴 동안에 적 청 녹 UFO를 격추한다.|,|0|0|0|0|,|0|0|0|0|
38Marisa,지상의 토끼와 달의 토끼,12,36,1,110,1,1,1,1,38Marisa,0,512,432,448,240,0,1,talk_Bamboo_Night,ei,|Marisa|1|,|,|,|Seirensen|Lunasa|Merlin|Lyrica|LilyW|,pp_circus,ep_eiya,|,bamboo_night,bamboo_night_sky,,night,,,|테위 격추.|,|아무 아군 유닛이 격추됨.|마리사가 격추됨.|,|?????|제한 시간이 다 됐을때 스펠을 획득한다.|,|0|0|0|0|,|0|0|0|0|
39Reimu,하쿠레이의 결계,12,42,1,110,1,1,1,1,39Reimu,0,512,512,352,240,2,1,Title03_all,ei,|Reimu|0|Yukari|0|,|,|,|,ep_53min,ep_53min,|,bamboo_night,bamboo_night_sky,,night,,,|적의 전멸.|우동게 격추.\n(우동게는 HP가 20%이하가 되면 후퇴한다)|,|성련선이 격추됨.|성련선 또는 레이무가 격추됨.|,|?????|레이무로 우동게를 격추하여 클리어한다.|,|0|0|0|0|,|0|0|0|0|
39Marisa,키리사메의 화로,11,36,1,110,1,1,1,1,39Marisa,0,512,400,512,432,0,1,talk_SStars,ei,|Marisa|0|Mima|0|Alice|1|Nitori|1|Patchouli|1|,|,|,|Seirensen|,ep_53min,ep_53min,|,bamboo_night,bamboo_night_sky,,night,,,|요괴토끼D 격추.|,|마리사 또는 미마가 격추됨.|흰색의 범위 안에 침입당하거나 미마가 격추됨.|마리사 또는 미마가 격추됨.|,|?????|마리사의 무기를 <VAL0>종류 이상 사용한 뒤 \n마리사의 공격으로 승리조건을 달성한다.(앞으로 <VAL1>종류)|,|3|3|3|3|,|3|3|3|3|
40Reimu,대결! 레이무 vs 마리사,15,52,1,110,1,1,1,1,40Common,0,496,688,336,272,0,0,Title03_all,ei,|Reimu|1|,|,|,|,pp_circus,pp_mukui,|,bamboo_night,bamboo_night_sky,,night,,,|마리사 격추.|,|성련선이 격추됨.|레이무 또는 성련선이 격추됨.|,|네임드 유닛을 <VAL0>체 격추한다.\n(앞으로 <VAL1>체)|,|3|4|5|6|,|3|4|5|6|
40Marisa,대결! 마리사 vs 레이무,15,52,1,110,1,1,1,1,40Common,0,496,688,336,272,0,0,Title03_all,ei,|Marisa|1|,|,|,|Seirensen|,pp_circus,pp_mukui,|,bamboo_night,bamboo_night_sky,,night,,,|레이무 격추.|,|마리사가 격추됨.|,|네임드 유닛을 <VAL0>체 격추한다.\n(앞으로 <VAL1>체)|,|3|4|5|6|,|3|4|5|6|
41Common,새기는 인간의 역사,12,42,1,110,1,1,1,1,41Common,0,544,480,464,432,0,1,talk_Eientei_Night,ei,|Reimu|1|Sanae|1|,|,|,|,pp_renmery,ep_eiya,|,bamboo_night,bamboo_night_sky,,night,,,|케이네 격추.|모코우 격추.|,|레이무 또는 성련선이 격추됨.|,|스펠카드 발동 전에 레이무로 케이네를 설득한다.|,|0|0|0|0|,|0|0|0|0|
42Common,공주를 숨기는 영의 감옥,14,42,1,110,1,1,1,1,42Common,0,512,608,368,640,0,0,talk_Eientei_Hallway,ei,|Sakuya|0|,|,|Remilia|,|Remilia|,pp_1969,pp_1969,|pp_1969|0|battle_Eirin|2|battle_Udonge|1|battle_Remilia|1|battle_Tewi|1|,moonA,moonA_sky,,moonA,,,|에이린 격추.|,|사쿠야 또는 성련선이 격추됨.|성련선이 격추됨.|,|?????|풀 파워 모드를 사용한다.|,|12|12|12|12|,|0|0|0|0|
43Common,환상을 시험하는 다섯개의 난제,15,50,1,110,1,0,1,1,43Common,0,496,544,352,592,0,0,talk_Eientei_Dawn,ei,|,|,|Mokou|Keine|,|Mokou|Keine|,pp_eiyasho,pp_tokoshie,|pp_tokoshie|1|battle_Kaguya|2|pp_1970|2|,moonB,moonB_sky,,moonB,,,|달을 되찾는다.|다섯 개의 난제를 해결한다.|,|성련선이 격추됨.|,|카구야의 스펠카드를 전부 획득한다.|,|0|0|0|0|,|0|0|0|0|
44Common,그리고 아무도 없게 되었다,12,36,1,110,1,1,1,1,44Common,0,544,480,272,208,1,1,Title03_all,ei,|Remilia|0|,|,|,|,ep_53min,ep_53min,|battle_Flan|2|,bamboo_night,bamboo_night_sky,,night,,,|플랑드르 격추.|레밀리아로 플랑드르를 설득한다.|,|레밀리아 또는 성련선이 격추됨.|플랑드르가 격추됨.\n성련선 또는 레밀리아가 격추됨.|,|?????|레밀리아 이외의 유닛으로 <VAL0>회「설득」한다.(<VAL1>회 남음)|,|5|5|5|5|,|5|5|5|5|
45Common,올려다본 앞의 하늘,11,25,0,110,1,1,1,1,45Common,0,448,384,272,352,0,1,talk_Shrine_Fall,bou,|Remilia|0|Youmu|0|Lunasa|0|Merlin|0|Lyrica|0|,|Remilia|,|Udonge|,|Udonge|,pp_michi,ep_eiya,|,forest_fall,forest_fall_sky,,fall,,,|오린 격추.|,|아군의 전멸.|,|오린보다 먼저 우츠호를 격추한다.|,|0|0|0|0|,|0|0|0|0|
46Common,별의 바다를 향한 출항,14,32,0,110,1,1,1,1,46Common,0,608,512,416,336,2,0,talk_Unkai_Night,bou,|Reimu|0|Marisa|0|Udonge|0|,|Reimu|,|LilyW|Flan|,|LilyW|Flan|,battle_Seirensen,ep_eiya,|,forest_fall,forest_fall_sky,,fall,,,|7턴 경과 또는 누에 격추.|,|적이 흰 선 안에 침입하거나 우동게 또는 성련선이 격추됨.|,|UFO를 전부 쓰러뜨린 후 누에를 격추하여 클리어한다.|,|0|0|0|0|,|0|0|0|0|
47Common,환상소녀 온 더 문,14,32,0,110,1,1,1,1,47Common,0,464,624,336,336,2,1,Title03_4,bou,|Udonge|0|,|Udonge|,|,|,pp_circus,ep_eiya,|,shizuka,shizuka_sky,water_shizuka,space,,,|적의 전멸.|,|성련선이 격추됨.|,|<VAL0>턴 이내에 클리어한다.|,|5|5|5|5|,|0|0|0|0|
