Category,ID,Title,Sprite,解放stage,Line1,Line2,Line3,Line4
인터미션,IM,인터미션,IM01,0,전투와 회화파트가 종료되면 인터미션이 됩니다.,이 화면에서는 다음 스테이지를 위해 유닛의 편성과 강화를 하거나,세이브 로드를 할 수 있습니다.,일단 준비가 끝났다면 「다음 맵으로 」에서 진행할 수 있습니다.
인터미션,SAVELOAD,세이브와 로드,SAVELOAD01,0,게임을 세이브할 경우 인터미션의 「세이브 」에서,지금까지의 진행도를 저장할 수 있습니다.,타이틀 화면에서 「LOAD 」를 선택하면,이어하고싶은 데이터를 골라 게임을 재개할 수 있습니다.
인터미션,SAVELOAD,세이브와 로드,SAVELOAD02,0,또한 스테이지 도중에 게임 플레이를 중단하고싶을 경우엔,전체 메뉴의 「중단 세이브 」에서 현재 상황을 저장할 수 있습니다.,이 경우엔 타이틀 화면의 「CONTINUE 」에서 이어할 수 있습니다.,중단 세이브는 하나만 저장이 되기 때문에 덮어쓰기에 주의해주세요.
인터미션,EDIT,편성,EDIT01,0,「편성 」화면에선 다음 스테이지에 출격할 유닛을 고를 수 있고,유닛의 강화나 스킬의 습득을 할 수도 있습니다.,출격가능수 이상으로 아군 유닛이 존재할 경우에는,회색 라인보다 위에있는 유닛이 출격합니다.
인터미션,EDITPAIR,편성 (페어),EDITPAIR01,35,「편성 」화면에서 페어 편성이 가능해졌습니다.,지금까지의 출격 유닛 선택에 더하여,출격시의 페어를 짜는것이 가능합니다.,전투중에는 페어를 바꿀수가 없으므로 신중하게 편성합니다.
인터미션,ENHANCE,유닛강화,ENHANCE01,0,「유닛강화 」에선 유닛의 성능을 강화할 수 있습니다.,강화는 점수를 소비하며 강화한건 되돌릴수 없으니 주의합시다.,또한 코스트가 낮은 유닛은 강화에 필요한 점수가 적습니다.,
인터미션,ENHANCE,유닛강화,ENHANCE02,0,덧붙여 맵 클리어시 획득한 Ex-P를 소비하여 강화를 할 수도 있습니다.,Ex-P에 의한 강화는 매우 강력하지만 입수할 수 있는 양이 한정되어있어서,육성 전략이나 개인적인 기호를 고려한 뒤 강화하는것이 좋습니다.,
인터미션,SKILLGET,스킬 습득,SKILLGET01,0,「스킬 습득 」에선 이하의 강화를 할 수 있습니다,스킬 습득: 범용/고유스킬을 습득 할 수 있습니다.,범용스킬은 모든 유닛 공통으로 PP를 소비하여 습득합니다.,고유스킬은 유닛에 따라 다르며 Lv업으로 습득합니다. 
인터미션,SKILLGET,스킬 습득,SKILLGET02,0,스테이터스 강화: PP를 소비하여 스테이터스를 강화할 수 있습니다.,다만 효율이 좋지 않기 때문에 PP가 남을때 사용하는 것이 좋습니다.,,
인터미션,ITEM,장비,ITEM01,0,「장비 」화면에선 유닛에게 아이템을 장비할 수 있습니다.,장비는 종류에 따라 여러 성능을 향상시키며,탈착이 가능해 상황에 맞춰 커스터마이즈가 가능합니다.,
인터미션,ITEM,장비,ITEM02,0,또한 일부 장비는 사용함으로써 효과를 발휘합니다.,스테이지 중에 사용해도 다음 스테이지에 복구되기 때문에,위기일 때 아낌없이 사용합시다.,
인터미션,CHANGE,환장,CHANGE01,22,인터미션에서 「환장 」이 사용 가능해졌습니다.,「환장 」에선 특정 유닛의 성능을 변화시키는 것이 가능합니다.,,
인터미션,CHANGE,환장,CHANGE02,22,니토리의 경우엔 코스트가 늘어나는 대신에 무장이 추가되기 때문에,편성에 맞춰가며 사용하면 효과적입니다.,,
인터미션,MEKOROOM,담화실,MEKOROOM01,100,인터미션에 「담화실 」이 추가되었습니다.,이곳에선 꿈의 세계에 와 있는 레이무 일행과,메코와 마쿠라가 이야기를 합니다.,
인터미션,MEKOROOM,담화실,MEKOROOM02,100,「메코와 이야기한다 」에선 메코일행과의 대화를,「에이스를 축하한다 」에선 격추수가 50을 넘은 유닛에게의,축하를 볼 수 있습니다.,
스테이터스화면,UNIT,유닛 스테이터스,UNIT01,0,유닛 스테이터스 화면에선 이하의 항목을 확인할 수 있습니다.,HP: 유닛의 체력을 나타내며 0이 되면 격추됩니다.,MP: 유닛의 영력을 나타내며 무기나 스킬로 소비합니다.,
스테이터스화면,UNIT,유닛 스테이터스,UNIT02,0,이동력: 몇 칸 이동할 수 있는지를 표시합니다. 괄호 안은 저속시의 이동력.,운동성: 기동성을 나타내며 높을수록 회피하기 쉽습니다.,장갑: 방어력을 나타내며 높을수록 받는 데미지가 줄어듭니다.,사이즈: 클수록 공격력이나 방어력이 높아지지만 회피율이 낮아집니다.
스테이터스화면,UNIT,유닛 스테이터스,UNIT03,0,종족: 유닛의 종족을 표시합니다.,코스트: 출격 멤버엔 합계 코스트에 제한이 있습니다.,,
스테이터스화면,UNIT,유닛 스테이터스,UNIT04,0,지형적응: 그 지형에 있을때의 스테이터스 보정을 표시합니다.,특수능력: 배리어 등의 능력을 이곳에 표시합니다.,장비: 유닛이 장비하고 있는 아이템이 표시됩니다.,
스테이터스화면,CHARA,캐릭터 스테이터스,CHARA01,0,캐릭터 스테이터스화면에선 이하의 항목을 확인할 수 있습니다.,경험치: 획득한 경험치를 표시하며 500이 되면 Lv업을 합니다.,PP: 이 유닛이 소유하고있는 PP를 표시합니다.,기질: 전투시의 파워의 증감에 영향을 줍니다.
스테이터스화면,CHARA,캐릭터 스테이터스,CHARA02,0,범용스킬: 위쪽의 7칸엔 습득한 범용스킬이 표시됩니다.,고유스킬: 제일 밑의 칸엔 세트중인 고유스킬이 표시됩니다.,,
스테이터스화면,CHARA,캐릭터 스테이터스,CHARA03,0,격투: 격투무기(검 아이콘)의 공격력에 영향을 줍니다.,사격: 사격무기(조준 아이콘)의 공격력에 영향을 줍니다.,기량: 크리티컬이나 일부 특수기능의 발동률에 영향을 줍니다.,
스테이터스화면,CHARA,캐릭터 스테이터스,CHARA04,0,방어: 받는 데미지량에 영향을 줍니다.,회피: 공격을 회피할 확률에 영향을 줍니다.,명중: 공격의 명중률에 영향을 줍니다.,
스테이터스화면,WEAPON,무기성능,WEAPON01,0,무기 성능 화면에선 이하의 항목을 확인할 수 있습니다.,무기 아이콘: 검은 격투무기 조준 마크는 사격무기를 나타냅니다.,종류: 「P 」등의 아이콘은 무기의 종류를 표시합니다.,사정: 최단~최장 사정거리를 표시합니다.
스테이터스화면,WEAPON,무기성능,WEAPON02,0,공격력: 무기의 공격력을 표시합니다.,명중: 공격의 명중보정입니다.,CRT: 높을수록 크리티컬이 발생하기 쉽습니다.,지형적응: 적이 있는 지형에 따른 유불리를 나타냅니다.
스테이터스화면,WEAPON,무기성능,WEAPON03,0,잔탄|소비MP: 무기를 사용하기 위해 필요한 잔탄이나 MP를 표시합니다.,필요파워: 무기를 사용하기위해 필요한 파워입니다.,필요유닛: 합체공격의 경우엔 다른 유닛이 필요합니다.,
전투1,BATTLE,전투의 진행,BATTLE01,0,사용 가능한 무기가 있을 때 「공격 」커맨드로 전투를 개시할 수 있습니다.,무기일람에서 흰색으로 표시되어 있는 무기명과 ,공격하고 싶은 적을 고릅시다.,
전투1,WEAPONRULE,무기의 사용조건,WEAPONRULE01,0,무기에 따라 각자 사용할 수 있는 조건이 다릅니다.,「파워 」는 그 캐릭터로 적을 쓰러뜨리는 등의 행동으로 올릴 수 있습니다.,「MP|탄수 」가 부족하다면 그 무기는 사용할 수 없습니다.,무기에 따라 공격가능한 「사정 」이 다릅니다.
전투1,WEAPONRULE,무기의 사용조건,WEAPONRULE02,0,무기에「P 」아이콘이 있을 겨우엔 이동한 후에도 사용할 수 있습니다.,「이동력 」과「사정 」을 잘 조합하면 ,좀 더 멀리서 적을 공격할 수 있습니다.,
전투1,WEAPONRULE,무기의 사용조건,WEAPONRULE03,0,초반은 연비가 좋은 무기로 싸워 파워를 모으고,보스와의 싸움에서 강력한 무기를 사용해 보도록 합시다.,,
전투1,DANMAKU,탄막과 저속,DANMAKU01,0,「탄 」아이콘이 붙어있는 적은「탄막 」을 발생시켜,그 안에 있으면 이동력과 회피와 방어가 저하됩니다.,하지만 「저속 」모드가 되는것으로,이러한 디메리트를 전부 무효화 시킬 수 있습니다.
전투1,DANMAKU,탄막과 저속,DANMAKU02,0,「저속 」모드 중에선 적의 공격을 회피해도,적의 명중률에 따라 데미지를 받습니다.,허나 공격의 명중률이 낮을수록 데미지가 경감되기때문에,탄막의 효과가 무효화 됨으로서 매우 격추당하기 어려워집니다.
전투1,DANMAKU,탄막과 저속,DANMAKU03,0,잔뜩 이동하고 싶을 때엔「고속 」모드.,안정적으로 싸우고 싶을 때엔「저속 」모드,이 두 가지를 바꿔가면서 전황을 유리하게 이끌어 가 봅시다.,
전투1,SPIRIT,정신 커맨드,SPIRIT01,1,적의 탄막 등으로 인하여 마음껏 나아갈 수 없을 때엔,「정신커맨드 」를 활용해 봅시다.,,
전투1,SPIRIT,정신 커맨드,SPIRIT02,1,각 유닛의 SP를 소비하여 「정신커맨드 」를 사용함으로써,다양한 효과를 얻을 수 있습니다.,이동력을 높이는 「가속 」과 다른 유닛을 회복시키는 「신뢰 」,공격이 반드시 맞는「필중 」등 효과가 좋은 것들이 많이 있습니다.
전투1,SPIRIT,정신 커맨드,SPIRIT03,1,처음부터 이미 몇 가지를 소유하고 있지만 Lv가 오르는 것으로,최대 6개까지 습득할 수 있습니다.,또한 SP는 매턴 10씩 회복되기 때문에,배분을 잘 고려해서 전황을 유리하게 이끌어 가 봅시다.
전투1,CSKILL,범용스킬,CSKILL01,1,범용스킬은 모든 유닛이 습득할수 있는 스킬입니다.,인터미션의 「스킬 습득 」화면에서,전투시 입수한 PP를 소비하여 습득할 수 있습니다.,
전투1,CSKILL,범용스킬,CSKILL02,1,허나 별 마크가 붙어있는 것은,그 유닛의 선천적인 스킬이라,다른 유닛은 습득할 수 없습니다.,
전투1,CSKILL,범용스킬,CSKILL03,1,강력한 것을 몇 가지 소개하겠습니다.,P회수(격파): 아군이 적을 격파했을때 파워가 1 오릅니다.,영력절약: 소비 MP를 줄입니다. 연비가 나쁜 캐릭터에게 추천.,히트&어웨이: 공격 후에 이동할 수 있게 됩니다.
전투1,SKILL,고유스킬,SKILL01,2,각각의 유닛은 고유한 스킬을 소지하고 있으며,스테이터스 화면에서 효과를 확인할 수 있습니다.,,
전투1,SKILL,고유스킬,SKILL02,2,또한 Lv가 상승하면 새로운 고유스킬을 얻을 때가 있고,인터미션에서 교체할 수 있습니다.,능숙하게 사용하여 전황을 유리하게 이끌어 가 봅시다.,
전투1,SKILLM,고유스킬,SKILLM01,-1,각각의 유닛은 고유한 스킬을 소지하고 있으며,스테이터스 화면에서 효과를 확인할 수 있습니다.,,
전투1,SKILLM,고유스킬,SKILLM02,-1,또한 Lv가 상승하면 새로운 고유스킬을 얻을 때가 있고,인터미션에서 교체할 수 있습니다.,능숙하게 사용하여 전황을 유리하게 이끌어 가 봅시다.,
전투1,SPELL,스펠카드,SPELL01,1,적 유닛이 이름을 붙인 탄막을 전개해 오는 경우가 있습니다.,이름을 붙인 탄막을 「스펠카드 」라 부르며,저속 모드로도 무효화 시킬 수 없는 강력한 효과를 가지고 있습니다.,
전투1,SPELL,스펠카드,SPELL02,1,대부분의 스펠 카드는 제한 턴이 있으며,제한 턴 안에 격파하면 보너스 점수를 획득할 수 있습니다.,허나 격파하지 못해도 게임은 진행할 수 있기 때문에.,격파할지 도망칠지 상황에 따라 판단합시다.
전투1,RUN,버티기 스펠,RUN01,15,스펠카드 발동과 동시에 적 유닛이 사라지는 경우가 있습니다.,이런 경우 스펠카드의 제한 시간 안에 살아남는 것으로,스펠카드를 획득 할 수 있습니다.,
전투1,POWER,파워,POWER01,1,아군 적 양쪽 다 「파워 」라는 수치가 있어,활약할수록 점점 늘어납니다.,「파워 」가 늘어날수록 주는 데미지가 상승하며,강력한 스킬이나 무기를 사용할 수 있게 됩니다.
전투1,MARK,마킹,MARK01,1, +버튼을 누르면 맵 화면이 마킹을 할 수 있습니다.,방향버튼과 +버튼을 눌러 색을 바꿀수도 있어,전략을 세울 때에 활용해 봅시다., +버튼을 길게 누르면 모든 마킹을 지울 수 있습니다.
전투2,LAND,지형적응,LAND01,1,각 유닛엔 지형적응이 설정되어 있어,스테이터스 화면에서 확인할 수 있습니다.,니토리는 물 적응이 S라서 물속에 있을때 스테이터스가 오릅니다.,
전투2,LAND,지형적응,LAND02,1,또한 각 무기에도 지형적응이 설정되어 있어,스테이터스 화면이나 무기선택 화면에서 확인할 수 있습니다.,예를들어 괴물 큐컴버는 물 적응이 S라,물 속의 적을 공격할때 주는 데미지가 오릅니다.
전투2,LAND,지형적응,LAND03,1,적응이 높은 지형에서 싸우고 상대의 지형에 따라 무기를 선택하여,유리하게 전투를 이끌어 가 봅시다.,,
전투2,LANDEF,지형효과,LANDEF01,1,특정 지형은 방어나 회피에 보정이 들어갑니다.,또한 HP나 MP가 아군 턴 개시시 회복되는 지형도 있습니다.,다만 유닛이 공중에 있을 경우에는 효과가 없습니다.,
전투2,NIGHT,밤,NIGHT01,8,MAP정보에 「달 」아이콘이 점등해 있을 경우엔,그 스테이지가 「밤 」이라는 것을 의미합니다.,,
전투2,NIGHT,밤,NIGHT02,8,스테이터스 화면의 지형적응에 밤이 S인 유닛은,밤 스테이지에선 일부 스테이터스가 오릅니다.,출격 유닛을 고를때 기준으로 삼으면 좋을것입니다.,
전투2,SUPPORT,원호공격과 원호방어,SUPPORT01,1,스킬 「원호공격 」을 소지하고 있는 유닛은,공격하는 아군과 인접해 있으면 원호공격이 가능합니다.,단 원호하는 유닛이 행동종료 상태일 경우엔,원호공격을 할 수 없습니다.
전투2,SUPPORT,원호공격과 원호방어,SUPPORT02,1,「원호방어 」 스킬을 소지하고있는 유닛은,공격을 받는 아군에게 인접해 있으면 원호방어가 가능합니다.,원호공격과 원호방어 양쪽 다 Lv가 설정이 되어있어,1턴 동안에 스킬의 Lv만큼만 발동이 가능합니다.
전투2,SUPPORT,원호공격과 원호방어,SUPPORT03,1,「원호공격 」「원호방어 」가 가능한 유닛에겐,아이콘이 표시되기 때문에 이동할 곳을 고르는 힌트로 삼읍시다.,,
전투2,MAPWEP,MAP공격,MAPWEP01,11,「MAP아이콘 」이 붙어있는 적은 MAP무기를 소지하고 있어,그 스펠카드의 발동중에는 범위공격을 사용합니다.,(MAP병기 스펠카드는 스테이터스에서 적색으로 표시됩니다.),
전투2,MAPWEP,MAP공격,MAPWEP02,11,사용해 오는 공격은 무기 스테이터스 화면에 MAP이 표시되어,Y 버튼을 누르면 공격범위를 확인할 수 있습니다.,MAP공격의 대다수는 탄막의 효과범위가 공격범위라,여차하면 「영격 」으로 탄막을 소거하여 공격을 넘깁시다.
전투2,PENETRATE,공격특성,PENETRATE01,1,무기엔 이하의 공격특성이 붙어있는 경우가 있습니다.,배리어관통: 적의 배리어를 무시하고 공격할 수 있습니다.,사이즈차보정무시: 사이즈 차에 따른 데미지의 저하를 무시합니다.,지원가능: 페어유닛의 후위일때도 사용할 수 있습니다.
전투2,SWEAPON,지원공격,SWEAPON01,35,페어 유닛의 후위에 있는 유닛은 지원공격이 가능합니다.,지원공격은 전위의 유닛이 공격/반격할 때에,특정 무기로 사정을 무시하며 공격할 수 있습니다.,또한 불필요할 때엔 지원공격을 하지 않을 수도 있습니다.
전투2,FIRE,불꽃 아이콘,FIRE01,1,전투전 화면에서 적의 명중률 아래에 표시되어 있는 불꽃 아이콘은,적의 공격의 위험도를 나타냅니다.,불꽃이 많을수록 피탄되었을때 받는 데미지가 많아,3개일 때에는 명중되면 격추당하기 때문에 대책을 강구합시다.
전투2,PAIR,페어유닛,PAIR01,35,새로이 2인1조의 페어유닛을 짤 수 있게 되었습니다.,페어 유닛에게는 전용 아이콘이 표시되어,커서를 맞춰 X 버튼을 누르는것으로 교대를 할 수 있어,상황에 맞춰가며 두 유닛을 구분하여 사용할 수 있습니다.
전투2,PAIR,페어유닛,PAIR02,35,전투는 전위의 유닛이 하지만,공격/반격시에는 후위의 유닛이 지원공격을 할 수 있습니다.,지원공격이 가능한 무기는 고정되어 있으나,사정에 관계없이 공격할 수 있습니다.
전투2,PAIR,페어유닛,PAIR03,35,또한 전위의 유닛이 피탄당할 때,후위의 유닛이 「원호방어 」를 습득하고 있다면 발동합니다.,공방 양면이 강화되기 때문에,기본적으론 페어 유닛이 더 강력합니다.
전투2,PAIR,페어유닛,PAIR04,35,게다가 일부 정신커맨드나 스킬은 페어 전체에게 효과가 있어,강력한 유닛의 후위에 서포트 유닛을 배치하는 전술도 취할 수 있습니다.,꼭 다양한 조합을 시도해 보세요.,
전투-커맨드,HEAL,치유와 보급,HEAL01,1,「치유능력 」「보급능력 」을 소지하고 있는 유닛은,이하의 커맨드를 사용할 수 있습니다.,치유: 인접 유닛의 HP를 회복. 이동후 가능,보급: 인접 유닛의 MP/탄수를 회복. 이동후 불가 + 파워 저하
전투-커맨드,PURSUADE,설득,PURSUADE01,2,특정 아군 유닛이 적과 인접했을 때,「설득 」커맨드를 사용할 수 있을 때가 있습니다.,「설득 」하면 특수한 이벤트가 발동됩니다.,
전투-커맨드,BOMB,영격,BOMB01,8,「B 」아이콘이 붙어있는 적이 출현하게 되었습니다.,「B 」아이콘이 붙어있는 적을 격파하면,「영격 」을 얻을 수 있습니다.,
전투-커맨드,BOMB,영격,BOMB02,8,「영격 」을 얻으면 「영격 」커맨드를 사용할 수 있습니다.,「영격 」커맨드를 사용하면 탄막이나 스펠의 효과범위를 소거하고,더해서 범위 안의 적에게 2500 데미지를 줄 수 있습니다.,
전투-커맨드,BOMB,영격,BOMB03,8,한 스테이지 안에서 입수할 수 있는 수가 한정되어 있고,다음 스테이지로 들고 갈 수 없기 때문에,이때다 싶은 타이밍에 사용하여 전투를 헤쳐나가 봅시다.,
전투-커맨드,BOMB,영격,BOMB04,8,덧붙여 스펠카드에 「영격 」을 사용해도,스펠 획득 보너스는 획득할 수 있으니 걱정마세요.,,
전투-커맨드,COMBINE,합체,COMBINE01,30,특정 유닛이 주위 8칸 이내에 있을 때,「합체 」커맨드를 사용함으로써 하나의 유닛이 됩니다.,또한「분리 」커맨드로 원래대로 돌아갈 수도 있습니다.,
전투-커맨드,COMBINE,합체,COMBINE02,30,「합체 」하면 사용할 수 있는 무기나 유닛 성능이 강화됩니다.,또한 3인분의 정신커맨드를 사용할 수 있습니다.,,
전투-커맨드,COMBINE,합체,COMBINE03,30,루나와 스타가 행동을 했어도 서니가 미행동 상태라면 ,「합체 」가 가능해 루나와 스타를 행동시킨 후 써니로 합체하는 등,이것 저것 궁리해 봅시다.,
전투-커맨드,COMBINE,합체,COMBINE04,30,합체 유닛의 강화나 장비는 합체 전 유닛과는 별개로 관리됩니다.,합체 전 유닛의 강화나 장비는 반영되지 않기 때문에 주의합시다.,,
전투-커맨드,SHIP,착함,SHIP01,35,성련선에 다른 유닛을 이동시키면 「착함 」하는것이 가능하여,착함 중엔 HP MP 탄수가 한 턴마다 회복됩니다.,착함중인 유닛은 「출격 」커맨드를 사용하여,성련선에서 다시 출격시킬 수 있습니다.
전투-커맨드,SHIP,착함,SHIP02,35,그 외에도 성련선을 다른 유닛에 인접시키면 「회수 」가 가능하여,행동을 종료한 유닛도 탑재시킬 수 있습니다.,위험한 아군을 구할때에 활용 할 수 있습니다.,
전투-유닛별,FAITH,신앙 게이지,FAITH01,27,사나에는 활약하면 「신앙 게이지 」가 쌓여,일부 스테이터스가 상승합니다.,게이지는 특정 무장이나 스킬을 사용함으로써 소비됩니다.,
전투-유닛별,SONG,노래와 연주,SONG01,40,특정 유닛은 노래나 연주 등의 지원 기술을 사용할 수 있습니다.,이것들로 아군을 대상으로 스테이터스를 올리거나,적을 대상으로 스테이터스를 저하시킬 수 있습니다.,
전투-유닛별,FPM,풀 파워 모드,FPM01,42,페어를 이루고있는 두 유닛의 파워가 양쪽 다 150이 되면,「풀 파워 모드 」가 해방됩니다.,한 스테이지당 한번만 사용할수 있고,사용하고 싶은 기술을 두 유닛이 동시에 사용할 수 있습니다.
전투-유닛별,FPM,풀 파워 모드,FPM02,42,풀 파워 모드를 사용할 수 있는 유닛은,유닛 아이콘과 파워 게이지가 빛나서,표식으로 삼으면 좋을 겁니다.,
전투-유닛별,HEAT,열량 게이지,HEAT01,58,우츠호는 일부 무장을 사용하면 「열량 게이지 」가 증가하여,게이지가 200을 넘으면 강제적으로 다른 형태가 되어 약해져버립니다.,게이지를 너무 많이 증가시키지 않도록 잘 싸우도록 합시다.,
전투-유닛별,SHEEP,양 카운트,SHEEP01,100,꿈의 세계에선 메코가 적을 격파하면 「양 카운트 」가 올라,고유커맨드를 사용할 수 있게 됩니다.,,
전투-유닛별,SHEEP,양 카운트,SHEEP02,100,사용 가능한 커맨드는 시나리오가 진행될수록 늘어나기 때문에,잘 활용하여 게임을 진행해 봅시다.,,
그 외,LIBRARY,라이브러리,LIBRARY01,0,「라이브러리 」에선 등장한 캐릭터의 정보나,BGM이나 스토리 등의 다양한 정보를 볼 수 있습니다.,,
그 외,LIBRARY,라이브러리,LIBRARY02,0,「환상향연기 」: 캐릭터의 설정을 읽을 수 있습니다.,「환소대 음악실 」: 한번이상 들었던 BGM을 들을 수 있습니다.,「시나리오 차트 」: 지금까지의 스토리를 읽을 수 있습니다.,「용어집 」: 전문용어의 해설입니다.
그 외,LIBRARY,라이브러리,LIBRARY03,0,이 항목들은 게임의 진행과 함께 해방되어 가고,항목이 해방됨에 따라 달성률도 상승해 갑니다.,궁금한 캐릭터가 나오거나 한숨 돌리고 싶을 때 감상해 주세요.,
그 외,SPECIAL,특별편,SPECIAL01,15,특별편에서는 본편과는 다른 단편 스토리를 플레이할 수 있습니다.,특별편의 데이터에서 본편으로 돌아갈 수 없으므로,본편의 세이브 데이터를 덮어쓰지 않도록 주의해 주세요.,
그 외,DREAMMODE,드림 모드1,DREAMMODE01,100,드림 모드(주회 플레이)에선 메코와 마쿠라와 함께,레이무 일행의 여정을 꿈의 세계에서 간접 체험합니다.,,
그 외,DREAMMODE,드림 모드1,DREAMMODE02,100,지금까지 획득한 점수 Ex-P PP 격추수 아이템을 전부 이어받으며,여행의 동반자로서 6명의 유닛을 데리고 갈 수 있습니다.,(강화도와 레벨 등은 리셋됩니다.),
그 외,DREAMMODE,드림 모드1,DREAMMODE03,100,자아. 동료들과 함께 꿈의 여행길을 향해 출발합시다!,,,
그 외,DREAMMODE2,드림 모드2,DREAMMODE02_01,100,드림 모드에선 선택한 6명의 유닛을,거의 모든 스테이지에서 사용할 수 있습니다.,,
그 외,DREAMMODE2,드림 모드2,DREAMMODE02_02,100,단 편성이나 환장 모드에 따라서는,일부 보너스 조건을 달성할 수 없게 되니 주의하시기 바랍니다.,,
