StageID,EvID,値1,周回,場面,味方指定,敵指定,ﾀｰﾝ下限,ﾀｰﾝ上限,発生済EvID,未発生EvID,Exit,戦闘前,拡大,条件1,値1-1,値1-2,条件2,値2-1,値2-2,繰返,特殊処理,特殊処理,値2
02Reimu,8,0,0,戦闘前,Youmu,Rumia,,,,,1,1,0,,,,,,,0,,,
02Reimu,10,10,1,戦闘前,Meko,,0,0,,,1,0,0,,,,,,,0,,,
02Reimu,11,11,1,戦闘前,Makura,,0,0,,,1,0,0,,,,,,,0,,,
02Reimu,12,12,1,戦闘前,Meko,Rumia,,,,,1,1,0,,,,,,,0,,,
02Reimu,13,13,1,戦闘前,Makura,Rumia,,,,,1,1,0,,,,,,,0,,,
02Reimu,14,14,1,戦闘前,Rumia,Rumia,,,,,1,1,0,,,,,,,0,,,
02Reimu,15,15,1,戦闘前,Shinki,Rumia,,,,,1,1,0,ユニット引継ぎ,Shinki,,,,,0,,,
02Reimu,16,16,1,戦闘前,Yorihime,Rumia,,,,,1,1,0,ユニット引継ぎ,Yorihime,,,,,0,,,
02Reimu,17,17,1,戦闘前,Toyohime,Rumia,,,,,1,1,0,ユニット引継ぎ,Toyohime,,,,,0,,,
02Reimu,18,18,1,戦闘前,Udonge,Rumia,,,,,1,1,0,ユニット引継ぎ,Udonge,,,,,0,,,
02Reimu,19,19,1,戦闘前,Sanae,Rumia,,,,,1,1,0,ユニット引継ぎ,Sanae,,,,,0,,,
02Reimu,20,20,1,戦闘前,Yuyuko,Rumia,,,,,1,1,0,ユニット引継ぎ,Yuyuko,,,,,0,,,
02Reimu,21,21,1,戦闘前,Tensoku,Rumia,,,,,1,1,0,,,,,,,0,,,
02Reimu,9,0,0,戦闘・ボム直後,Youmu,,,,,5,0,,0,,,,,,,1,,,
02Reimu,109,9,0,戦闘・ボム後,,,,,,,0,,0,WP_VAL0が一定値,0,0,,,,0,,,
02Reimu,3,0,0,戦闘・ボム後,,Rumia_en,,,,,1,,0,敵HP,0,0,,,,0,,,
02Reimu,4,0,0,戦闘・ボム後,,,,,,,1,,0,味方数,0,0,,,,0,,,
02Marisa,40,0,2,戦闘前,,,,,,,1,0,0,,,,,,,0,,SHOW_TIPS,FIRE
02Marisa,2,0,0,戦闘前,Marisa,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,3,0,0,戦闘前,Nitori,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,8,0,0,戦闘前,Marisa,Sunny,,,,,1,1,0,,,,,,,0,,,
02Marisa,9,0,0,戦闘前,Marisa,Luna,,,,,1,1,0,,,,,,,0,,,
02Marisa,10,0,0,戦闘前,Marisa,Star,,,,,1,1,0,,,,,,,0,,,
02Marisa,11,0,0,戦闘前,Alice,Sunny,,,,,1,1,0,,,,,,,0,,,
02Marisa,12,0,0,戦闘前,Alice,Luna,,,,,1,1,0,,,,,,,0,,,
02Marisa,13,0,0,戦闘前,Alice,Star,,,,,1,1,0,,,,,,,0,,,
02Marisa,14,0,0,戦闘前,Nitori,Sunny,,,,,1,1,0,,,,,,,0,,,
02Marisa,15,0,0,戦闘前,Nitori,Luna,,,,,1,1,0,,,,,,,0,,,
02Marisa,16,0,0,戦闘前,Nitori,Star,,,,,1,1,0,,,,,,,0,,,
02Marisa,25,25,1,戦闘前,Makura,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,26,26,1,戦闘前,Meko,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,27,27,1,戦闘前,Alice,,0,0,,,1,0,0,ユニット引継ぎ,Alice,,,,,0,,,
02Marisa,28,28,1,戦闘前,Alice,Alice,0,0,,,1,1,0,,,,,,,0,,,
02Marisa,29,29,1,戦闘前,Shinki,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,30,30,1,戦闘前,Yumeko,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,31,31,1,戦闘前,Medicine,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,32,32,1,戦闘前,Tensoku,Alice,,,,,1,1,0,,,,,,,0,,,
02Marisa,100,100,1,戦闘前,Yuka,Alice,,,,,1,1,0,,,,,,,0,,,Battle_All
02Marisa,1,0,0,ターン開始,,,2,2,,7,1,,0,,,,,,,0,,,
02Marisa,0,0,0,ターン終了,,,1,1,,7,1,,0,,,,,,,0,,,
02Marisa,4,0,0,説得,Marisa,Alice_en,,,,,1,,0,,,,,,,0,,,
02Marisa,5,0,0,戦闘・ボム直後,,Alice_en,,,,,0,,0,敵HP割合,0,50,,,,0,NO_PICHUN,,
02Marisa,7,0,0,戦闘・ボム後,,,,,5,,1,,0,,,,,,,0,,,
02Marisa,109,24,0,行動終了,,,,,,,0,,0,ユニット生存,Hourai,,,,,0,,,
02Marisa,109,24,0,行動終了,,,,,,,0,,0,ユニット生存,Shanghai,,,,,0,,,
02Marisa,7,0,0,行動終了,,,,,4,,1,,0,,,,,,,0,,,
02Marisa,19,0,0,戦闘・ボム直後,,Sunny_en,,,,,1,,0,敵HP,0,0,,,,0,NO_PICHUN,,
02Marisa,19,0,0,戦闘・ボム直後,,Luna_en,,,,,1,,0,敵HP,0,0,,,,0,NO_PICHUN,,
02Marisa,19,0,0,戦闘・ボム直後,,Star_en,,,,,1,,0,敵HP,0,0,,,,0,NO_PICHUN,,
02Marisa,18,0,0,戦闘・ボム後,,,,,,,1,,0,味方数,0,0,,,,0,,,
02Marisa,17,0,0,戦闘・ボム後,,,,,19,,1,,0,,,,,,,0,,,
03Common,1,0,0,戦闘前,,Sakuya,,,,1,1,1,0,,,,,,,0,,,
03Common,8,0,0,戦闘前,Reimu,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,9,0,0,戦闘前,Marisa,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,10,0,0,戦闘前,Keine,KeineH,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,11,0,0,戦闘前,Nitori,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,12,0,0,戦闘前,Alice,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,14,14,1,戦闘前,Makura,,,,,,1,0,0,,,,,,,0,,,
03Common,15,15,1,戦闘前,Meko,,,,,,1,0,0,,,,,,,0,,,
03Common,16,16,1,戦闘前,Shinki,,,,,,1,0,0,,,,,,,0,,,
03Common,17,17,1,戦闘前,Yorihime,,,,,,1,0,0,,,,,,,0,,,
03Common,18,18,1,戦闘前,Makura,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,19,19,1,戦闘前,Meko,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,20,20,1,戦闘前,Sakuya,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,21,21,1,戦闘前,Meiling,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,22,22,1,戦闘前,Shinki,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,23,23,1,戦闘前,Yumeko,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,24,24,1,戦闘前,Remilia,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,25,25,1,戦闘前,Flan,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,26,26,1,戦闘前,Yuyuko,,,,,,1,1,0,,,,,,,0,,,
03Common,27,27,1,戦闘前,Tensoku,Sakuya,,,,,1,1,0,,,,,,,0,,,
03Common,-1,0,0,ボム直後（特殊）,,Sakuya_en,,,,1,0,,0,SBreakフラグON,,,,,,0,NO_SBREAK,,DOKONJO
03Common,-1,0,0,戦闘・ボム直後,,Sakuya_en,,,1,3,1,,0,SBreakフラグON,,,,,,0,NO_SBREAK,,DOKONJO
03Common,4,0,0,戦闘・ボム直後,,Sakuya_en,,,3,,1,,0,敵HP,0,0,,,,0,NO_PICHUN,GET_SPELL,
03Common,4,0,0,戦闘・ボム直後,,Sakuya_en,,,3,,1,,0,敵HP割合,0,30,,,,0,,,
03Common,6,0,0,戦闘・ボム後,,,,,,,1,,0,味方数,0,0,,,,0,,,
03Common,13,0,0,戦闘・ボム後,All,,,,,7,0,,0,フェイズ,2,2,,,,1,,,
03Common,3,0,0,戦闘・ボム後,,,,,1,3,1,,0,,,,,,,0,,,
03Common,5,0,0,戦闘・ボム後,,,,,4,,1,,0,,,,,,,0,,,
03Common,5,0,0,スペル逃げ切り,,Sakuya_en,,,,,1,,0,スペルID,1,1,,,,0,,,
03Common,0,0,0,ターン開始,,,2,2,,,1,,0,,,,,,,0,,,
03Common,13,0,0,行動終了,All,,,,,7,0,,0,フェイズ,1,1,,,,1,,,
03Common,2,0,0,行動終了,,Sakuya_en,,,,,1,,0,x座標,624,624,y座標,112,112,0,,,
04Reimu,1,0,0,戦闘前,,Rumia,,,,1,1,1,0,,,,,,,0,,,
04Reimu,23,0,0,戦闘前,Akyu,All,,,,,1,0,0,,,,,,,0,ADD_AKYU,,3
04Reimu,3,0,0,戦闘前,Reimu,Rumia,,,,,1,1,0,,,,,,,0,,,
04Reimu,4,0,0,戦闘前,Keine,KeineH,Rumia,,,,,1,1,0,,,,,,,0,,,
04Reimu,5,0,0,戦闘前,Youmu,Rumia,,,,,1,1,0,,,,,,,0,,,
04Reimu,6,0,0,戦闘前,Akyu,Rumia,,,,,1,1,0,,,,,,,0,,,
04Reimu,28,28,1,戦闘前,Makura,Rumia,,,,,1,1,0,,,,,,,0,,,
04Reimu,29,29,1,戦闘前,Meko,Rumia,,,,,1,1,0,,,,,,,0,,,
04Reimu,30,30,1,戦闘前,Rumia,Rumia,,,,,1,1,0,,,,,,,0,,,
04Reimu,-1,0,0,戦闘・ボム直後,,Rumia_en,,,,2,1,,0,敵HP,0,0,,,,0,NO_PICHUN,,DOKONJO
04Reimu,10,0,0,戦闘・ボム後,,,,,,,1,,0,ユニット非生存,Akyu,,,,,0,,,
04Reimu,10,0,0,戦闘・ボム後,,,,,,,1,,0,ユニット非生存,Reimu,,,,,0,,,
04Reimu,19,0,0,戦闘・ボム後,Akyu,All,,,,,0,,0,敵HP,0,0,,,,0,ADD_AKYU,,3
04Reimu,2,0,0,戦闘・ボム後,,Rumia_en,,,,2,1,,0,,,,,,,0,,,
04Reimu,12,0,0,戦闘・ボム後,,Rumia_en,,,,,0,,0,敵HP,0,0,,,,0,,,
04Reimu,0,0,0,戦闘・ボム後,,,,,,0,1,,0,敵数,0,2,,,,0,,,
04Reimu,13,0,0,戦闘・ボム後,,,,,0,,1,,0,敵数,-100,0,,,,0,,,
04Reimu,7,0,0,ターン開始,,,5,5,,,1,,0,,,,,,,0,,,
04Reimu,8,0,0,ターン開始,,,9,9,,,1,,0,,,,,,,0,,,
04Reimu,9,0,0,ターン開始,,,10,10,,,1,,0,,,,,,,0,,,
04Reimu,11,0,0,ターン開始,,,11,11,,,1,,0,,,,,,,0,,,
04Reimu,0,0,0,ターン終了,,,3,3,,,1,,0,,,,,,,0,,,
04Reimu,21,26,0,行動終了,Akyu,,,,,0,0,,0,x座標,608,608,y座標,176,176,0,,,
04Reimu,20,0,0,行動終了,Akyu,,,,21,0,0,,0,x座標,608,608,y座標,176,176,0,,,
04Reimu,22,27,0,行動終了,Akyu,,,,20,0,0,,0,x座標,608,608,y座標,176,176,0,,,
04Reimu,0,0,0,行動終了,Akyu,,,,,0,1,,0,x座標,608,608,y座標,176,176,0,,,
04Reimu,14,0,0,行動終了,Akyu,,,,0,,1,,0,x座標,608,608,y座標,176,176,0,,,
04Reimu,15,0,0,行動終了,Reimu,,,,,,1,,0,現在地形,小さな花,,,,,0,,,
04Reimu,16,0,0,行動終了,Keine,KeineH,,,,,,1,,0,現在地形,小さな花,,,,,0,,,
04Reimu,17,0,0,行動終了,Youmu,,,,,,1,,0,現在地形,小さな花,,,,,0,,,
04Reimu,18,0,0,行動終了,Akyu,,,,,,1,,0,現在地形,小さな花,,,,,0,ADD_AKYU,,10
04Reimu,19,31,0,行動終了,Meko,,,,,,1,,0,現在地形,小さな花,,,,,0,,,
04Reimu,20,32,0,行動終了,Makura,,,,,,1,,0,現在地形,小さな花,,,,,0,,,
04Marisa,0,0,0,戦闘前,Marisa,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,1,0,0,戦闘前,Alice,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,2,0,0,戦闘前,Nitori,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,17,7,1,戦闘前,Makura,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,18,8,1,戦闘前,Meko,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,19,9,1,戦闘前,Elliy,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,20,10,1,戦闘前,Yuka,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,21,11,1,戦闘前,Kurumi,Elliy,,,,,1,1,0,,,,,,,0,,,
04Marisa,100,1,1,戦闘前,Mima,Elliy,,,,,1,1,0,,,,,,,0,,,Battle_All
04Marisa,101,2,1,戦闘前,Shinki,Elliy,,,,,1,1,0,,,,,,,0,,,Battle_All
04Marisa,10,0,0,戦闘・ボム直後,,Elliy_en,,,,,0,,0,敵HP割合,0,50,,,,0,NO_PICHUN,,
04Marisa,-1,0,0,戦闘・ボム直後,,Elliy_en,,,10,7,1,,0,敵HP割合,0,20,,,,0,,,
04Marisa,8,0,0,戦闘・ボム後,,,,,,,1,,0,敵数,1,1,ユニット生存,Elliy_en,,0,,,
04Marisa,4,0,0,戦闘・ボム後,All,,,,,,1,,0,味方HP,0,0,,,,0,,,
04Marisa,3,0,0,戦闘・ボム後,,,,,10,,1,,0,,,,,,,0,,,
04Marisa,5,0,0,ターン開始,,,,,3,,1,,0,,,,,,,0,,,
04Marisa,6,0,0,ターン開始,,,,,5,,1,,0,,,,,,,0,,,
04Marisa,7,0,0,ターン開始,,,,,6,,1,,0,,,,,,,0,,,
05Reimu,4,0,0,戦闘前,Reimu,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,5,0,0,戦闘前,Keine,KeineH,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,6,0,0,戦闘前,Youmu,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,7,0,0,戦闘前,Rumia,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,8,0,0,戦闘前,Aya,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,22,18,1,戦闘前,Makura,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,23,19,1,戦闘前,Meko,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,24,20,1,戦闘前,Elliy,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,25,21,1,戦闘前,Yuka,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,26,22,1,戦闘前,Kurumi,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,27,23,1,戦闘前,Tensoku,Elliy,,,,,1,1,0,,,,,,,0,,,
05Reimu,100,1,1,戦闘前,Mima,Elliy,,,,,1,1,0,,,,,,,0,,,Battle_All
05Reimu,101,2,1,戦闘前,Shinki,Elliy,,,,,1,1,0,,,,,,,0,,,Battle_All
05Reimu,-1,0,0,戦闘・ボム直後,,Elliy_en,,,,1,0,,0,敵HP,0,0,,,,0,NO_PICHUN,,DOKONJO
05Reimu,15,0,0,戦闘・ボム直後,Reimu,,,,,,0,,0,DemoName,fumajin,,,,,0,ADD_WPVAL0,,-1
05Reimu,16,0,0,戦闘・ボム直後,Keine,KeineH,,,,,,0,,0,DemoName,zutsuki,,,,,0,ADD_WPVAL0,,-1
05Reimu,17,0,0,戦闘・ボム直後,Rumia,,,,,,0,,0,DemoName,nightbird_old,,,,,0,ADD_WPVAL0,,-1
05Reimu,18,0,0,戦闘・ボム直後,Youmu,,,,,,0,,0,DemoName,danmeiken,,,,,0,ADD_WPVAL0,,-1
05Reimu,21,0,0,戦闘・ボム直後,,Elliy_en,,,1,,1,,0,敵HP,0,0,,,,0,NO_PICHUN,,
05Reimu,9,0,0,戦闘・ボム後,Aya,,,,,,1,,0,味方HP,0,0,,,,0,,,
05Reimu,9,0,0,戦闘・ボム後,,,,,,,1,,0,味方数,0,0,,,,0,,,
05Reimu,14,0,0,戦闘・ボム後,,,,,,,0,,0,WP_VAL0が一定値,0,0,,,,0,,,
05Reimu,20,0,0,戦闘・ボム直後,,Sunny_en,,,,,0,,0,敵HP,0,0,,,,0,NO_PICHUN,,
05Reimu,20,0,0,戦闘・ボム直後,,Luna_en,,,,,0,,0,敵HP,0,0,,,,0,NO_PICHUN,,
05Reimu,20,0,0,戦闘・ボム直後,,Star_en,,,,,0,,0,敵HP,0,0,,,,0,NO_PICHUN,,
05Reimu,19,0,0,戦闘・ボム後,,,,,20,,1,,0,,,,,,,0,,,
05Reimu,13,0,0,戦闘・ボム後,,,,,21,,1,,0,,,,,,,0,,,
05Reimu,0,0,0,戦闘・ボム後,,,,,,,1,,0,敵数,0,7,,,,0,,,
05Reimu,0,0,0,戦闘・ボム後,,Elliy_en,,,,,1,,0,,,,,,,0,,,
05Reimu,1,0,0,戦闘・ボム後,,,,,0,,1,,0,敵数,0,5,,,,0,,,
05Reimu,1,0,0,戦闘・ボム後,,Elliy_en,,,0,,1,,0,,,,,,,0,,,
05Reimu,2,0,0,ターン終了,,,,,3,19,1,,0,,,,,,,0,,,
05Reimu,0,0,0,ターン開始,,,2,2,,,1,,0,,,,,,,0,,,
05Reimu,1,0,0,ターン開始,,,3,3,,,1,,0,,,,,,,0,,,
05Reimu,3,0,0,ターン開始,,,,,1,,1,,0,,,,,,,0,,,
05Marisa,0,0,0,戦闘前,Daiyosei,,,,,1,1,1,0,,,,,,,0,,,
05Marisa,3,0,0,戦闘前,Marisa,,,,,,1,1,0,,,,,,,0,,,
05Marisa,4,0,0,戦闘前,Alice,,,,,,1,1,0,,,,,,,0,,,
05Marisa,5,0,0,戦闘前,Nitori,,,,,,1,1,0,,,,,,,0,,,
05Marisa,11,10,1,戦闘前,Makura,,0,0,,,1,0,0,,,,,,,0,,,
05Marisa,12,11,1,戦闘前,Meko,,0,0,,,1,0,0,,,,,,,0,,,
05Marisa,13,12,1,戦闘前,Daiyosei,,0,0,,,1,0,0,,,,,,,0,,,
05Marisa,14,13,1,戦闘前,Cirno,,0,0,,,1,0,0,,,,,,,0,,,
05Marisa,15,14,1,戦闘前,Yorihime,,0,0,,,1,0,0,,,,,,,0,,,
05Marisa,16,15,1,戦闘前,Letty,,0,0,,,1,0,0,,,,,,,0,,,
05Marisa,1,0,0,ターン開始,,,3,3,,,1,,0,,,,,,,0,,,
05Marisa,2,0,0,ターン開始,,,4,4,,,1,,0,,,,,,,0,,,
05Marisa,8,0,0,戦闘・ボム直後,Marisa,,,,,,0,,0,DemoName,narrowspark,,,,,0,ADD_WPVAL0,,-1
05Marisa,9,0,0,戦闘・ボム直後,Alice,,,,,,0,,0,DemoName,artifle_sacrifice,,,,,0,ADD_WPVAL0,,-1
05Marisa,10,0,0,戦闘・ボム直後,Nitori,,,,,,0,,0,DemoName,obaQ,,,,,0,ADD_WPVAL0,,-1
05Marisa,-1,0,0,戦闘・ボム直後,,KedamaB_en,,,,1,0,,0,敵HP,0,0,,,,0,,,
05Marisa,20,0,0,戦闘・ボム直後,,KedamaB_en,,,,1,1,,0,敵HP,0,0,,,,0,,,
05Marisa,-1,0,0,戦闘・ボム直後,,KedamaB_en,,,,2,0,,0,敵HP,0,0,,,,0,,,
05Marisa,21,0,0,戦闘・ボム直後,,KedamaB_en,,,,2,1,,0,敵HP,0,0,,,,0,,,
05Marisa,6,0,0,戦闘・ボム後,,,,,,,1,,0,ユニット非生存,Daiyosei,,,,,0,,,
05Marisa,1,0,0,戦闘・ボム後,,KedamaB_en,,,20,1,1,,0,,,,,,,0,,,
05Marisa,2,0,0,戦闘・ボム後,,KedamaB_en,,,21,2,1,,0,,,,,,,0,,,
05Marisa,109,0,0,戦闘・ボム後,,,,,,,0,,0,WP_VAL0が一定値,0,0,,,,0,,,
05Marisa,7,0,0,戦闘・ボム後,,,,,,,1,,0,敵数,0,0,,,,0,,,
06Common,31,31,0,戦闘前,,Cirno_en,,,30,0,0,0,0,,,,,,,1,,,
06Common,30,30,0,戦闘前,,Cirno_en,,,,0,0,0,0,,,,,,,0,,,
06Common,-1,0,0,戦闘前,,Cirno_en,,,,0,1,0,0,,,,,,,1,,,FUKUTSU
06Common,11,0,0,戦闘前,Reimu,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,12,0,0,戦闘前,Marisa,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,13,0,0,戦闘前,Keine,KeineH,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,14,0,0,戦闘前,Nitori,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,15,0,0,戦闘前,Alice,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,16,0,0,戦闘前,Youmu,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,17,0,0,戦闘前,Rumia,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,18,0,0,戦闘前,Daiyosei,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,10,0,0,戦闘前,Daiyosei,Yousei1,Yousei2,,,,,1,1,0,,,,,,,0,,,
06Common,32,32,1,戦闘前,Makura,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,33,33,1,戦闘前,Meko,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,34,34,1,戦闘前,Cirno,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,35,35,1,戦闘前,Tensoku,Cirno,,,,,1,1,0,,,,,,,0,,,
06Common,100,3,1,戦闘前,Letty,Cirno,,,,,1,1,0,,,,,,,0,,,Battle_All
06Common,5,0,0,戦闘・ボム直後,,Cirno_en,,,,,1,,0,敵HP,0,0,,,,0,NO_PICHUN,GET_SPELL,
06Common,7,0,0,戦闘・ボム後,,,,,,,1,,0,ユニット非生存,Daiyosei,,,,,0,,,
06Common,7,0,0,戦闘・ボム後,,,,,,,1,,0,味方数,0,0,,,,0,,,
06Common,6,0,0,戦闘・ボム後,,,,,5,,1,,0,,,,,,,0,,,
06Common,0,0,0,ターン開始,,,2,2,,,1,,0,,,,,,,0,,,
06Common,1,0,0,ターン開始,,,3,3,,,1,,0,,,,,,,0,,,
06Common,9,0,0,ターン終了,,,1,1,,,1,,0,,,,,,,0,,,
06Common,27,0,0,ロード/出撃配置/増援,,,,,,,1,,0,,,,,,,1,,,
06Common,4,0,0,スペル撃破,,Cirno_en,,,,,1,,0,スペルID,0,0,,,,0,,,
06Common,6,0,0,スペル逃げ切り,,Cirno_en,,,,,1,,0,スペルID,1,1,,,,0,,,
06Common,2,0,0,説得,Daiyosei,Cirno_en,,,0,2,1,,0,スペルID,0,0,,,,0,,,
06Common,8,0,0,行動終了,Daiyosei,,,,2,4,1,,0,,,,,,,0,,,
06Common,19,0,0,行動終了,Reimu,,,,,,1,,0,現在地形,氷の島,,,,,0,,,
06Common,20,0,0,行動終了,Marisa,,,,,,1,,0,現在地形,氷の島,,,,,0,,,
06Common,21,0,0,行動終了,Keine,KeineH,,,,,,1,,0,現在地形,氷の島,,,,,0,,,
06Common,22,0,0,行動終了,Nitori,,,,,,1,,0,現在地形,氷の島,,,,,0,,,
06Common,23,0,0,行動終了,Alice,,,,,,1,,0,現在地形,氷の島,,,,,0,,,
06Common,24,0,0,行動終了,Youmu,,,,,,1,,0,現在地形,氷の島,,,,,0,,,
06Common,25,0,0,行動終了,Rumia,,,,,,1,,0,現在地形,氷の島,,,,,0,,,
