CharDataID,SkillID,L1,L2,L3,L4,L5,L6,L7,L8,L9
Alice_en01,MAHOU,1,5,13,22,31,43,55,69,
Alice_en01,ACCURATE,1,,,,,,,,
Alice_en01,SAVE_MP,1,,,,,,,,
Alice_en01,P_EVADE,1,,,,,,,,
Aya01,FUJIN,1,50,,,,,,,
Aya01,OIKAZE,1,,,,,,,,
Aya01,SUPERFAST,30,,,,,,,,
Aya01,BUL-_MOV_AYA,35,,,,,,,,
Aya01,WEP+_AYA,65,,,,,,,,
Aya01,KIAI,1,1,1,1,1,1,,,
Aya01,MIKIRI,1,,,,,,,,
Aya01,P_HIT,1,,,,,,,,
Aya_en01,KIAI,1,1,1,1,30,30,,,
Aya_en01,MIKIRI,1,,,,,,,,
Aya_en01,P_EVADE,1,,,,,,,,
Aya_en02,KIAI,1,1,1,1,1,1,30,,
Aya_en02,MIKIRI,1,,,,,,,,
Aya_en02,P_EVADE,1,,,,,,,,
Bakebake_en01,KIAI,30,35,55,60,,,,,
Bakebake_en01,FAST,30,,,,,,,,
Bakebake_en02,KIAI,25,35,55,60,60,65,,,
Bakebake_en02,FAST,30,,,,,,,,
Bakebake_en03,KIAI,25,25,35,55,60,60,,,
Bakebake_en03,FAST,30,,,,,,,,
Bakebake_en03,DOUBLE,50,,,,,,,,
BakebakeL_en01,SOKO,30,35,55,60,,,,,
BakebakeL_en01,HOROYOI,1,30,,,,,,,
BakebakeL_en02,SOKO,30,35,35,35,55,60,,,
BakebakeL_en02,HOROYOI,1,30,,,,,,,
BakebakeL_en03,SOKO,30,35,35,35,55,60,,,
BakebakeL_en03,HOROYOI,1,30,,,,,,,
BakebakeL_en03,GUARD,1,,,,,,,,
Bat_en01,KIAI,30,35,55,60,,,,,
Bat_en01,MIKIRI,50,,,,,,,,
Bat_en02,KIAI,30,35,35,35,55,60,,,
Bat_en02,MIKIRI,50,,,,,,,,
Bat_en03,KIAI,30,35,35,35,55,60,,,
Bat_en03,MIKIRI,50,,,,,,,,
Bat_en03,DOUBLE,50,,,,,,,,
Byakuren_en01,MAHOU,1,1,1,1,1,1,1,1,1
Byakuren_en01,HORIKI,1,1,1,1,1,,,,
Byakuren_en01,SOKO,1,1,1,1,1,1,,,
Byakuren_en01,SHINNEN,1,,,,,,,,
Byakuren01,MAXPOW+2_BYAKUREN,1,,,,,,,,
Byakuren01,INIPOW+_BYAKUREN,1,,,,,,,,
Byakuren01,DBZ,1,,,,,,,,
Byakuren01,MAHOU,1,1,1,1,1,10,20,30,40
Byakuren01,HORIKI,1,1,1,1,1,,,,
Byakuren01,SOKO,1,1,1,1,1,1,,,
Byakuren01,SHINNEN,1,,,,,,,,
ByakurenH01,MAXPOW+2_BYAKUREN,1,,,,,,,,
ByakurenH01,INIPOW+_BYAKUREN,1,,,,,,,,
ByakurenH01,DBZ,1,,,,,,,,
ByakurenH01,MAHOU,1,1,1,1,1,10,20,30,40
ByakurenH01,HORIKI,1,1,1,1,1,,,,
ByakurenH01,SOKO,1,1,1,1,1,1,,,
ByakurenH01,SHINNEN,1,,,,,,,,
ByakurenN_en01,MAHOU,1,1,1,1,1,1,1,1,1
ByakurenN_en01,HORIKI,1,1,1,1,1,,,,
ByakurenN_en01,MAXPOW++,1,,,,,,,,
ByakurenN_en01,P_ALL,1,,,,,,,,
ByakurenN_en01,SHINNEN,1,,,,,,,,
ByakurenN_en02,MAHOU,1,1,1,1,1,1,1,1,1
ByakurenN_en02,HORIKI,1,1,1,1,1,,,,
ByakurenN_en02,DOUBLE,1,,,,,,,,
ByakurenN_en02,MAXPOW++,1,,,,,,,,
ByakurenN_en02,P_ALL,1,,,,,,,,
ByakurenN_en02,SHINNEN,1,1,,,,,,,
ByakurenN_en03,MAHOU,1,1,1,1,1,1,1,1,1
ByakurenN_en03,HORIKI,1,1,1,1,1,,,,
ByakurenN_en03,DOUBLE,1,,,,,,,,
ByakurenN_en03,MAXPOW++,1,,,,,,,,
ByakurenN_en03,P_TURN+,1,,,,,,,,
ByakurenN_en03,P_ALL,1,,,,,,,,
ByakurenN_en03,SHINNEN,1,1,,,,,,,
ByakurenN_en04,MAHOU,1,1,1,1,1,1,1,1,1
ByakurenN_en04,HORIKI,1,1,1,1,1,,,,
ByakurenN_en04,DOUBLE,1,,,,,,,,
ByakurenN_en04,MAXPOW++,1,,,,,,,,
ByakurenN_en04,P_TURN+,1,,,,,,,,
ByakurenN_en04,P_ALL,1,,,,,,,,
ByakurenN_en04,SHINNEN,1,1,,,,,,,
Chen01,MOV+_LAND_CHEN,1,50,,,,,,,
Chen01,POW_DAM+_CHEN,1,,,,,,,,
Chen01,SHIKI+_CHEN,22,,,,,,,,
Chen01,NEKO+_CHEN,45,,,,,,,,
Chen01,KAKUSEI_CHEN,56,,,,,,,,
Chen01,SATTACK,1,1,,,,,,,
Chen01,P_TURN,1,,,,,,,,
Chen01,FAST,1,,,,,,,,
Chen_en01,SATTACK,1,1,,,,,,,
Chen_en01,P_TURN,1,,,,,,,,
Chen_en01,FAST,1,,,,,,,,
Cirno01,FREEZE,1,,,,,,,,
Cirno01,PAIR_DAICHIRU,1,26,42,,,,,,
Cirno01,I_BARRIER+,100,100,100,,,,,,
Cirno01,NOSIZE_CIRNO,33,,,,,,,,
Cirno01,ATAI,60,,,,,,,,
Cirno01,WEP+_GEN_BAKA,100,,,,,,,,
Cirno01,KIAI,1,1,1,1,1,1,1,,
Cirno01,USO,1,,,,,,,,
Cirno01,P_HIT,1,,,,,,,,
Cirno02,FREEZE,1,,,,,,,,
Cirno02,PAIR_DAICHIRU,1,26,42,,,,,,
Cirno02,I_BARRIER+,1,29,45,,,,,,
Cirno02,NOSIZE_CIRNO,33,,,,,,,,
Cirno02,ATAI,60,,,,,,,,
Cirno02,WEP+_GEN_BAKA,100,,,,,,,,
Cirno02,KIAI,1,1,1,1,1,1,1,,
Cirno02,USO,1,,,,,,,,
Cirno02,P_HIT,1,,,,,,,,
Cirno03,FREEZE,1,,,,,,,,
Cirno03,PAIR_DAICHIRU,1,26,42,,,,,,
Cirno03,I_BARRIER+,1,29,45,,,,,,
Cirno03,NOSIZE_CIRNO,33,,,,,,,,
Cirno03,ATAI,60,,,,,,,,
Cirno03,WEP+_GEN_BAKA,100,,,,,,,,
Cirno03,KIAI,1,1,1,1,1,1,1,,
Cirno03,USO,1,,,,,,,,
Cirno03,P_HIT,1,,,,,,,,
Cirno04,FREEZE,1,,,,,,,,
Cirno04,PAIR_DAICHIRU,1,26,42,,,,,,
Cirno04,I_BARRIER+,1,29,45,,,,,,
Cirno04,NOSIZE_CIRNO,33,,,,,,,,
Cirno04,ATAI,60,,,,,,,,
Cirno04,WEP+_GEN_BAKA,1,,,,,,,,
Cirno04,KIAI,1,1,1,1,1,1,1,,
Cirno04,USO,1,,,,,,,,
Cirno04,P_HIT,1,,,,,,,,
Cirno_en01,KIAI,1,1,1,35,35,50,50,,
Cirno_en01,USO,1,35,,,,,,,
Cirno_en01,P_HIT,1,,,,,,,,
Cirno_en02,KIAI,1,1,1,1,1,1,1,1,1
Cirno_en02,USO,1,1,,,,,,,
Cirno_en02,P_HIT,1,,,,,,,,
Cirno_en02,DOUBLE,1,,,,,,,,
Daiyosei01,KENAGE,1,17,29,37,47,58,65,,
Daiyosei01,PAIRTO_CIRNO,1,19,33,,,,,,
Daiyosei01,IYASHI,11,,,,,,,,
Daiyosei01,GANBARIYA,19,29,56,99,,,,,
Daiyosei01,CURE_SP_BEAT,65,,,,,,,,
Daiyosei01,SGUARD,1,1,,,,,,,
Daiyosei01,KIAI,1,1,1,,,,,,
Daiyosei02,KENAGE,1,17,29,37,47,58,65,,
Daiyosei02,PAIRTO_CIRNO,1,19,33,,,,,,
Daiyosei02,IYASHI,11,,,,,,,,
Daiyosei02,GANBARIYA,19,29,56,99,,,,,
Daiyosei02,CURE_SP_BEAT,65,,,,,,,,
Daiyosei02,SGUARD,1,1,,,,,,,
Daiyosei02,KIAI,1,1,1,,,,,,
Daiyosei_en01,KIAI,1,1,1,,,,,,
Daiyosei_en01,SGUARD,1,50,,,,,,,
DreamA_en01,DOUBLE,1,,,,,,,,
DreamA_en01,P_TURN,1,,,,,,,,
DreamA_en01,MIKIRI,1,1,,,,,,,
DreamB_en01,SGUARD,1,1,,,,,,,
DreamB_en02,DOUBLE,1,,,,,,,,
DreamB_en02,SGUARD,1,1,,,,,,,
DreamC_en01,GUARD,1,,,,,,,,
DreamC_en01,DOUBLE,81,,,,,,,,
Eiki01,EIKI2,1,,,,,,,,
Eiki01,INIPOW+_EIKI,1,,,,,,,,
Eiki01,SP_COST-_EIKI,28,,,,,,,,
Eiki01,DANZAI2,10,35,60,,,,,,
Eiki01,EICHI,1,,,,,,,,
Eiki01,NOSIZE,1,,,,,,,,
Eiki01,NODIST,1,,,,,,,,
Eiki01,MIKIRI,1,,,,,,,,
Eiki_en01,EICHI,1,,,,,,,,
Eiki_en01,P_ALL,1,,,,,,,,
Eiki_en01,NOSIZE,1,,,,,,,,
Eiki_en01,NODIST,1,,,,,,,,
Eiki_en01,GUARD,1,56,,,,,,,
Eiki_en02,EICHI,1,,,,,,,,
Eiki_en02,MAXPOW++,1,,,,,,,,
Eiki_en02,P_ALL,1,,,,,,,,
Eiki_en02,NOSIZE,1,,,,,,,,
Eiki_en02,NODIST,1,,,,,,,,
Eiki_en02,GUARD,1,56,,,,,,,
Eiki_en03,EICHI,1,,,,,,,,
Eiki_en03,MAXPOW++,1,,,,,,,,
Eiki_en03,P_ALL,1,,,,,,,,
Eiki_en03,NOSIZE,1,,,,,,,,
Eiki_en03,NODIST,1,,,,,,,,
Eiki_en03,GUARD,1,56,,,,,,,
Eiki_en03,DOUBLE,1,,,,,,,,
EikiN_en01,EICHI,1,,,,,,,,
EikiN_en01,P_ALL,1,,,,,,,,
EikiN_en01,NOSIZE,1,,,,,,,,
EikiN_en01,NODIST,1,,,,,,,,
EikiN_en01,MIKIRI,1,,,,,,,,
EikiN_en02,EICHI,1,,,,,,,,
EikiN_en02,MAXPOW++,1,,,,,,,,
EikiN_en02,P_ALL,1,,,,,,,,
EikiN_en02,NOSIZE,1,,,,,,,,
EikiN_en02,NODIST,1,,,,,,,,
EikiN_en02,MIKIRI,1,1,,,,,,,
EikiN_en03,EICHI,1,,,,,,,,
EikiN_en03,MAXPOW++,1,,,,,,,,
EikiN_en03,P_ALL,1,,,,,,,,
EikiN_en03,NOSIZE,1,,,,,,,,
EikiN_en03,NODIST,1,,,,,,,,
EikiN_en03,MIKIRI,1,1,,,,,,,
EikiN_en03,DOUBLE,1,,,,,,,,
Eirin01,EIRIN,1,,,,,,,,
Eirin01,DAM+_DIST2_EIRIN,1,,,,,,,,
Eirin01,ADD_STATE_EIRIN,40,,,,,,,,
Eirin01,POWERPILL,56,,,,,,,,
Eirin01,SP_COST-_EIRIN,65,,,,,,,,
Eirin01,GENIUS,1,,,,,,,,
Eirin01,MIKIRI,1,,,,,,,,
Eirin01,COUNTER,1,1,,,,,,,
Eirin01,SATTACK,1,,,,,,,,
Eirin_en01,GENIUS,1,,,,,,,,
Eirin_en01,NODIST,1,,,,,,,,
Eirin_en01,MIKIRI,1,1,,,,,,,
Eirin_en01,COUNTER,1,1,,,,,,,
Eirin_en01,SATTACK,1,1,,,,,,,
Eirin_en01,GUARD,1,1,,,,,,,
EirinN_en01,GENIUS,1,,,,,,,,
EirinN_en01,NODIST,1,,,,,,,,
EirinN_en01,COUNTER,1,1,,,,,,,
EirinN_en01,SATTACK,1,1,,,,,,,
EirinN_en02,GENIUS,1,,,,,,,,
EirinN_en02,NODIST,1,,,,,,,,
EirinN_en02,COUNTER,1,1,,,,,,,
EirinN_en02,SATTACK,1,1,,,,,,,
EirinN_en02,MIKIRI,1,1,,,,,,,
EirinN_en02,GUARD,1,1,,,,,,,
EirinN_en03,GENIUS,1,,,,,,,,
EirinN_en03,NODIST,1,,,,,,,,
EirinN_en03,COUNTER,1,1,,,,,,,
EirinN_en03,SATTACK,1,1,,,,,,,
EirinN_en03,MIKIRI,1,1,,,,,,,
EirinN_en03,GUARD,1,1,,,,,,,
EirinN_en03,DOUBLE,1,,,,,,,,
Elliy01,PERDITION,1,20,40,60,,,,,
Elliy01,G_KEEPER,1,21,42,,,,,,
Elliy01,TILE,10,,,,,,,,
Elliy01,SP_COST-_ELLIY,38,,,,,,,,
Elliy01,SPIRIT_POW_TURN_ELLIY,50,,,,,,,,
Elliy01,BLOCKING,1,,,,,,,,
Elliy01,SOKO,1,1,1,1,1,,,,
Elliy01,SGUARD,1,1,,,,,,,
Elliy_en01,SOKO,1,1,1,1,1,,,,
Elliy_en01,SGUARD,1,1,,,,,,,
Elliy_en02,BLOCKING,1,,,,,,,,
Elliy_en02,SOKO,1,1,1,1,1,,,,
Elliy_en02,SGUARD,1,1,,,,,,,
Evileye_en01,MIKIRI,40,60,,,,,,,
Evileye_en02,MIKIRI,40,60,,,,,,,
Evileye_en02,DOUBLE,50,,,,,,,,
EvileyeK_en01,KIAI,1,1,1,1,1,,,,
EvileyeK_en01,MAXPOW+,1,,,,,,,,
EvileyeK_en01,SATTACK,1,,,,,,,,
EvileyeK_en01,GUARD,1,,,,,,,,
EvileyeK_en01,UP_SP,1,1,1,1,1,1,,,
EvileyeK_en02,KIAI,1,1,1,1,1,,,,
EvileyeK_en02,MAXPOW+,1,,,,,,,,
EvileyeK_en02,SATTACK,1,,,,,,,,
EvileyeK_en02,SGUARD,1,,,,,,,,
EvileyeK_en02,GUARD,1,,,,,,,,
EvileyeK_en02,UP_SP,1,1,1,1,1,1,,,
EvileyeK_en02,DOUBLE,1,,,,,,,,
EvileyeK2_en01,,,,,,,,,,
EvileyeKN_en01,DOUBLE,1,,,,,,,,
EvileyeKN_en01,SOKO+,1,1,1,1,1,,,,
EvileyeKN_en01,P_TURN+,1,,,,,,,,
EvileyeKN_en01,MAXPOW++,1,,,,,,,,
EvileyeKN_en01,CURE_SP+,1,,,,,,,,
EvileyeKN_en02,DOUBLE,1,,,,,,,,
EvileyeKN_en02,SOKO+,1,1,1,1,1,1,,,
EvileyeKN_en02,P_TURN+,1,,,,,,,,
EvileyeKN_en02,MAXPOW++,1,,,,,,,,
EvileyeKN_en02,CURE_SP+,1,,,,,,,,
EvileyeKN_en03,DOUBLE,1,,,,,,,,
EvileyeKN_en03,SOKO+,1,1,1,1,1,1,1,1,
EvileyeKN_en03,P_TURN+,1,,,,,,,,
EvileyeKN_en03,MAXPOW++,1,,,,,,,,
EvileyeKN_en03,CURE_SP+,1,,,,,,,,
EvileyeKN_en04,DOUBLE,1,,,,,,,,
EvileyeKN_en04,SOKO+,1,1,1,1,1,1,1,1,1
EvileyeKN_en04,P_TURN+,1,,,,,,,,
EvileyeKN_en04,MAXPOW++,1,,,,,,,,
EvileyeKN_en04,CURE_SP+,1,,,,,,,,
EvileyeKN_en05,DOUBLE,84,,,,,,,,
EvileyeKN_en05,SOKO+,1,1,1,1,1,1,83,84,85
EvileyeKN_en05,P_TURN+,1,,,,,,,,
EvileyeKN_en05,MAXPOW++,1,,,,,,,,
EvileyeKN_en05,CURE_SP+,1,,,,,,,,
EvileyeR_en01,KIAI,1,1,1,1,1,,,,
EvileyeR_en01,SATTACK,1,,,,,,,,
EvileyeR_en02,KIAI,1,1,1,1,1,,,,
EvileyeR_en02,SATTACK,1,,,,,,,,
EvileyeR_en02,DOUBLE,1,,,,,,,,
EvileyeZ_en01,KIAI,1,1,1,1,1,,,,
EvileyeZ_en01,NOSIZE,1,,,,,,,,
EvileyeZ_en02,KIAI,1,1,1,1,1,,,,
EvileyeZ_en02,NOSIZE,1,,,,,,,,
EvileyeZ_en02,DOUBLE,1,,,,,,,,
Flan01,POW_DAM+_FLAN,1,,,,,,,,
Flan01,PAIRFROM+_FLAN,1,25,41,,,,,,
Flan01,ADD_MAHOU_FLAN,12,35,60,,,,,,
Flan01,CONTRACT_FLAN,52,,,,,,,,
Flan01,SOKO,1,1,1,1,1,,,,
Flan01,MAXPOW+,1,,,,,,,,
Flan01,P_GOTHIT,1,,,,,,,,
Flan02,POW_DAM+_FLAN,1,,,,,,,,
Flan02,PAIRFROM+_FLAN,1,25,41,,,,,,
Flan02,ADD_MAHOU_FLAN,12,35,60,,,,,,
Flan02,CONTRACT_FLAN,52,,,,,,,,
Flan02,SOKO,1,1,1,1,1,,,,
Flan02,MAXPOW+,1,,,,,,,,
Flan02,P_GOTHIT,1,,,,,,,,
Flan_en01,SOKO,1,1,1,1,30,30,30,,
Flan_en01,MAXPOW+,1,,,,,,,,
Flan_en01,NOSIZE,1,,,,,,,,
Flan_en01,P_GOTHIT,1,,,,,,,,
Flan_en01,GUARD,30,,,,,,,,
FlanA_en01,P_GOTHIT,1,,,,,,,,
FlanN_en01,SOKO+,1,1,1,1,1,,,,
FlanN_en01,MAXPOW+,1,,,,,,,,
FlanN_en01,P_TURN+,1,,,,,,,,
FlanN_en02,SOKO+,1,1,1,1,1,1,,,
FlanN_en02,MAXPOW+,1,,,,,,,,
FlanN_en02,P_TURN+,1,,,,,,,,
FlanN_en03,SOKO+,1,1,1,1,1,1,1,,
FlanN_en03,MAXPOW+,1,,,,,,,,
FlanN_en03,P_TURN+,1,,,,,,,,
FlanN_en04,SOKO+,1,1,1,1,1,1,1,1,
FlanN_en04,MAXPOW+,1,,,,,,,,
FlanN_en04,P_TURN+,1,,,,,,,,
FlanN_en04,DOUBLE,1,,,,,,,,
FlanN_en05,SOKO+,1,1,1,1,1,1,1,,
FlanN_en05,MAXPOW+,1,,,,,,,,
FlanN_en05,P_TURN+,1,,,,,,,,
FlanN_en05,DOUBLE,82,,,,,,,,
GhostS_en01,KIAI,1,30,,,,,,,
GhostSN_en01,KIAI,1,1,1,1,,,,,
GhostSN_en01,MIKIRI,1,,,,,,,,
GhostSN_en01,DOUBLE,1,,,,,,,,
GhostL_en01,SOKO,1,30,,,,,,,
GhostL_en01,GUARD,30,,,,,,,,
GhostLN_en01,SOKO,1,1,1,1,,,,,
GhostLN_en01,GUARD,1,,,,,,,,
GhostLN_en01,DOUBLE,1,,,,,,,,
Goki01,SOKO,1,1,1,1,1,,,,
Goki01,SGUARD,1,1,,,,,,,
Goki01,GUARD,1,,,,,,,,
Goki01,P_GOTHIT,1,,,,,,,,
Goki_en01,SOKO,1,1,1,30,30,,,,
Goki_en01,SGUARD,1,1,,,,,,,
Goki_en01,GUARD,1,,,,,,,,
Goki_en01,P_GOTHIT,1,,,,,,,,
GokiN_en01,SOKO,1,1,1,1,1,1,1,,
GokiN_en01,SGUARD,1,1,,,,,,,
GokiN_en01,GUARD,1,,,,,,,,
GokiN_en01,P_GOTHIT,1,,,,,,,,
Grimoire_en01,SATTACK,20,,,,,,,,
GyokutoS_en01,KIAI,1,1,1,,,,,,
GyokutoS_en01,NODIST,50,,,,,,,,
GyokutoS_en02,KIAI,1,1,1,,,,,,
GyokutoS_en02,BLOCKING,1,,,,,,,,
GyokutoS_en02,NODIST,50,,,,,,,,
GyokutoS_en03,KIAI,1,1,1,60,60,,,,
GyokutoS_en03,SGUARD,1,,,,,,,,
GyokutoS_en03,NODIST,1,,,,,,,,
GyokutoS_en04,KIAI,1,1,1,60,60,60,60,,
GyokutoS_en04,BLOCKING,1,,,,,,,,
GyokutoS_en04,SGUARD,1,,,,,,,,
GyokutoS_en04,NODIST,1,,,,,,,,
GyokutoS2_en01,KIAI,1,1,1,60,60,,,,
GyokutoS2_en01,SGUARD,1,,,,,,,,
GyokutoS2_en02,KIAI,1,1,1,60,60,60,60,,
GyokutoS2_en02,SGUARD,1,,,,,,,,
GyokutoS2_en02,NODIST,1,,,,,,,,
GyokutoS2_en03,KIAI,1,1,1,60,60,60,60,,
GyokutoS2_en03,BLOCKING,1,,,,,,,,
GyokutoS2_en03,SGUARD,1,,,,,,,,
GyokutoS2_en03,NODIST,1,,,,,,,,
GyokutoSN_en01,KIAI,1,1,1,1,1,,,,
GyokutoSN_en01,SGUARD,1,,,,,,,,
GyokutoSN_en01,NODIST,1,,,,,,,,
GyokutoSN_en02,KIAI,1,1,1,1,1,1,1,,
GyokutoSN_en02,BLOCKING,1,,,,,,,,
GyokutoSN_en02,SGUARD,1,,,,,,,,
GyokutoSN_en02,NODIST,1,,,,,,,,
GyokutoT_en01,KIAI,1,1,1,60,60,,,,
GyokutoT_en01,SATTACK,1,,,,,,,,
GyokutoT_en02,KIAI,1,1,1,60,60,,,,
GyokutoT_en02,BLOCKING,1,,,,,,,,
GyokutoT_en02,SATTACK,1,,,,,,,,
GyokutoT_en03,KIAI,1,1,1,60,60,,,,
GyokutoT_en03,FAST,1,,,,,,,,
GyokutoT_en04,KIAI,1,1,1,60,60,60,60,,
GyokutoT_en04,BLOCKING,1,,,,,,,,
GyokutoT_en04,FAST,1,,,,,,,,
GyokutoTN_en01,KIAI,1,1,1,1,1,,,,
GyokutoTN_en01,SATTACK,1,,,,,,,,
GyokutoTN_en01,FAST,1,,,,,,,,
GyokutoTN_en02,KIAI,1,1,1,1,1,1,1,,
GyokutoTN_en02,BLOCKING,1,,,,,,,,
GyokutoTN_en02,SATTACK,1,,,,,,,,
GyokutoTN_en02,FAST,1,,,,,,,,
Hatate01,ADD_STATE_HATATE,1,,,,,,,,
Hatate01,BAKUHA,1,,,,,,,,
Hatate01,GUIDE,40,,,,,,,,
Hatate01,SHUTTER,50,,,,,,,,
Hatate01,SAVE_MP+_HATATE,65,,,,,,,,
Hatate01,KIAI,1,1,1,1,1,,,,
Hatate01,MIKIRI,1,,,,,,,,
Hatate01,SLOW,1,,,,,,,,
Hatate_en01,KIAI,1,1,1,1,1,,,,
Hatate_en01,MIKIRI,1,,,,,,,,
Hatate_en01,SLOW,1,,,,,,,,
Hina01,SPIN,1,50,,,,,,,
Hina01,YAKU_FLOW,1,,,,,,,,
Hina01,BAD_FORTUNE,22,,,,,,,,
Hina01,SGUARD_HINA,42,,,,,,,,
Hina01,FUKOU,60,,,,,,,,
Hina01,CUTBACK,1,,,,,,,,
Hina01,HARITSUKI,1,,,,,,,,
Hina01,FAST,1,,,,,,,,
Hina02,SPIN,1,50,,,,,,,
Hina02,YAKU_FLOW,1,,,,,,,,
Hina02,BAD_FORTUNE,22,,,,,,,,
Hina02,SGUARD_HINA,42,,,,,,,,
Hina02,FUKOU,60,,,,,,,,
Hina02,CUTBACK,1,,,,,,,,
Hina02,HARITSUKI,1,,,,,,,,
Hina02,FAST,1,,,,,,,,
Hina_en01,SATTACK,1,,,,,,,,
Hina_en01,HARITSUKI,1,,,,,,,,
Hina_en01,FAST,1,,,,,,,,
Hourai01,SGUARD,1,,,,,,,,
Hourai_en01,SGUARD,1,,,,,,,,
HTengu_en01,SOKO,1,1,1,1,30,30,,,
HTengu_en01,GUARD,30,,,,,,,,
HTengu_en02,BLOCKING,1,1,,,,,,,
HTengu_en02,SOKO,1,1,1,1,30,30,,,
HTengu_en02,GUARD,30,,,,,,,,
HTenguB_en01,SOKO,1,1,1,1,1,,,,
HTenguB_en01,GUARD,1,,,,,,,,
HTenguB_en02,BLOCKING,1,1,,,,,,,
HTenguB_en02,SOKO,1,1,1,1,1,,,,
HTenguB_en02,GUARD,1,,,,,,,,
