UnitID,Name,Demo,種,Damage,RMin,RMax,Hit,Crt,L,P,S,弾,MP,Pow,空,陸,水,夜,支,バ,サ,Special,Shape,Partner,BGM,Effect
Alice07,마리스포,malice,0,2800,1,3,40,30,0,1,0,0,35,110,A,A,A,A,0,1,0,,,|Marisa|,,
Alice07,돌즈 워,dollswar,1,2150,1,4,20,20,0,1,0,4,0,105,A,A,B,A,0,0,0,,,,,
Alice07,리턴 인애니메이트니스,return,0,2800,4,6,10,40,0,0,0,2,0,110,A,A,A,A,0,0,1,,,,,
Alice07,그랑기뇰의 유령,GG,0,3400,1,2,20,40,0,1,0,2,0,130,A,A,C,A,0,1,1,,,,,
Aya_en01,텐구일선,combat_Aya,1,2050,1,2,15,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Aya_en01,텐구열풍탄,reppu_Aya,0,2150,2,5,10,20,0,1,0,35,0,0,A,A,C,A,0,0,0,,,,,
Aya_en02,텐구일선,combat_Aya,1,2050,1,2,15,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Aya_en02,텐구열풍탄,reppu_Aya,0,2150,2,5,10,20,0,1,0,35,0,0,A,A,C,A,0,0,0,,,,,
Aya_en02,텐구 산바람,oroshi,0,2700,3,6,30,-10,0,0,0,0,10,100,A,A,B,A,0,0,0,,,,,
Aya_en02,환상풍미,fubi,1,3200,1,3,20,25,0,1,0,0,20,100,S,A,B,A,0,0,0,,,,,
Aya_en03,텐구일선,combat_Aya,1,2150,1,2,25,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Aya_en03,텐구열풍탄,reppu_Aya,0,2300,2,5,20,20,0,1,0,35,0,0,A,A,C,A,0,0,0,,,,,
Aya_en03,텐구 산바람,oroshi,0,2700,3,6,30,-10,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Aya_en03,환상풍미,fubi,1,3400,1,3,20,25,0,1,0,0,20,130,S,A,B,A,0,0,0,,,,,
Aya_en04,텐구일선,combat_Aya,1,2150,1,2,25,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Aya_en04,텐구열풍탄,reppu_Aya,0,2300,2,5,20,20,0,1,0,35,0,0,A,A,C,A,0,0,0,,,,,
Aya_en04,텐구 산바람,oroshi,0,2700,3,6,30,-10,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Aya_en04,환상풍미,fubi,1,3400,1,3,20,25,0,1,0,0,20,130,S,A,B,A,0,0,0,,,,,
Aya01,텐구일선,combat_Aya,1,1850,1,2,25,35,0,1,1,0,5,0,A,A,A,A,0,0,0,,,,,
Aya01,텐구열풍탄,reppu_Aya,0,2100,2,4,20,20,0,1,0,15,0,0,A,A,B,A,1,0,0,,,,,
Aya02,텐구일선,combat_Aya,1,1850,1,2,25,35,0,1,1,0,5,0,A,A,A,A,0,0,0,,,,,
Aya02,텐구열풍탄,reppu_Aya,0,2100,2,4,20,20,0,1,0,15,0,0,A,A,B,A,1,0,0,,,,,
Aya02,텐구 산바람,oroshi,0,2700,3,6,30,-10,0,0,0,0,35,110,A,B,C,A,0,0,0,,,,,
Aya02,환상풍미,fubi,1,3400,1,2,20,25,0,1,0,0,60,130,S,B,D,A,0,0,1,,,,,
Aya02,더블 스포일러,DS,1,3600,1,2,20,25,0,1,0,0,55,140,S,B,A,A,0,1,1,,,|Hatate|,bgm_weapon_AyaHata_DS,
Aya03,텐구일선,combat_Aya,1,1850,1,2,25,35,0,1,1,0,5,0,A,A,A,A,0,0,0,,,,,
Aya03,텐구열풍탄,reppu_Aya,0,2100,2,4,20,20,0,1,0,15,0,0,A,A,B,A,1,0,0,,,,,
Aya03,텐구 산바람,oroshi,0,2700,3,6,30,-10,0,0,0,0,35,110,A,B,C,A,0,0,0,,,,,
Aya03,환상풍미,fubi,1,3400,1,2,20,25,0,1,0,0,60,130,S,B,D,A,0,0,1,,,,,
Aya03,더블 스포일러,DS,1,3600,1,2,20,25,0,1,0,0,55,140,S,B,A,A,0,1,1,,,|Hatate|,bgm_weapon_AyaHata_DS,
AyaK01,텐구열풍탄,reppu_Aya,0,2100,1,4,20,20,0,1,0,15,0,0,A,A,B,A,1,0,0,,,,,
AyaK01,탄막촬영,photo,7,0,1,6,0,0,0,1,0,5,0,100,A,A,A,A,0,0,0,착탄형,photo,,,
Bakebake_en01,혀,tongue,1,1850,1,2,20,20,0,1,1,0,0,0,A,A,A,A,0,0,0,,,,,
Bakebake_en01,바케바케 분신살법,Bakebake_attack,1,2050,1,1,20,15,0,0,0,0,10,0,A,A,A,A,0,0,0,,,,,
Bakebake_en02,혀,tongue,1,1850,1,2,20,20,0,1,1,0,0,0,A,A,A,A,0,0,0,,,,,
Bakebake_en02,바케바케 분신살법,Bakebake_attack,1,2050,1,1,20,15,0,0,0,0,10,0,A,A,A,A,0,0,0,,,,,
Bakebake_en03,혀,tongue,1,1850,1,2,20,20,0,1,1,0,0,0,A,A,A,A,0,0,0,,,,,
Bakebake_en03,바케바케 분신살법,Bakebake_attack,1,2050,1,1,20,15,0,0,0,0,10,0,A,A,A,A,0,0,0,,,,,
BakebakeL_en01,바케바케 춤,bakebake_map,1,2300,1,2,40,-20,0,1,0,0,20,110,A,A,C,A,0,0,0,사각형형,*square,,,
BakebakeL_en01,분열 혀 축제,tongue_fest,1,2600,1,5,45,20,0,1,1,0,5,0,A,A,A,A,0,0,0,,,,,
BakebakeL_en02,바케바케 춤,bakebake_map,1,2300,1,2,40,-20,0,1,0,0,20,110,A,A,C,A,0,0,0,사각형형,*square,,,
BakebakeL_en02,분열 혀 축제,tongue_fest,1,2600,1,5,45,20,0,1,1,0,5,0,A,A,A,A,0,0,0,,,,,
BakebakeL_en03,바케바케 춤,bakebake_map,1,2300,1,2,40,-20,0,1,0,0,20,110,A,A,C,A,0,0,0,사각형형,*square,,,
BakebakeL_en03,분열 혀 축제,tongue_fest,1,2600,1,5,45,20,0,1,1,0,5,0,A,A,A,A,0,0,0,,,,,
Bat_en01,데빌 배트 레이저,laser_Bat,0,2300,1,4,20,10,1,1,0,0,5,0,A,A,C,A,0,0,0,,,,,
Bat_en02,데빌 배트 레이저,laser_Bat,0,2300,1,4,20,10,1,1,0,0,5,0,A,A,C,A,0,0,0,,,,,
Bat_en03,데빌 배트 레이저,laser_Bat,0,2300,1,4,20,10,1,1,0,0,5,0,A,A,C,A,0,0,0,,,,,
Byakuren_en01,비루다카의 검,vidudabha,1,2300,3,6,30,10,0,1,0,0,5,0,A,A,A,A,0,1,0,,,,,
Byakuren_en01,하누만의 춤,hanuman,1,2600,1,3,30,10,0,1,0,0,10,0,A,A,A,A,0,0,0,,,,,
Byakuren01,비루다카의 검,vidudabha,1,2200,3,5,10,10,0,1,0,6,0,0,A,A,C,A,0,1,0,,,,,
Byakuren01,하누만의 춤,hanuman,1,2400,1,3,15,35,0,1,1,0,10,0,A,A,A,A,1,0,0,,,,,
Byakuren01,마신복송,fukusho,1,2900,4,6,10,15,0,0,0,0,40,120,A,A,C,A,0,0,0,,,,,
Byakuren01,초인「히지리 뱌쿠렌」,chojin,1,3300,1,2,10,25,0,1,0,0,55,130,A,A,C,A,0,0,1,,,,,
ByakurenH01,격투,combat_Chojin,1,2700,1,4,30,35,0,1,0,0,25,110,A,A,A,A,1,0,0,,,,,
ByakurenH01,삼천대천세계의 주인,sanzen,1,4000,1,3,15,30,0,1,0,0,90,150,A,A,A,A,0,0,1,사용후 「초인」상태가 해제됨,,,,COND/UNDBZ/1
ByakurenN_en01,비루다카의 검,vidudabha,1,2300,1,6,30,10,0,1,0,0,5,0,A,A,A,A,0,1,0,,,,,
ByakurenN_en01,마인「뱌쿠렌」,combat_ChojinN,1,3000,1,4,30,10,0,1,0,0,10,100,A,A,A,A,0,1,1,,,,,
ByakurenN_en02,비루다카의 검,vidudabha,1,2300,1,6,30,10,0,1,0,0,5,0,A,A,A,A,0,1,0,,,,,
ByakurenN_en02,마인「뱌쿠렌」,combat_ChojinN,1,3000,1,4,30,10,0,1,0,0,10,100,A,A,A,A,0,1,1,,,,,
ByakurenN_en03,비루다카의 검,vidudabha,1,2300,1,6,30,10,0,1,0,0,5,0,A,A,A,A,0,1,0,,,,,
ByakurenN_en03,마인「뱌쿠렌」,combat_ChojinN,1,3000,1,4,30,10,0,1,0,0,10,100,A,A,A,A,0,1,1,,,,,
ByakurenN_en04,비루다카의 검,vidudabha,1,2600,1,6,30,10,0,1,0,0,5,0,A,A,A,A,0,1,0,,,,,
ByakurenN_en04,마인「뱌쿠렌」,combat_ChojinN,1,3500,1,2,30,10,0,1,0,0,10,0,A,A,A,A,0,1,1,,,,,
Chen_en01,격투,combat_Chen,1,2000,1,2,20,35,0,1,1,0,0,0,A,S,C,A,0,0,0,,,,,
Chen_en01,비상위타천,idaten,1,2350,2,4,10,25,0,1,0,0,10,0,A,A,C,A,0,0,0,,,,,
Chen_en01,요괴고양이 「첸」,Chen,1,2950,1,4,15,20,0,1,0,0,10,100,A,S,C,A,0,0,0,,,,,
Chen_en02,격투,combat_Chen,1,2000,1,2,20,35,0,1,1,0,0,0,A,S,C,A,0,0,0,,,,,
Chen_en02,비상위타천,idaten,1,2350,2,4,10,25,0,1,0,0,10,0,A,A,C,A,0,0,0,,,,,
Chen_en02,요괴고양이 「첸」,Chen,1,2950,1,4,15,20,0,1,0,0,10,100,A,S,C,A,0,0,0,,,,,
Chen_en03,격투,combat_Chen,1,2000,1,2,20,35,0,1,1,0,0,0,A,S,C,A,0,0,0,,,,,
Chen_en03,비상위타천,idaten,1,2350,2,4,10,25,0,1,0,0,10,0,A,A,C,A,0,0,0,,,,,
Chen_en03,요괴고양이 「첸」,Chen,1,2950,1,4,15,20,0,1,0,0,10,100,A,S,C,A,0,0,0,,,,,
Chen_en04,격투,combat_Chen,1,2100,1,2,20,35,0,1,1,0,0,0,A,S,C,A,0,0,0,,,,,
Chen_en04,비상위타천,idaten,1,2400,2,4,10,25,0,1,0,0,10,0,A,A,C,A,0,0,0,,,,,
Chen_en04,요괴고양이 「첸」,Chen,1,3000,1,4,15,20,0,1,0,0,10,110,A,S,C,A,0,0,0,,,,,
Chen_en05,격투,combat_Chen,1,2100,1,2,20,35,0,1,1,0,0,0,A,S,C,A,0,0,0,,,,,
Chen_en05,비상위타천,idaten,1,2400,2,4,10,25,0,1,0,0,10,0,A,A,C,A,0,0,0,,,,,
Chen_en05,요괴고양이 「첸」,Chen,1,3000,1,4,15,20,0,1,0,0,10,110,A,S,C,A,0,0,0,,,,,
Chen_en06,격투,combat_Chen,1,2100,1,2,20,35,0,1,1,0,0,0,A,S,C,A,0,0,0,,,,,
Chen_en06,비상위타천,idaten,1,2400,2,4,10,25,0,1,0,0,10,0,A,A,C,A,0,0,0,,,,,
Chen_en06,요괴고양이 「첸」,Chen,1,3000,1,4,15,20,0,1,0,0,10,110,A,S,C,A,0,0,0,,,,,
Chen_en07,격투,combat_Chen,1,2100,1,2,20,35,0,1,1,0,0,0,A,S,C,A,0,0,0,,,,,
Chen_en07,비상위타천,idaten,1,2400,2,4,10,25,0,1,0,0,10,0,A,A,C,A,0,0,0,,,,,
Chen_en07,요괴고양이 「첸」,Chen,1,3000,1,4,15,20,0,1,0,0,10,110,A,S,C,A,0,0,0,,,,,
Chen01,격투,combat_Chen,1,1900,1,2,30,40,0,1,1,0,5,0,A,A,C,A,0,0,0,,,,,
Chen01,비상위타천,idaten,1,2200,2,4,15,25,0,1,0,0,10,0,A,A,C,A,1,0,0,,,,,
Chen01,요괴고양이 「첸」,Chen,1,2900,1,3,0,25,0,1,0,0,40,120,B,S,C,A,0,0,0,,,,,
Chen01,식신「첸」,RanChen,1,3200,1,3,25,30,0,1,0,5,0,120,A,S,A,A,0,1,0,,,|Ran|,,
Cirno_en01,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en01,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,,,,,
Cirno_en01,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en01,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en02,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en02,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,,,,,
Cirno_en02,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en02,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en03,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en03,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,,,,,
Cirno_en03,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en03,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en04,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en04,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,회피율15%다운,,,,ADD_STATE/PRY-/15
Cirno_en04,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en04,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en04,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,10,0,130,A,A,B,A,0,0,1,,,,,
Cirno_en05,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en05,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,회피율25%다운,,,,ADD_STATE/PRY-/25
Cirno_en05,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en05,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en05,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,10,0,130,A,A,B,A,0,0,1,,,,,
Cirno_en06,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en06,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,회피율15%다운,,,,ADD_STATE/PRY-/15
Cirno_en06,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en06,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en06,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,10,0,130,A,A,B,A,0,0,1,,,,,
Cirno_en07,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en07,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,회피율25%다운,,,,ADD_STATE/PRY-/25
Cirno_en07,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en07,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en07,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,10,0,130,A,A,B,A,0,0,1,,,,,
Cirno_en08,몸통박치기,taiatari,1,1850,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en08,냉동광선,icebeam,0,2150,1,4,15,-10,0,1,0,0,5,0,A,A,A,A,0,0,0,회피율25%다운,,,,ADD_STATE/PRY-/25
Cirno_en08,아이시클 폴,iciclefall,0,2250,3,5,10,20,0,0,0,35,0,0,A,A,B,A,0,0,0,,,,,
Cirno_en08,퍼펙트 프리즈,pfreeze,0,2700,2,5,25,35,0,0,0,0,10,110,A,A,B,A,0,0,0,,,,,
Cirno_en08,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,10,0,130,A,A,B,A,0,0,1,,,,,
Cirno01,몸통박치기,taiatari,1,1650,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno01,냉동광선,icebeam,0,1950,2,4,15,-10,0,1,0,0,5,0,A,A,A,A,1,0,0,회피율15%다운,,,,ADD_STATE/PRY-/15
Cirno01,아이시클 폴,iciclefall,0,2050,3,5,10,20,0,0,0,15,0,0,A,A,B,A,0,0,0,,,,,
Cirno01,퍼펙트 프리즈,pfreeze,0,2600,2,5,25,35,0,0,0,0,30,110,A,A,B,A,0,0,0,,,,,
Cirno02,몸통박치기,taiatari,1,1650,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno02,냉동광선,icebeam,0,1950,2,4,15,-10,0,1,0,0,5,0,A,A,A,A,1,0,0,회피율15%다운,,,,ADD_STATE/PRY-/15
Cirno02,아이시클 폴,iciclefall,0,2050,3,5,10,20,0,0,0,15,0,0,A,A,B,A,0,0,0,,,,,
Cirno02,퍼펙트 프리즈,pfreeze,0,2600,2,5,25,35,0,0,0,0,30,110,A,A,B,A,0,0,0,,,,,
Cirno02,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,4,0,130,A,A,B,A,0,0,1,,,,,
Cirno02,요정 동시공격,daichiru,0,2800,3,5,30,30,0,0,0,0,30,120,A,A,A,A,0,1,0,,,|Daiyosei|,,
Cirno03,몸통박치기,taiatari,1,1650,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno03,냉동광선,icebeam,0,1950,2,4,15,-10,0,1,0,0,5,0,A,A,A,A,1,0,0,회피율15%다운,,,,ADD_STATE/PRY-/15
Cirno03,아이시클 폴,iciclefall,0,2050,3,5,10,20,0,0,0,15,0,0,A,A,B,A,0,0,0,,,,,
Cirno03,퍼펙트 프리즈,pfreeze,0,2600,2,5,25,35,0,0,0,0,30,110,A,A,B,A,0,0,0,,,,,
Cirno03,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,4,0,130,A,A,B,A,0,0,1,,,,,
Cirno03,요정 동시공격,daichiru,0,2800,3,5,30,30,0,0,0,0,30,120,A,A,A,A,0,1,0,,,|Daiyosei|,,
Cirno03,바콰르텟 스페셜,baka,0,3700,2,4,15,20,0,1,0,0,35,130,A,A,A,A,0,1,1,,,|Rumia|Wriggle|Mystia|,,
Cirno04,몸통박치기,taiatari,1,1650,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
Cirno04,냉동광선,icebeam,0,1950,2,4,15,-10,0,1,0,0,5,0,A,A,A,A,1,0,0,회피율15%다운,,,,ADD_STATE/PRY-/15
Cirno04,아이시클 폴,iciclefall,0,2050,3,5,10,20,0,0,0,15,0,0,A,A,B,A,0,0,0,,,,,
Cirno04,퍼펙트 프리즈,pfreeze,0,2600,2,5,25,35,0,0,0,0,30,110,A,A,B,A,0,0,0,,,,,
Cirno04,그레이트 크래셔,crasher,0,3100,2,4,10,40,0,1,0,4,0,130,A,A,B,A,0,0,1,,,,,
Cirno04,요정 동시공격,daichiru,0,2800,3,5,30,30,0,0,0,0,30,120,A,A,A,A,0,1,0,,,|Daiyosei|,,
Cirno04,바콰르텟 스페셜,baka,0,3700,2,4,15,20,0,1,0,0,35,130,A,A,A,A,0,1,1,,,|Rumia|Wriggle|Mystia|,,
Cirno04,파이널 바콰르텟 스페셜,fbaka,0,4400,1,3,25,20,0,1,0,2,0,140,A,A,A,A,0,1,1,,,|Rumia|Wriggle|Mystia|Daiyosei|,bgm_weapon_Cirno_Fbaka,
Cirno05,몸통박치기,taiatari,1,1650,1,2,30,35,0,1,1,0,0,0,A,A,B,A,0,0,0,,,,,
