BulID,SpellID,Rmin,Rmax,Shape,HP,Turns,Points,EXP,PP,Anime,Update,マップ,Slots,EF0,DEF0,PRY0,MOV0,EF1,DEF1,PRY1,MOV1,EF2,DEF2,PRY2,MOV2,EF3,DEF3,PRY3,MOV3,EF4,DEF4,PRY4,MOV4,EF5,DEF5,PRY5,MOV5,EF6,DEF6,PRY6,MOV6
Eiki_en04,,0,5,circle,0,0,25000,250,25,,0,0,1,RANGE-_ALL,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
EikiN_en01,,0,5,circle,0,0,25000,250,25,,0,0,1,,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
EikiN_en02,,0,5,circle,0,0,25000,250,25,,0,0,1,,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
EikiN_en03,,0,5,circle,0,0,25000,250,25,,0,0,1,,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Eirin_en01,,0,6,circle,0,0,8200,200,10,,0,0,1,,0,40,2,,,,,,,,,,,,,,,,,,,,,,,,
Eirin_en01,DEVICE,2,5,circle,26000,3,10000,200,10,device,1,0,1,PARAM-_EIRIN,10,40,1,,,,,,,,,,,,,,,,,,,,,,,,
Eirin_en01,MISSOU,2,5,circle,32000,3,12000,250,15,missou,1,0,3,HIT+_LUNA,30,30,2,NOENTER,20,20,0,NO_COMMAND_EIRIN,30,30,2,CRT+_ATK_EIRIN,30,30,2,,,,,,,,,,,,
Eirin_en02,,0,6,circle,0,0,8200,200,10,,0,0,1,,0,40,2,,,,,,,,,,,,,,,,,,,,,,,,
Eirin_en02,DEVICE,2,5,circle,26000,3,10000,200,10,device,1,0,1,PARAM-_EIRIN,10,40,1,,,,,,,,,,,,,,,,,,,,,,,,
Eirin_en02,MISSOU,2,5,circle,32000,3,12000,250,15,missou,1,0,3,HIT+_LUNA,30,30,2,NOENTER,20,20,0,NO_COMMAND_EIRIN,30,30,2,CRT+_ATK_EIRIN,30,30,2,,,,,,,,,,,,
Eirin_en03,,0,6,circle,0,0,8200,200,10,,0,0,1,HP+_EIRIN,0,40,2,,,,,,,,,,,,,,,,,,,,,,,,
EirinN_en01,,0,1,*bazooka,0,0,25000,250,25,,1,0,1,NO_COMMAND_EIRIN,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
EirinN_en02,,0,2,*bazooka,0,0,25000,250,25,,1,0,1,NO_COMMAND_EIRIN,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
EirinN_en03,,0,3,*bazooka,0,0,25000,250,25,,1,0,1,NO_COMMAND_EIRIN,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
EirinN_en04,,0,4,*bazooka,0,0,25000,250,25,,1,0,1,NO_COMMAND_EIRIN,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en01,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,NO_COMMAND_ALL,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en02,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,NO_COMMAND_ALL,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en03,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en04,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en05,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,NO_MOVE,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en06,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,NO_MOVE,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en07,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en08,,1,6,*floor,0,0,8000,200,10,spiral,0,0,1,,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en09,,3,5,circle,0,0,8000,200,10,spiral,0,0,1,NO_MOVE,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en10,,3,5,circle,0,0,8000,200,10,spiral,0,0,1,NO_MOVE,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Elliy_en11,,3,5,circle,0,0,8000,200,10,spiral,0,0,1,NO_MOVE,20,5,0.35,,,,,,,,,,,,,,,,,,,,,,,,
Evileye_en01,,2,6,square,0,0,1700,100,8,spiral,0,0,1,,0,20,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Evileye_en02,,2,6,square,0,0,1700,100,8,spiral,0,0,1,,0,20,0.8,,,,,,,,,,,,,,,,,,,,,,,,
Evileye_en03,,2,6,square,0,0,1700,100,8,spiral,0,0,1,,0,20,0.8,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeK_en01,,4,12,square,0,0,20000,200,15,spiral,0,0,1,HP-_EVILEYE,0,35,0.5,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeK_en02,,4,12,square,0,0,20000,200,15,spiral,0,0,1,HP-_EVILEYE,0,35,0.5,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeK2_en01,,6,12,square,0,0,2500,130,5,spiral,0,0,1,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeKN_en01,,1,6,square,0,0,40000,200,20,,0,0,1,HP-_EVILEYEKN,20,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeKN_en02,,1,6,square,0,0,40000,200,20,,0,0,1,HP-_EVILEYEKN,20,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeKN_en03,,1,6,square,0,0,40000,200,20,,0,0,1,HP-_EVILEYEKN,20,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeKN_en04,,1,6,square,0,0,40000,200,20,,0,0,1,HP-_EVILEYEKN,20,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeKN_en05,,1,6,square,0,0,40000,200,20,,0,0,1,HP-_EVILEYEKN,20,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeR_en01,,6,12,square,0,0,2500,130,5,spiral,0,0,1,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeR_en02,,6,12,square,0,0,2500,130,5,spiral,0,0,1,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeZ_en01,,1,6,cross,0,0,3000,150,5,,0,0,1,NOENTER,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
EvileyeZ_en02,,1,6,cross,0,0,3000,150,5,,0,0,1,NOENTER,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Faries_en01,,0,5,circle,0,0,10000,200,10,,0,0,4,HIDE_SUNNY,5,5,0.33,HIDE_SUNNY,5,5,0.33,HIT+_LUNA,5,5,0.33,PRY+_STAR,5,5,0.33,,,,,,,,,,,,
Faries_en02,,0,5,circle,0,0,10000,200,10,,0,0,4,HIDE_SUNNY,5,5,0.33,HIDE_SUNNY,5,5,0.33,HIT+_LUNA,5,5,0.33,PRY+_STAR,5,5,0.33,,,,,,,,,,,,
Flan_en01,,3,6,circle,0,0,8000,200,10,spiral,0,0,1,,5,40,1,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en01,LEVATEIN,2,5,circle,16000,4,15000,200,15,levatein,1,0,2,FDAM+_FLAN1,25,25,0.5,,40,40,5,,,,,,,,,,,,,,,,,,,,
Flan_en01,FOK,2,5,circle,19500,3,15000,200,15,FOK,1,0,1,FOK,0,30,1,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en01,TTWN,2,5,circle,10000,5,15000,200,15,*TTWN,1,1,1,,20,20,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en01,QED,2,5,circle,26000,5,50000,250,20,QED,1,0,2,SOKO_QED,20,20,1,RANGE-_BOMB,0,0,0,,,,,,,,,,,,,,,,,,,,
Flan_en02,,3,6,circle,0,0,8000,200,10,spiral,0,0,1,,5,40,1,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en02,LEVATEIN,2,5,circle,16000,4,15000,200,15,levatein,1,0,2,FDAM+_FLAN1,25,25,0.5,,40,40,5,,,,,,,,,,,,,,,,,,,,
Flan_en02,FOK,2,5,circle,19500,3,15000,200,15,FOK,1,0,1,FOK,0,30,1,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en02,TTWN,2,5,circle,10000,6,15000,200,15,*TTWN,1,1,1,,20,20,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en02,QED,2,5,circle,26000,5,50000,250,20,QED,1,0,2,SOKO_QED,20,20,1,RANGE-_BOMB,0,0,0,,,,,,,,,,,,,,,,,,,,
Flan_en03,,3,6,circle,0,0,8000,200,10,spiral,0,0,1,,5,40,1,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en03,LEVATEIN,2,5,circle,16000,4,15000,200,15,levatein,1,0,2,FDAM+_FLAN1,25,25,0.5,,40,40,5,,,,,,,,,,,,,,,,,,,,
Flan_en03,FOK,2,5,circle,19500,3,15000,200,15,FOK,1,0,1,FOK,0,30,1,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en03,TTWN,2,5,circle,10000,7,15000,200,15,*TTWN,1,1,1,,20,20,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en03,QED,2,5,circle,29000,5,50000,250,20,QED,1,0,2,SOKO_QED,20,20,1,RANGE-_BOMB,0,0,0,,,,,,,,,,,,,,,,,,,,
Flan_en04,,0,4,circle,0,0,8000,200,10,spiral,0,0,1,FDAM+_FLAN2,5,40,1,,,,,,,,,,,,,,,,,,,,,,,,
Flan_en04,KAKO,2,5,circle,32000,3,12500,200,10,tokei,1,0,2,NOENTER,0,0,1,HIT+_FLAN,30,10,2,,,,,,,,,,,,,,,,,,,,
Flan_en04,MEIRO,2,5,circle,49500,-1,0,0,0,FlaRemi,1,1,2,NOENTER,20,20,0.5,MOV-_ALL,35,35,0.4,,,,,,,,,,,,,,,,,,,,
FlanA_en01,,0,4,circle,0,0,8000,200,10,spiral,0,0,1,,5,40,1,,,,,,,,,,,,,,,,,,,,,,,,
FlanN_en06,,0,4,circle,0,0,8000,200,10,spiral,0,0,1,,5,40,1,,,,,,,,,,,,,,,,,,,,,,,,
FlanN_en01,,0,5,circle,0,0,25000,250,25,,0,0,1,FDAM+_FLAN2,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
FlanN_en02,,0,5,circle,0,0,25000,250,25,,0,0,1,FDAM+_FLAN2,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
FlanN_en03,,0,5,circle,0,0,25000,250,25,,0,0,1,FDAM+_FLAN2,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
FlanN_en04,,0,5,circle,0,0,25000,250,25,,0,0,1,FDAM+_FLAN2,10,10,0.2,,,,,,,,,,,,,,,,,,,,,,,,
FlanN_en05,,0,5,circle,0,0,0,0,0,,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
FlanN_en05,NIGHTMARE_B02,0,5,circle,30000,4,50000,300,30,FOK2,1,0,1,FHIT+_FLANN,0,30,1,,,,,,,,,,,,,,,,,,,,,,,,
GhostL_en01,,3,6,circle,0,0,4000,150,10,,0,0,1,,0,30,0.1,,,,,,,,,,,,,,,,,,,,,,,,
GhostLN_en01,,3,6,circle,0,0,12000,200,10,,0,0,1,,0,30,0.1,,,,,,,,,,,,,,,,,,,,,,,,
GhostS_en01,,1,4,circle,0,0,1500,100,5,spiral,0,0,1,,12,8,0.2,,,,,,,,,,,,,,,,,,,,,,,,
GhostSN_en01,,1,4,circle,0,0,6500,150,10,spiral,0,0,1,,12,8,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Goki_en01,,3,6,circle,0,0,8000,170,10,,0,0,1,,5,25,0.6,,,,,,,,,,,,,,,,,,,,,,,,
Goki_en02,,3,6,circle,0,0,8000,170,10,,0,0,1,,5,25,0.6,,,,,,,,,,,,,,,,,,,,,,,,
Goki_en03,,3,6,circle,0,0,8000,170,10,,0,0,1,,5,25,0.6,,,,,,,,,,,,,,,,,,,,,,,,
GokiN_en01,,3,6,circle,0,0,15000,180,10,,0,0,1,,5,25,0.6,,,,,,,,,,,,,,,,,,,,,,,,
Grimoire_en01,,1,12,canon,0,0,2500,140,10,spiral,0,0,1,,12,22,1.2,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoS_en01,,3,6,circle,0,0,4000,180,10,,0,0,1,MOV-_ALL,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoS_en02,,3,6,circle,0,0,4000,180,10,,0,0,1,MOV-_ALL,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoS_en03,,3,6,circle,0,0,4000,180,10,,0,0,1,MOV-_ALL,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoS_en04,,3,6,circle,0,0,4000,180,10,,0,0,1,MOV-_ALL,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoS2_en01,,3,6,circle,0,0,4000,180,10,,0,0,1,MOV-_ALL,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoS2_en02,,3,6,circle,0,0,4000,180,10,,0,0,1,MOV-_ALL,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoS2_en03,,3,6,circle,0,0,4000,180,10,,0,0,1,MOV-_ALL,5,25,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoSN_en01,,4,7,circle,0,0,10000,150,10,,0,0,1,RANGE-_ALL,0,40,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoSN_en02,,4,7,circle,0,0,10000,150,10,,0,0,1,RANGE-_ALL,0,40,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoT_en01,,1,3,circle,0,0,4000,180,10,,0,0,1,HIT+_GYOKUTO,25,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoT_en02,,1,3,circle,0,0,4000,180,10,,0,0,1,HIT+_GYOKUTO,25,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoT_en03,,1,3,circle,0,0,4000,180,10,,0,0,1,HIT+_GYOKUTO,25,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoT_en04,,1,3,circle,0,0,4000,180,10,,0,0,1,HIT+_GYOKUTO,25,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoT_en05,,1,3,circle,0,0,4000,180,10,,0,0,1,HIT+_GYOKUTO,25,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoT_en06,,1,3,circle,0,0,4000,180,10,,0,0,1,HIT+_GYOKUTO,25,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoT_en07,,1,3,circle,0,0,4000,180,10,,0,0,1,HIT+_GYOKUTO,25,5,0.5,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoTN_en01,,1,3,circle,0,0,10000,150,10,,0,0,1,MOV-_ALL,40,0,1,,,,,,,,,,,,,,,,,,,,,,,,
GyokutoTN_en02,,1,3,circle,0,0,10000,150,10,,0,0,1,MOV-_ALL,40,0,1,,,,,,,,,,,,,,,,,,,,,,,,
Hatate_en01,,0,5,circle,0,0,6000,180,10,,0,0,1,PRY+_HATATE,40,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Hatate_en02,,0,5,circle,0,0,6000,180,10,,0,0,1,PRY+_HATATE,40,10,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Hina_en01,,1,5,circle,0,0,4500,140,10,doll,0,0,1,,20,20,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Hina_en01,PFLOW,1,7,circle,16000,3,8500,175,10,pflow,0,0,1,CRT+_PFLOW2,10,35,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Hina_en02,,1,5,circle,0,0,8000,200,10,,0,0,1,CRT+_PFLOW2,20,20,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Hina_en03,,1,5,circle,0,0,8000,200,10,,0,0,1,CRT+_PFLOW2,20,20,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Hourai_en01,,1,4,circle,0,0,300,50,5,,0,0,1,,5,10,0.25,,,,,,,,,,,,,,,,,,,,,,,,
HTengu_en01,,1,4,square,0,0,3000,160,10,,0,0,1,,16,16,0.7,,,,,,,,,,,,,,,,,,,,,,,,
HTengu_en02,,1,4,square,0,0,3000,160,10,,0,0,1,,16,16,0.7,,,,,,,,,,,,,,,,,,,,,,,,
HTengu_en03,,1,4,square,0,0,4000,160,10,,0,0,1,,20,20,0.7,,,,,,,,,,,,,,,,,,,,,,,,
HTengu_en04,,1,4,square,0,0,4000,160,10,,0,0,1,,20,20,0.7,,,,,,,,,,,,,,,,,,,,,,,,
HTenguB_en01,,1,5,square,0,0,3500,170,15,,0,0,1,,20,20,1,,,,,,,,,,,,,,,,,,,,,,,,
HTenguB_en02,,1,5,square,0,0,3500,170,15,,0,0,1,,20,20,1,,,,,,,,,,,,,,,,,,,,,,,,
HTenguN_en01,,0,5,square,0,0,10000,150,10,,0,0,1,,30,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
HTenguN_en02,,0,5,square,0,0,10000,150,10,,0,0,1,PROB+_SHIELD_HTENGUN,30,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
HYousei_en01,,4,7,hcircle,0,0,3800,125,10,,0,0,1,,15,20,0.5,,,,,,,,,,,,,,,,,,,,,,,,
