CharDataID	CharName	Face	ATP	MGR	CRT	DEF	PRY	HIT	SP	気質	Type	SpID1	SpID2	SpID3	SpID4	SpID5	SpID6	L1	L2	L3	L4	L5	L6	SP1	SP2	SP3	SP4	SP5	SP6	備考
Chen01	橙	Chen0a	137	125	158	81	172	159	41	ACTIVE	ATP_PRY	KASOKU	DORYOKU	SHUCHU	HIRAMEKI	KIAI	KISHU	1	10	14	18	26	47	10	20	20	15	30	60	
Cirno_en01	チルノ	Cirno0a	112	140	145	85	167	168	45	BRAVE	MGR_PRY	FUKUTSU	HICCHU	DOKONJO	NEKKETSU	YUJO	YUKI	1	1	8	25	38	60	15	20	20	40	40	80	
Cirno_en02	チルノ	Cirno0a	112	140	145	85	167	168	45	BRAVE	MGR_PRY	FUKUTSU	HICCHU	DOKONJO	NEKKETSU	YUJO	YUKI	1	1	8	25	38	60	15	20	20	40	40	80	C56 Lunatic
Cirno01	チルノ	Cirno0a	112	140	145	85	167	168	45	BRAVE	MGR_PRY	FUKUTSU	HICCHU	DOKONJO	NEKKETSU	YUJO	YUKI	1	1	8	25	38	60	15	20	20	40	40	80	
Cirno02	チルノ	Cirno0a	112	140	145	85	167	168	45	BRAVE	MGR_PRY	FUKUTSU	HICCHU	DOKONJO	NEKKETSU	YUJO	YUKI	1	1	8	25	38	60	15	20	20	40	40	80	C25～
Cirno03	チルノ	Cirno0a	112	140	145	85	167	168	45	BRAVE	MGR_PRY	FUKUTSU	HICCHU	DOKONJO	NEKKETSU	YUJO	YUKI	1	1	8	25	38	60	15	20	20	40	40	80	C35～
Cirno04	チルノ	Cirno0a	112	140	145	85	167	168	45	BRAVE	MGR_PRY	FUKUTSU	HICCHU	DOKONJO	NEKKETSU	YUJO	YUKI	1	1	8	25	38	60	15	20	20	40	40	80	C58～
Daiyosei_en01	大요정	Daiyosei0a	110	130	162	95	165	160	50	PASSIVE	SP_PRY	SHINRAI	OEN	HIRAMEKI	SHUKUFUKU	YUJO	INORI	1	11	18	26	38	55	5	30	10	10	20	40	
Daiyosei01	大요정	Daiyosei0a	110	130	162	95	165	160	50	PASSIVE	SP_PRY	SHINRAI	OEN	HIRAMEKI	SHUKUFUKU	YUJO	INORI	1	11	18	26	38	55	15	30	15	50	40	40	
Daiyosei02	大요정	Daiyosei0a	110	130	162	95	165	160	50	PASSIVE	SP_PRY	SHINRAI	OEN	HIRAMEKI	SHUKUFUKU	YUJO	INORI	1	11	18	26	38	55	15	30	15	50	40	40	C35～
DreamA_en01	夢ノ光	DreamA0a	130	130	165	90	152	162	50	ACTIVE	MGR_DEF	KONJO	TEPPEKI	SOGEKI	SHUCHU	BLANK	BLANK	1	1	1	1	1	1	10	10	10	10	0	0	
DreamB_en01	夢ノ光	DreamB0a	130	130	165	90	152	162	50	ACTIVE	MGR_DEF	KONJO	TEPPEKI	KASOKU	HICCHU	BLANK	BLANK	1	1	1	1	1	1	10	10	10	10	0	0	
DreamB_en02	夢ノ光	DreamB0a	130	130	165	90	152	162	50	ACTIVE	MGR_DEF	KONJO	TEPPEKI	KASOKU	HICCHU	BLANK	BLANK	1	1	1	1	1	1	10	10	10	10	0	0	Lunatic
Eiki_en01	映姫	Eiki0a	136	149	183	95	171	174	49	BOSS	MGR_PRY	CHOKKAN	FUKUTSU	SHUCHU	GEKIDO	CHOKUGEKI	NEKKETSU	1	5	11	20	32	45	10	10	10	10	15	10	
Eiki_en02	映姫	Eiki0a	136	149	183	95	171	174	49	BOSS	MGR_PRY	CHOKKAN	FUKUTSU	SHUCHU	GEKIDO	CHOKUGEKI	NEKKETSU	1	5	11	20	32	45	10	10	10	10	15	10	Hard
Eiki_en03	映姫	Eiki0a	136	149	183	95	171	174	49	BOSS	MGR_PRY	CHOKKAN	FUKUTSU	SHUCHU	GEKIDO	CHOKUGEKI	NEKKETSU	1	5	11	20	32	45	10	10	10	10	15	10	Lunatic
Eiki01	映姫	Eiki0a	136	149	183	95	171	174	49	BRAVE	MGR_PRY	CHOKKAN	FUKUTSU	SHUCHU	GEKIDO	CHOKUGEKI	NEKKETSU	1	5	11	20	32	45	25	15	15	70	20	40	
EikiN_en01	悪夢	EikiN0a	136	149	183	95	171	174	49	BRAVE	MGR_PRY	CHOKKAN	FUKUTSU	SHUCHU	GEKIDO	CHOKUGEKI	NEKKETSU	1	5	11	20	32	45	10	10	10	10	15	10	
EikiN_en02	悪夢	EikiN0a	136	149	183	95	171	174	49	BRAVE	MGR_PRY	CHOKKAN	FUKUTSU	SHUCHU	GEKIDO	CHOKUGEKI	NEKKETSU	1	5	11	20	32	45	10	10	10	10	15	10	Hard
EikiN_en03	悪夢	EikiN0a	136	149	183	95	171	174	49	BRAVE	MGR_PRY	CHOKKAN	FUKUTSU	SHUCHU	GEKIDO	CHOKUGEKI	NEKKETSU	1	5	11	20	32	45	10	10	10	10	15	10	Lunatic
Eirin_en01	永琳	Eirin0a	120	141	190	100	135	182	48	BOSS	MGR_DEF	HICCHU	TEKAGEN	TEPPEKI	SOGEKI	HOKYU	FUKKATSU	1	1	11	18	40	65	10	5	15	10	20	100	
Eirin01	永琳	Eirin0a	120	141	190	100	135	182	48	COOL	MGR_DEF	HICCHU	TEKAGEN	TEPPEKI	SOGEKI	HOKYU	FUKKATSU	1	1	11	18	40	65	20	5	25	20	65	100	
EirinN_en01	悪夢	EirinN0a	120	141	190	100	135	182	48	BRAVE	MGR_DEF	HICCHU	TEKAGEN	TEPPEKI	SOGEKI	HOKYU	FUKKATSU	1	1	11	18	40	65	10	5	15	5	10	20	
EirinN_en02	悪夢	EirinN0a	120	141	190	100	135	182	48	BRAVE	MGR_DEF	HICCHU	TEKAGEN	TEPPEKI	SOGEKI	HOKYU	FUKKATSU	1	1	11	18	40	65	10	5	15	5	10	20	Hard
EirinN_en03	悪夢	EirinN0a	120	141	190	100	135	182	48	BRAVE	MGR_DEF	HICCHU	TEKAGEN	TEPPEKI	SOGEKI	HOKYU	FUKKATSU	1	1	11	18	40	65	10	5	15	5	10	20	Lunatic
Elliy_en01	エリー	Elliy0a	139	127	165	103	168	166	49	ACTIVE	ATP_DEF	KONJO	HICCHU	KASOKU	FUKUTSU	CHOKUGEKI	NEKKETSU	1	6	14	25	33	46	20	20	15	15	20	40	ブロッキングなし
Elliy_en02	エリー	Elliy0a	139	127	165	103	168	166	49	ACTIVE	ATP_DEF	KONJO	HICCHU	KASOKU	FUKUTSU	CHOKUGEKI	NEKKETSU	1	6	14	25	33	46	20	20	15	15	20	40	ブロッキングあり
Elliy01	エリー	Elliy0a	139	127	165	103	168	166	49	ACTIVE	ATP_DEF	KONJO	HICCHU	KASOKU	FUKUTSU	CHOKUGEKI	NEKKETSU	1	6	14	25	33	46	20	20	15	15	20	40	
Evileye_en01	イビルアイ	Evileye0a	129	133	160	85	135	147	60	ACTIVE	MGR_DEF	HIRAMEKI	SHUCHU	HICCHU	BLANK	BLANK	BLANK	1	10	30	30	30	30	5	10	10	0	0	0	
Evileye_en02	イビルアイ	Evileye0a	129	133	160	85	135	147	60	ACTIVE	MGR_DEF	HIRAMEKI	SHUCHU	HICCHU	BLANK	BLANK	BLANK	1	10	30	30	30	30	5	10	10	0	0	0	Lunatic
EvileyeK_en01	キングイビルアイ	EvileyeK0a	138	139	170	110	120	158	100	BRAVE	MGR_DEF	HICCHU	TEPPEKI	DOKONJO	GEKITO	DATSURYOKU	YUJO	1	1	1	1	1	1	10	10	10	10	5	20	
EvileyeK_en02	キングイビルアイ	EvileyeK0a	138	139	170	110	120	158	100	BRAVE	MGR_DEF	HICCHU	TEPPEKI	DOKONJO	GEKITO	DATSURYOKU	YUJO	1	1	1	1	1	1	10	10	10	10	5	20	Lunatic
EvileyeK2_en01	Kイビルアイ	EvileyeK20a	138	139	170	110	120	158	60	BRAVE	MGR_DEF	HICCHU	CHOKUGEKI	DOKONJO	GEKITO	DATSURYOKU	TEPPEKI	1	1	1	1	1	1	10	15	10	10	5	10	
EvileyeKN_en01	悪夢	EvileyeKN0a	138	139	170	110	120	158	100	ACTIVE	MGR_DEF	SAIDO	HICCHU	TEPPEKI	KONJO	BLANK	BLANK	1	1	1	1	1	1	20	10	10	10	0	0	Easy
EvileyeKN_en02	悪夢	EvileyeKN0a	138	139	170	110	120	158	100	ACTIVE	MGR_DEF	SAIDO	HICCHU	TEPPEKI	KONJO	BLANK	BLANK	1	1	1	1	1	1	20	10	10	10	0	0	Normal
EvileyeKN_en03	悪夢	EvileyeKN0a	138	139	170	110	120	158	100	ACTIVE	MGR_DEF	SAIDO	HICCHU	TEPPEKI	KONJO	BLANK	BLANK	1	1	1	1	1	1	20	10	10	10	0	0	Hard
EvileyeKN_en04	悪夢	EvileyeKN0a	138	139	170	110	120	158	100	ACTIVE	MGR_DEF	SAIDO	HICCHU	TEPPEKI	KONJO	BLANK	BLANK	1	1	1	1	1	1	20	10	10	10	0	0	Lunatic
EvileyeR_en01	イビルアイR	EvileyeR0a	128	134	168	80	145	147	60	ACTIVE	MGR_DEF	HICCHU	TEPPEKI	KONJO	BLANK	BLANK	BLANK	1	1	1	1	1	1	10	10	15	0	0	0	
EvileyeR_en02	イビルアイR	EvileyeR0a	128	134	168	80	145	147	60	ACTIVE	MGR_DEF	HICCHU	TEPPEKI	KONJO	BLANK	BLANK	BLANK	1	1	1	1	1	1	10	10	15	0	0	0	Lunatic
EvileyeZ_en01	イビルアイZ	EvileyeZ0a	120	139	164	90	149	160	60	ACTIVE	MGR_DEF	SHUCHU	TEPPEKI	KASOKU	NEKKETSU	BLANK	BLANK	1	1	1	1	1	1	10	10	10	10	0	0	
EvileyeZ_en02	イビルアイZ	EvileyeZ0a	120	139	164	90	149	160	60	ACTIVE	MGR_DEF	SHUCHU	TEPPEKI	KASOKU	NEKKETSU	BLANK	BLANK	1	1	1	1	1	1	10	10	10	10	0	0	Lunatic
Flan_en01	フラン	Flan0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	CHOKUGEKI	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	8	20	35	47	52	15	10	25	20	30	20	
Flan01	フラン	Flan0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	CHOKUGEKI	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	8	15	35	47	52	15	20	25	50	50	45	
Flan02	フラン	Flan0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	CHOKUGEKI	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	8	15	35	47	52	15	20	25	50	50	45	M13,S03
FlanA_en01	フラン	Flan0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	SHUCHU	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	20	20	35	47	52	10	10	10	10	15	10	
FlanN_en01	悪夢	FlanN0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	CHOKUGEKI	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	8	15	35	47	52	10	10	10	10	15	10	Easy
FlanN_en02	悪夢	FlanN0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	CHOKUGEKI	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	8	15	35	47	52	10	10	10	10	15	10	Normal
FlanN_en03	悪夢	FlanN0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	CHOKUGEKI	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	8	15	35	47	52	10	10	10	10	15	10	Hard
FlanN_en04	悪夢	FlanN0a	160	145	158	103	168	167	45	BRAVE	ATP_PRY	CHOKUGEKI	HICCHU	TEPPEKI	KIHAKU	GEKITO	NEKKETSU	1	8	15	35	47	52	10	10	10	10	15	10	Lunatic
GhostL_en01	幽霊	GhostL0a	100	135	167	94	122	141	60	ACTIVE	MGR_DEF	KONJO	TEPPEKI	BLANK	BLANK	BLANK	BLANK	1	1	1	1	1	1	20	20	0	0	0	0	
GhostS_en01	幽霊S	GhostS0a	100	125	164	85	145	161	55	COOL	MGR_DEF	KONJO	BLANK	BLANK	BLANK	BLANK	BLANK	1	1	1	1	1	1	20	0	0	0	0	0	
Goki_en01	後鬼	Goki0a	130	135	170	100	140	145	50	ACTIVE	MGR_DEF	TEPPEKI	CHOKUGEKI	KASOKU	SHUCHU	BLANK	BLANK	1	8	18	25	25	25	25	20	15	20	0	0	
Goki01	後鬼	Goki0a	130	135	170	100	140	145	50	COOL	MGR_DEF	TEPPEKI	KONJO	HICCHU	SOGEKI	KAISHIN	BLANK	1	8	18	25	40	1	25	20	20	25	40	0	
GokiN_en01	悪夢	GokiN0a	130	135	170	100	140	145	50	ACTIVE	MGR_DEF	TEPPEKI	KONJO	HICCHU	SOGEKI	KAISHIN	SAIDO	1	8	18	25	40	60	15	20	15	10	10	30	
Grimoire_en01	グリモワール	Grimoire0a	90	132	162	96	110	152	30	COOL	ALL_MGR	SOGEKI	BLANK	BLANK	BLANK	BLANK	BLANK	1	1	1	1	1	1	25	0	0	0	0	0	
GyokutoS_en01	玉兎	GyokutoS0a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	ブロッキングなし
GyokutoS_en02	玉兎	GyokutoS0a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	ブロッキングあり
GyokutoS_en03	玉兎	GyokutoS0a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	C49,OST02,03　ブロッキングなし
GyokutoS_en04	玉兎	GyokutoS0a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	C49,OST02,03　ブロッキングあり
GyokutoS2_en01	玉兎	GyokutoS20a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	Easy
GyokutoS2_en02	玉兎	GyokutoS20a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	ブロッキングなし
GyokutoS2_en03	玉兎	GyokutoS20a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	ブロッキングあり
GyokutoSN_en01	悪夢	GyokutoSN0a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	ブロッキングなし
GyokutoSN_en02	悪夢	GyokutoSN0a	122	134	168	94	150	160	45	ACTIVE	MGR_PRY	SOGEKI	SHUCHU	KONJO	OEN	HICCHU	KITAI	1	8	16	20	30	40	10	15	20	15	20	20	ブロッキングあり
GyokutoT_en01	玉兎	GyokutoT0a	132	127	167	90	155	153	45	ACTIVE	ATP_PRY	TOTSUGEKI	HICCHU	KONJO	OEN	NEKKETSU	SHINRAI	1	8	16	20	30	40	10	20	20	15	15	15	ブロッキングなし
GyokutoT_en02	玉兎	GyokutoT0a	132	127	167	90	155	153	45	ACTIVE	ATP_PRY	TOTSUGEKI	HICCHU	KONJO	OEN	NEKKETSU	SHINRAI	1	8	16	20	30	40	10	20	20	15	15	15	ブロッキングあり
GyokutoT_en03	玉兎	GyokutoT0a	132	127	167	90	155	153	45	ACTIVE	ATP_PRY	TOTSUGEKI	HICCHU	KONJO	OEN	NEKKETSU	SHINRAI	1	8	16	20	30	40	10	20	20	15	15	15	C49,OST02,03ブロッキングなし
GyokutoT_en04	玉兎	GyokutoT0a	132	127	167	90	155	153	45	ACTIVE	ATP_PRY	TOTSUGEKI	HICCHU	KONJO	OEN	NEKKETSU	SHINRAI	1	8	16	20	30	40	10	20	20	15	15	15	C49,OST02,03ブロッキングあり
GyokutoTN_en01	悪夢	GyokutoTN0a	132	127	167	90	155	153	45	ACTIVE	ATP_PRY	TOTSUGEKI	HICCHU	KONJO	OEN	NEKKETSU	SHINRAI	1	8	16	20	30	40	10	20	20	15	15	15	ブロッキングなし
GyokutoTN_en02	悪夢	GyokutoTN0a	132	127	167	90	155	153	45	ACTIVE	ATP_PRY	TOTSUGEKI	HICCHU	KONJO	OEN	NEKKETSU	SHINRAI	1	8	16	20	30	40	10	20	20	15	15	15	ブロッキングあり
Hatate_en01	はたて	Hatate0a	124	135	178	81	182	170	50	ACTIVE	MGR_PRY	TEISATSU	TOTSUGEKI	HIRAMEKI	SOGEKI	SHUCHU	NEKKETSU	1	1	8	17	25	47	15	20	15	15	20	20	
Hatate01	はたて	Hatate0a	124	135	178	81	182	170	50	ACTIVE	MGR_PRY	TEISATSU	TOTSUGEKI	HIRAMEKI	SOGEKI	SHUCHU	NEKKETSU	1	1	8	17	25	47	15	20	15	20	20	40	
Hina_en01	雛	Hina0a	130	130	170	87	165	169	46	ACTIVE	ALL_MGR	CHOKKAN	KASOKU	KENSHIN	TOTSUGEKI	KAISHIN	SUTEMI	1	8	12	22	31	50	15	15	20	20	20	60	
Hina01	雛	Hina0a	130	130	170	87	165	169	46	COOL	ALL_MGR	CHOKKAN	KASOKU	KENSHIN	TOTSUGEKI	KAISHIN	SUTEMI	1	8	12	22	31	50	25	15	30	25	30	60	
Hina02	雛	Hina0a	130	130	170	87	165	169	46	COOL	ALL_MGR	CHOKKAN	KASOKU	KENSHIN	TOTSUGEKI	KAISHIN	SUTEMI	1	8	12	22	31	50	25	15	30	25	30	60	C35～
Hourai_en01	蓬莱	Hourai0a	120	98	140	84	145	145	30	ACTIVE	SP_CRUE	BLANK	BLANK	BLANK	BLANK	BLANK	BLANK	1	1	1	1	1	1	0	0	0	0	0	0	
Hourai01	蓬莱	Hourai0a	120	98	140	84	145	145	30	COOL	SP_CRUE	BLANK	BLANK	BLANK	BLANK	BLANK	BLANK	1	1	1	1	1	1	0	0	0	0	0	0	
HTengu_en01	白狼天狗	HTengu0a	135	130	169	99	121	152	45	ACTIVE	ATP_DEF	TEISATSU	KONJO	HICCHU	TEPPEKI	NEKKETSU	CHOKUGEKI	1	1	8	16	40	40	15	20	15	20	30	15	ブロッキングなし
HTengu_en02	白狼天狗	HTengu0a	135	130	169	99	121	152	45	ACTIVE	ATP_DEF	TEISATSU	KONJO	HICCHU	TEPPEKI	NEKKETSU	CHOKUGEKI	1	1	8	16	40	40	15	20	15	20	30	15	ブロッキングあり
HTenguB_en01	白狼天狗B	HTenguB0a	137	132	174	99	115	155	45	ACTIVE	ALL_ATP	KONJO	SHUCHU	TEPPEKI	NEKKETSU	HICCHU	YUJO	1	1	8	16	40	40	20	20	30	45	25	70	ブロッキングなし
HTenguB_en02	白狼天狗B	HTenguB0a	137	132	174	99	115	155	45	ACTIVE	ALL_ATP	KONJO	SHUCHU	TEPPEKI	NEKKETSU	HICCHU	YUJO	1	1	8	16	40	40	20	20	30	45	25	70	ブロッキングあり
HTenguN_en01	悪夢	HTenguN0a	135	130	169	99	121	152	45	ACTIVE	ATP_DEF	TEISATSU	KONJO	HICCHU	TEPPEKI	NEKKETSU	CHOKUGEKI	1	1	8	16	40	40	15	20	15	20	20	15	ブロッキングなし
HTenguN_en02	悪夢	HTenguN0a	135	130	169	99	121	152	45	ACTIVE	ATP_DEF	TEISATSU	KONJO	HICCHU	TEPPEKI	NEKKETSU	CHOKUGEKI	1	1	8	16	40	40	15	20	15	20	20	15	ブロッキングあり
HYousei_en01	H요정	HYousei0a	110	136	165	88	147	150	40	ACTIVE	ALL_MGR	HICCHU	SOGEKI	SHUCHU	KAISHIN	TOTSUGEKI	BLANK	1	10	20	30	40	40	10	10	10	10	10	0	Easy
