CharDataID,CharName,Face,ATP,MGR,CRT,DEF,PRY,HIT,SP,気質,Type,SpID1,SpID2,SpID3,SpID4,SpID5,SpID6,L1,L2,L3,L4,L5,L6,SP1,SP2,SP3,SP4,SP5,SP6
Eirin01,에이린,Eirin0a,120,141,190,100,135,182,48,COOL,MGR_DEF,HICCHU,TEKAGEN,TEPPEKI,SOGEKI,HOKYU,FUKKATSU,1,1,11,18,40,65,20,5,25,20,65,100
EirinN_en01,악몽,EirinN0a,120,141,190,100,135,182,48,BRAVE,MGR_DEF,HICCHU,TEKAGEN,TEPPEKI,SOGEKI,HOKYU,FUKKATSU,1,1,11,18,40,65,10,5,15,5,10,20
EirinN_en02,악몽,EirinN0a,120,141,190,100,135,182,48,BRAVE,MGR_DEF,HICCHU,TEKAGEN,TEPPEKI,SOGEKI,HOKYU,FUKKATSU,1,1,11,18,40,65,10,5,15,5,10,20
EirinN_en03,악몽,EirinN0a,120,141,190,100,135,182,48,BRAVE,MGR_DEF,HICCHU,TEKAGEN,TEPPEKI,SOGEKI,HOKYU,FUKKATSU,1,1,11,18,40,65,10,5,15,5,10,20
Elliy_en01,엘리,Elliy0a,139,127,165,103,168,166,49,ACTIVE,ATP_DEF,KONJO,HICCHU,KASOKU,FUKUTSU,CHOKUGEKI,NEKKETSU,1,6,14,25,33,46,20,20,15,15,20,40
Elliy_en02,엘리,Elliy0a,139,127,165,103,168,166,49,ACTIVE,ATP_DEF,KONJO,HICCHU,KASOKU,FUKUTSU,CHOKUGEKI,NEKKETSU,1,6,14,25,33,46,20,20,15,15,20,40
Elliy01,엘리,Elliy0a,139,127,165,103,168,166,49,ACTIVE,ATP_DEF,KONJO,HICCHU,KASOKU,FUKUTSU,CHOKUGEKI,NEKKETSU,1,6,14,25,33,46,20,20,15,15,20,40
Evileye_en01,이블아이,Evileye0a,129,133,160,85,135,147,60,ACTIVE,MGR_DEF,HIRAMEKI,SHUCHU,HICCHU,NA,NA,NA,1,10,30,30,30,30,5,10,10,0,0,0
Evileye_en02,이블아이,Evileye0a,129,133,160,85,135,147,60,ACTIVE,MGR_DEF,HIRAMEKI,SHUCHU,HICCHU,NA,NA,NA,1,10,30,30,30,30,5,10,10,0,0,0
EvileyeK_en01,킹이블아이,EvileyeK0a,138,139,170,110,120,158,100,BRAVE,MGR_DEF,HICCHU,TEPPEKI,DOKONJO,GEKITO,DATSURYOKU,YUJO,1,1,1,1,1,1,10,10,10,10,5,20
EvileyeK_en02,킹이블아이,EvileyeK0a,138,139,170,110,120,158,100,BRAVE,MGR_DEF,HICCHU,TEPPEKI,DOKONJO,GEKITO,DATSURYOKU,YUJO,1,1,1,1,1,1,10,10,10,10,5,20
EvileyeK2_en01,K이블아이,EvileyeK20a,138,139,170,110,120,158,60,BRAVE,MGR_DEF,HICCHU,CHOKUGEKI,DOKONJO,GEKITO,DATSURYOKU,TEPPEKI,1,1,1,1,1,1,10,15,10,10,5,10
EvileyeKN_en01,악몽,EvileyeKN0a,138,139,170,110,120,158,100,ACTIVE,MGR_DEF,SAIDO,HICCHU,TEPPEKI,KONJO,NA,NA,1,1,1,1,1,1,20,10,10,10,0,0
EvileyeKN_en02,악몽,EvileyeKN0a,138,139,170,110,120,158,100,ACTIVE,MGR_DEF,SAIDO,HICCHU,TEPPEKI,KONJO,NA,NA,1,1,1,1,1,1,20,10,10,10,0,0
EvileyeKN_en03,악몽,EvileyeKN0a,138,139,170,110,120,158,100,ACTIVE,MGR_DEF,SAIDO,HICCHU,TEPPEKI,KONJO,NA,NA,1,1,1,1,1,1,20,10,10,10,0,0
EvileyeKN_en04,악몽,EvileyeKN0a,138,139,170,110,120,158,100,ACTIVE,MGR_DEF,SAIDO,HICCHU,TEPPEKI,KONJO,NA,NA,1,1,1,1,1,1,20,10,10,10,0,0
EvileyeKN_en05,악몽,EvileyeKN0a,138,139,170,110,120,158,100,ACTIVE,MGR_DEF,SAIDO,HICCHU,TEPPEKI,KONJO,NA,NA,1,1,1,1,1,1,20,10,10,10,0,0
EvileyeR_en01,이블아이R,EvileyeR0a,128,134,168,80,145,147,60,ACTIVE,MGR_DEF,HICCHU,TEPPEKI,KONJO,NA,NA,NA,1,1,1,1,1,1,10,10,15,0,0,0
EvileyeR_en02,이블아이R,EvileyeR0a,128,134,168,80,145,147,60,ACTIVE,MGR_DEF,HICCHU,TEPPEKI,KONJO,NA,NA,NA,1,1,1,1,1,1,10,10,15,0,0,0
EvileyeZ_en01,이블아이Z,EvileyeZ0a,120,139,164,90,149,160,60,ACTIVE,MGR_DEF,SHUCHU,TEPPEKI,KASOKU,NEKKETSU,NA,NA,1,1,1,1,1,1,10,10,10,10,0,0
EvileyeZ_en02,이블아이Z,EvileyeZ0a,120,139,164,90,149,160,60,ACTIVE,MGR_DEF,SHUCHU,TEPPEKI,KASOKU,NEKKETSU,NA,NA,1,1,1,1,1,1,10,10,10,10,0,0
Flan_en01,플랑,Flan0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,8,20,35,47,52,15,10,25,20,30,20
Flan01,플랑,Flan0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,8,15,35,47,52,15,20,25,50,50,45
Flan02,플랑,Flan0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,8,15,35,47,52,15,20,25,50,50,45
FlanA_en01,플랑,Flan0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,SHUCHU,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,20,20,35,47,52,10,10,10,10,15,10
FlanN_en01,악몽,FlanN0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,8,15,35,47,52,10,10,10,10,15,10
FlanN_en02,악몽,FlanN0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,8,15,35,47,52,10,10,10,10,15,10
FlanN_en03,악몽,FlanN0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,8,15,35,47,52,10,10,10,10,15,10
FlanN_en04,악몽,FlanN0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,8,15,35,47,52,10,10,10,10,15,10
FlanN_en05,악몽,FlanN0a,160,145,158,103,168,167,45,BRAVE,ATP_PRY,CHOKUGEKI,HICCHU,TEPPEKI,KIHAKU,GEKITO,NEKKETSU,1,1,1,1,1,1,10,10,10,10,15,10
GhostL_en01,유령,GhostL0a,100,135,167,94,122,141,60,ACTIVE,MGR_DEF,KONJO,TEPPEKI,NA,NA,NA,NA,1,1,1,1,1,1,20,20,0,0,0,0
GhostLN_en01,저승의 불꽃,GhostLN0a,100,140,175,100,122,150,60,ACTIVE,MGR_DEF,KONJO,TEPPEKI,HICCHU,TOTSUGEKI,NA,NA,1,1,1,1,1,1,20,20,20,20,0,0
GhostS_en01,유령S,GhostS0a,100,125,164,85,145,161,55,COOL,MGR_DEF,KONJO,NA,NA,NA,NA,NA,1,1,1,1,1,1,20,0,0,0,0,0
GhostSN_en01,어둠의 등불,GhostSN0a,100,125,170,90,155,170,55,ACTIVE,MGR_DEF,KONJO,SHUCHU,HIRAMEKI,NA,NA,NA,1,1,1,1,1,1,20,10,10,0,0,0
Goki_en01,고키,Goki0a,130,135,170,100,140,145,50,ACTIVE,MGR_DEF,TEPPEKI,CHOKUGEKI,KASOKU,SHUCHU,NA,NA,1,8,18,25,25,25,25,20,15,20,0,0
Goki01,고키,Goki0a,130,135,170,100,140,145,50,COOL,MGR_DEF,TEPPEKI,KONJO,HICCHU,SOGEKI,KAISHIN,NA,1,8,18,25,40,1,25,20,20,25,40,0
GokiN_en01,악몽,GokiN0a,130,135,170,100,140,145,50,ACTIVE,MGR_DEF,TEPPEKI,KONJO,HICCHU,SOGEKI,KAISHIN,SAIDO,1,8,18,25,40,60,15,20,15,10,10,30
Grimoire_en01,그리모어,Grimoire0a,90,132,162,96,110,152,30,COOL,ALL_MGR,SOGEKI,NA,NA,NA,NA,NA,1,1,1,1,1,1,25,0,0,0,0,0
GyokutoS_en01,달토끼,GyokutoS0a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoS_en02,달토끼,GyokutoS0a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoS_en03,달토끼,GyokutoS0a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoS_en04,달토끼,GyokutoS0a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoS2_en01,달토끼,GyokutoS20a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoS2_en02,달토끼,GyokutoS20a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoS2_en03,달토끼,GyokutoS20a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoSN_en01,악몽,GyokutoSN0a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoSN_en02,악몽,GyokutoSN0a,122,134,168,94,150,160,45,ACTIVE,MGR_PRY,SOGEKI,SHUCHU,KONJO,OEN,HICCHU,KITAI,1,8,16,20,30,40,10,15,20,15,20,20
GyokutoT_en01,달토끼,GyokutoT0a,132,127,167,90,155,153,45,ACTIVE,ATP_PRY,TOTSUGEKI,HICCHU,KONJO,OEN,NEKKETSU,SHINRAI,1,8,16,20,30,40,10,20,20,15,15,15
GyokutoT_en02,달토끼,GyokutoT0a,132,127,167,90,155,153,45,ACTIVE,ATP_PRY,TOTSUGEKI,HICCHU,KONJO,OEN,NEKKETSU,SHINRAI,1,8,16,20,30,40,10,20,20,15,15,15
GyokutoT_en03,달토끼,GyokutoT0a,132,127,167,90,155,153,45,ACTIVE,ATP_PRY,TOTSUGEKI,HICCHU,KONJO,OEN,NEKKETSU,SHINRAI,1,8,16,20,30,40,10,20,20,15,15,15
GyokutoT_en04,달토끼,GyokutoT0a,132,127,167,90,155,153,45,ACTIVE,ATP_PRY,TOTSUGEKI,HICCHU,KONJO,OEN,NEKKETSU,SHINRAI,1,8,16,20,30,40,10,20,20,15,15,15
GyokutoTN_en01,악몽,GyokutoTN0a,132,127,167,90,155,153,45,ACTIVE,ATP_PRY,TOTSUGEKI,HICCHU,KONJO,OEN,NEKKETSU,SHINRAI,1,8,16,20,30,40,10,20,20,15,15,15
GyokutoTN_en02,악몽,GyokutoTN0a,132,127,167,90,155,153,45,ACTIVE,ATP_PRY,TOTSUGEKI,HICCHU,KONJO,OEN,NEKKETSU,SHINRAI,1,8,16,20,30,40,10,20,20,15,15,15
Hatate_en01,하타테,Hatate0a,124,135,178,81,182,170,50,ACTIVE,MGR_PRY,TEISATSU,TOTSUGEKI,HIRAMEKI,SOGEKI,SHUCHU,NEKKETSU,1,1,8,17,25,47,15,20,15,15,20,20
Hatate01,하타테,Hatate0a,124,135,178,81,182,170,50,ACTIVE,MGR_PRY,TEISATSU,TOTSUGEKI,HIRAMEKI,SOGEKI,SHUCHU,NEKKETSU,1,1,8,17,25,47,15,20,15,20,20,40
Hina_en01,히나,Hina0a,130,130,170,87,165,169,46,ACTIVE,ALL_MGR,CHOKKAN,KASOKU,KENSHIN,TOTSUGEKI,KAISHIN,SUTEMI,1,8,12,22,31,50,15,15,20,20,20,60
Hina01,히나,Hina0a,130,130,170,87,165,169,46,COOL,ALL_MGR,CHOKKAN,KASOKU,KENSHIN,TOTSUGEKI,KAISHIN,SUTEMI,1,8,12,22,31,50,25,15,30,25,30,60
Hina02,히나,Hina0a,130,130,170,87,165,169,46,COOL,ALL_MGR,CHOKKAN,KASOKU,KENSHIN,TOTSUGEKI,KAISHIN,SUTEMI,1,8,12,22,31,50,25,15,30,25,30,60
Hourai_en01,호라이,Hourai0a,120,98,140,84,145,145,30,ACTIVE,SP_CRUE,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,0
Hourai01,호라이,Hourai0a,120,98,140,84,145,145,30,COOL,SP_CRUE,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,0
HTengu_en01,백랑텐구,HTengu0a,135,130,169,99,121,152,45,ACTIVE,ATP_DEF,TEISATSU,KONJO,HICCHU,TEPPEKI,NEKKETSU,CHOKUGEKI,1,1,8,16,40,40,15,20,15,20,30,15
HTengu_en02,백랑텐구,HTengu0a,135,130,169,99,121,152,45,ACTIVE,ATP_DEF,TEISATSU,KONJO,HICCHU,TEPPEKI,NEKKETSU,CHOKUGEKI,1,1,8,16,40,40,15,20,15,20,30,15
HTenguB_en01,백랑텐구B,HTenguB0a,137,132,174,99,115,155,45,ACTIVE,ALL_ATP,KONJO,SHUCHU,TEPPEKI,NEKKETSU,HICCHU,YUJO,1,1,8,16,40,40,20,20,30,45,25,70
HTenguB_en02,백랑텐구B,HTenguB0a,137,132,174,99,115,155,45,ACTIVE,ALL_ATP,KONJO,SHUCHU,TEPPEKI,NEKKETSU,HICCHU,YUJO,1,1,8,16,40,40,20,20,30,45,25,70
HTenguN_en01,악몽,HTenguN0a,135,130,169,99,121,152,45,ACTIVE,ATP_DEF,TEISATSU,KONJO,HICCHU,TEPPEKI,NEKKETSU,CHOKUGEKI,1,1,8,16,40,40,15,20,15,20,20,15
HTenguN_en02,악몽,HTenguN0a,135,130,169,99,121,152,45,ACTIVE,ATP_DEF,TEISATSU,KONJO,HICCHU,TEPPEKI,NEKKETSU,CHOKUGEKI,1,1,8,16,40,40,15,20,15,20,20,15
HYousei_en01,H요정,HYousei0a,110,136,165,88,147,150,40,ACTIVE,ALL_MGR,HICCHU,SOGEKI,SHUCHU,KAISHIN,TOTSUGEKI,NA,1,10,20,30,40,40,10,10,10,10,10,0
HYousei_en02,H요정,HYousei0a,110,136,165,88,147,150,40,ACTIVE,ALL_MGR,HICCHU,SOGEKI,SHUCHU,KAISHIN,TOTSUGEKI,NA,1,10,20,30,40,40,10,10,10,10,10,0
